"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","A","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","1000000","7","0","2","2","0","0","0","0","0","0","3","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0"
"g20","A","1000200","4","0","4","0","0","0","0","0","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","1001000","17","5","4","1","0","0","0","0","0","0","7","10","7","4","1","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","1","1","0","0","0","2","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","3","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g20","A","1002300","2","1","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","1002500","2","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","1050000","704","274","292","22","0","1","2","0","1","0","112","272","432","17","12","3","1","48","10","13","1","1","0","0","0","1","1","3","0","1","3","1","0","0","0","0","0","1","1","0","0","1","1","1","0","0","2","3","0","1","11","78","0","2","1","2","1","23","150","0","0","0","0","2","16","104","0","0","2","0","3","19","146","0","1","0","0","3","5","34","0","1","0","1","1","16","50","0","0","1","1","1","4","5","0","0","0","0","0","5","9","156","36","22","4","9","5","5","17","20","129","37","24","16","10","5","12","4","55","43","19","14","5","3","2","4","5","17","16","5","2","1","0","0","1","1","0"
"g20","A","1050100","71","21","27","3","1","0","0","0","0","0","19","37","34","3","0","0","0","1","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","4","1","1","3","0","2","0","1","2","1","5","0","1","0","0","3","2","8","0","0","0","0","3","3","7","0","3","0","1","3","3","1","0","0","0","1","3","1","3","0","0","0","0","0","0","2","0","0","0","0","1","0","1","9","5","2","0","0","0","1","0","4","12","3","1","0","2","0","0","4","5","10","5","1","0","1","0","0","0","2","2","2","0","0","0","0","0","0","0"
"g20","A","1050200","405","123","164","10","0","3","3","0","1","0","101","213","192","8","1","3","0","20","7","11","1","2","0","1","0","1","0","1","0","1","5","6","0","1","0","2","0","1","0","2","0","0","0","1","0","0","4","7","7","10","14","14","0","6","4","12","14","9","22","0","4","3","6","16","23","39","0","1","2","4","8","17","41","0","4","8","4","12","12","16","0","6","7","7","8","9","8","0","0","3","0","1","4","2","0","0","1","0","1","2","3","78","11","7","3","2","3","6","1","12","65","22","11","0","4","5","3","5","49","58","16","8","2","3","0","5","2","7","11","1","2","0","1","0","1","0","1"
"g20","A","1050300","343","109","145","13","0","3","2","0","0","0","71","162","181","7","10","0","1","12","8","4","1","0","0","3","0","1","0","1","0","2","3","10","0","1","0","0","0","1","0","0","0","0","1","0","0","0","3","4","2","4","5","30","0","1","2","3","3","9","43","0","4","0","5","2","12","49","0","0","0","4","8","6","55","0","1","2","4","4","5","19","0","2","0","5","2","3","24","0","1","1","1","1","0","3","0","0","0","1","0","5","5","62","10","7","1","5","3","4","4","13","69","19","9","5","10","2","5","6","20","29","16","4","2","5","2","0","3","10","12","0","1","0","0","1","2","0","2"
