"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","P","105000","175","32","99","8","1","2","1","0","0","0","32","94","81","1","3","2","1","1","3","4","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","0","0","2","0","0","1","0","1","0","3","1","1","1","2","8","0","0","1","4","0","4","7","0","4","2","2","3","14","25","0","2","2","1","5","15","24","0","1","4","1","3","2","7","0","3","2","1","1","2","5","0","1","2","1","0","4","2","0","0","0","1","0","1","0","17","3","2","0","1","1","2","2","4","46","16","5","5","1","2","2","4","18","23","3","2","1","1","0","1","0","1","10","2","0","0","0","0","0","0","0"
"g20","P","105010","92","13","52","3","0","1","3","0","0","0","20","45","47","1","2","0","1","2","4","2","2","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","2","0","2","1","0","0","1","1","1","0","2","0","0","1","3","7","6","2","7","0","0","4","5","4","4","9","0","1","1","1","2","1","1","0","2","0","1","5","3","2","0","2","1","1","0","0","0","0","1","1","1","0","0","0","11","1","0","0","0","0","0","0","1","25","7","2","0","2","3","3","0","10","14","1","0","0","0","0","0","0","5","5","0","0","1","0","1","0","0","0"
"g20","P","105160","551","96","275","23","3","6","8","0","1","0","139","305","246","19","21","19","7","2","13","5","5","1","1","3","0","0","0","0","0","3","4","6","0","3","2","6","0","0","3","3","0","3","9","1","1","0","9","11","9","8","5","8","0","4","9","10","8","7","8","0","8","11","22","28","38","43","0","4","7","17","26","32","39","0","5","19","15","17","12","11","0","5","11","10","18","9","7","0","4","3","6","6","3","4","0","3","1","4","1","5","1","69","9","4","2","1","0","1","2","8","170","24","20","3","5","5","4","4","40","81","22","11","4","4","1","6","2","8","37","1","0","1","1","0","0","0","1"
"g20","P","105200","35","7","19","0","0","0","0","0","0","0","9","19","16","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","1","0","1","0","0","2","1","0","1","1","4","0","1","0","0","3","2","4","0","1","0","0","2","1","1","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","1","7","4","2","0","0","0","1","1","4","6","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0"
"g20","P","105800","42","6","20","2","0","1","1","0","0","0","12","23","19","1","0","3","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","2","0","0","0","0","1","3","3","2","3","0","0","0","2","0","5","1","0","3","0","0","1","1","2","0","1","2","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","4","0","1","0","0","0","1","0","0","10","0","2","2","1","0","0","1","4","7","1","0","1","1","0","1","1","0","2","0","0","0","0","0","0","2","0"
"g20","P","105910","330","65","162","11","0","2","3","0","1","0","86","178","152","11","19","7","3","2","3","1","0","0","0","0","0","0","0","0","1","1","3","5","0","3","2","0","0","0","0","2","0","1","3","4","1","0","5","7","10","4","1","6","0","3","6","9","2","2","10","0","8","5","6","21","27","19","0","7","5","9","21","20","14","0","8","9","14","9","7","4","0","4","3","9","10","5","4","0","2","1","2","1","0","2","0","0","2","5","1","0","1","51","5","3","0","0","1","1","2","2","99","15","10","0","5","1","5","5","22","55","11","7","2","4","0","1","1","5","16","1","0","0","0","0","0","0","0"
"g20","P","106120","57","12","20","4","0","5","0","0","0","0","16","27","30","1","3","2","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1","2","0","0","0","0","1","2","3","2","0","0","0","0","3","3","4","0","0","1","0","0","2","1","6","0","1","3","1","1","3","1","0","0","0","2","3","1","0","0","0","0","1","1","0","1","0","2","1","0","2","1","0","8","0","0","0","1","0","1","0","2","16","2","1","0","0","0","0","0","1","8","7","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0"
"g20","P","106340","411","118","170","15","0","3","3","0","0","0","102","211","200","25","20","19","2","4","6","1","0","0","0","0","0","0","0","1","0","1","0","4","0","1","0","0","0","0","3","1","1","1","7","9","0","0","10","12","9","5","8","7","0","7","10","20","14","7","9","0","4","12","12","19","28","17","0","3","13","13","12","17","20","0","11","10","12","12","4","8","0","10","4","16","8","4","3","0","0","2","2","2","4","1","0","1","1","3","3","2","0","76","11","5","2","4","0","4","4","12","92","14","8","3","4","3","2","5","39","68","14","3","0","3","1","0","1","12","14","1","1","0","0","0","1","0","4"
"g20","P","106350","581","133","250","21","0","14","11","1","1","0","150","336","245","21","23","21","3","2","7","4","2","1","0","1","0","0","0","1","1","2","3","6","0","8","1","4","0","0","7","2","2","2","8","6","1","0","7","17","24","9","4","8","0","4","17","13","18","8","4","0","15","16","26","34","32","26","0","0","7","18","21","33","22","0","14","13","24","23","11","6","0","8","13","12","11","6","9","0","10","3","3","4","6","1","0","5","3","3","4","3","3","95","14","8","0","2","1","5","0","8","116","27","20","6","8","11","7","8","47","95","21","9","2","3","1","5","1","13","37","5","2","0","1","0","0","0","3"
"g20","P","106440","9","2","7","0","0","0","0","0","0","0","0","3","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","P","106500","167","26","89","3","1","1","2","0","0","0","45","94","73","2","9","2","0","1","6","0","0","0","0","1","0","0","0","0","0","0","2","4","1","0","0","0","0","1","2","2","0","4","5","2","0","0","4","1","1","3","0","2","0","1","2","5","3","1","3","0","4","2","3","16","13","11","0","1","5","8","7","11","8","0","6","5","9","5","3","2","0","1","4","4","4","2","0","0","1","0","1","0","2","0","0","2","0","1","0","0","0","22","2","0","0","0","0","1","0","1","48","3","3","1","0","1","1","2","30","32","4","1","1","0","1","0","0","6","5","2","0","0","0","0","0","0","0"
"g20","P","110000","587","127","246","29","1","6","8","0","3","0","167","310","277","10","35","23","8","8","2","2","0","0","1","1","0","2","1","0","0","4","7","5","0","2","2","8","1","6","7","6","2","9","11","5","3","1","8","10","11","11","11","6","0","3","14","9","17","18","8","0","6","12","16","23","33","34","0","5","8","17","20","43","29","0","10","22","26","16","19","14","0","9","8","15","12","10","6","0","4","8","2","3","2","2","0","2","9","7","2","4","2","70","18","6","2","3","0","2","5","21","125","23","16","3","5","1","7","5","61","102","23","6","3","9","0","4","3","17","35","0","2","1","2","1","1","0","5"
"g20","P","110010","585","152","271","10","0","3","6","0","2","0","141","317","268","29","32","16","7","7","12","6","1","3","7","1","0","3","3","1","0","0","4","1","2","2","0","5","0","6","2","2","1","9","12","2","1","0","8","18","14","11","15","5","0","3","16","15","15","18","14","0","6","13","21","34","36","43","0","4","13","20","21","26","34","0","11","18","29","7","10","7","0","5","12","18","8","10","6","0","3","1","2","4","1","0","0","0","1","4","0","4","1","88","9","11","3","1","4","11","3","22","153","29","14","2","7","3","7","11","45","79","20","9","4","4","2","5","6","12","15","1","1","0","1","1","1","0","1"
"g20","P","110140","541","112","266","21","0","9","8","0","1","1","123","309","232","19","35","9","5","3","12","2","1","0","0","0","2","1","0","0","0","1","4","3","0","3","2","2","1","3","6","2","4","1","7","5","0","0","9","15","16","7","13","5","0","7","9","7","10","6","8","0","14","15","15","32","32","41","0","10","14","15","20","30","28","0","12","17","13","15","10","5","0","6","10","14","11","7","3","0","6","3","2","8","3","1","0","5","5","1","2","2","2","74","8","6","1","3","0","2","3","15","165","21","14","6","6","0","4","4","46","78","18","4","2","3","1","4","2","11","32","6","0","0","1","0","0","1","0"
"g20","P","110270","782","162","396","26","1","7","7","0","3","0","180","450","332","20","34","26","3","12","15","6","2","4","2","3","1","1","0","2","0","9","18","21","3","12","1","2","1","3","19","5","0","7","26","8","5","0","20","6","10","21","12","11","0","21","11","14","15","13","8","0","18","12","20","52","72","56","0","7","15","15","41","47","41","0","10","16","19","37","25","4","0","11","8","4","25","8","13","0","11","5","4","2","5","2","0","2","3","3","3","4","0","110","14","11","0","3","0","3","2","19","193","24","21","11","6","8","12","17","104","100","23","8","4","10","1","11","6","17","32","5","2","0","2","0","0","0","3"
