"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","R","","7","3","1","1","0","0","0","0","0","0","2","4","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g20","R","1000000","9","0","3","2","0","0","0","0","0","0","4","5","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","2","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0"
"g20","R","1000200","7","2","4","0","0","0","0","0","0","0","1","3","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","R","1001000","27","9","5","1","0","0","0","0","0","0","12","15","12","8","2","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","1","3","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","2","0","4","1","0","0","0","2","0","2","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","7","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g20","R","1002300","2","1","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","R","1002500","3","0","2","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","R","1050000","778","293","326","27","0","1","3","0","1","0","127","310","468","17","12","3","1","50","15","13","1","1","1","1","1","1","1","3","0","1","3","2","0","0","0","0","0","1","1","1","0","1","1","1","1","0","3","3","0","1","14","81","0","3","1","2","1","26","158","0","0","0","1","2","19","123","0","0","2","0","3","21","155","0","1","1","2","5","5","35","0","1","2","2","1","17","55","0","0","1","1","1","5","6","0","0","0","1","0","7","10","165","39","24","4","9","5","7","18","22","139","42","28","19","10","5","15","7","61","49","21","15","6","4","2","6","6","18","22","5","2","1","0","0","1","1","0"
"g20","R","1050100","85","22","36","4","2","0","0","0","0","0","21","45","40","3","0","0","0","1","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","4","1","1","3","0","2","0","1","2","1","5","0","2","0","1","4","2","9","0","0","1","1","3","4","9","0","4","0","1","4","3","1","0","0","0","1","3","1","3","0","1","0","0","0","0","2","0","0","0","0","1","0","2","10","5","2","0","0","0","1","0","4","15","4","1","0","3","0","4","4","5","12","5","1","0","1","0","0","0","2","4","2","0","0","0","0","0","0","0"
"g20","R","1050200","498","145","197","11","0","3","5","0","1","0","136","259","239","8","1","3","0","21","11","14","2","3","0","1","0","1","0","1","0","1","5","9","0","1","0","2","0","1","0","2","0","0","0","1","0","0","8","9","7","12","14","17","0","8","8","15","15","10","22","0","5","6","9","20","24","42","0","1","5","6","11","20","48","0","6","13","9","15","14","17","0","10","10","7","12","12","11","0","2","3","0","1","4","2","0","1","1","0","1","2","3","91","15","9","3","2","3","6","3","13","79","28","12","1","4","8","4","5","56","80","19","10","2","8","0","5","2","10","14","1","2","0","1","0","1","0","1"
"g20","R","1050300","393","118","168","14","0","3","3","0","0","0","87","194","199","8","10","2","1","12","8","4","1","0","0","3","0","1","0","1","0","3","3","12","0","1","0","0","0","1","0","0","0","0","2","1","0","0","4","4","3","5","5","34","0","1","2","3","3","9","45","0","7","1","7","3","13","54","0","1","0","4","9","8","61","0","2","4","6","5","6","23","0","3","0","5","3","3","27","0","1","1","2","1","0","3","0","0","0","1","0","5","6","64","10","8","1","5","5","4","4","17","81","23","9","7","10","2","5","7","24","37","18","6","2","7","4","0","3","10","14","0","1","0","0","1","2","0","2"
