"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"37","105000","77","52","39","4","4049","0","0","0","0","0","0","0","0","0","3784","0","0","0","0","0","0","0","0","0","0","0","1864","0","0","0","0","1774","0","1924","0","1742","10","2023","11","31","1","1643","1988","1594","2472","1196","2478","1117","1976","1657","2581","1090","1726","1881","2041","1481","2667","916","1022","2592","2676","926","1721","1806","2279","1240","0","1811","0","0","1818"
"37","105010","77","52","39","4","1246","0","0","0","0","0","0","0","0","0","1143","0","0","0","0","0","0","0","0","0","0","0","553","0","0","0","0","542","0","544","0","555","8","603","4","16","1","487","646","441","745","359","788","304","583","522","750","357","540","540","585","486","843","241","322","772","770","311","526","549","704","364","0","507","0","0","577"
"37","105160","77","52","39","4","8749","0","0","0","0","0","0","0","0","0","7903","0","0","0","0","0","0","0","0","0","0","0","4053","0","0","0","0","3452","0","4253","0","3314","19","4419","30","96","5","3190","3847","3640","4542","3073","4837","2635","3682","3867","4898","2720","3350","4036","4252","3062","5000","2429","2435","5082","4973","2468","3202","4146","4345","2898","0","4051","0","0","3421"
"37","105200","77","52","39","4","548","0","0","0","0","0","0","0","0","0","502","0","0","0","0","0","0","0","0","0","0","0","267","0","0","0","0","217","0","278","0","205","1","279","1","4","0","203","250","220","303","179","303","165","252","226","314","169","232","233","246","222","328","138","159","319","313","153","209","245","284","175","0","264","0","0","213"
"37","105800","77","52","39","4","677","0","0","0","0","0","0","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","298","0","0","0","0","300","0","303","0","303","1","318","3","6","1","277","353","238","406","199","408","192","321","288","405","201","313","267","338","248","444","146","179","420","441","149","285","292","375","209","0","282","0","0","315"
"37","105910","77","52","39","4","3940","0","0","0","0","0","0","0","0","0","3529","0","0","0","0","0","0","0","0","0","0","0","1793","0","0","0","0","1559","0","1859","0","1538","4","1987","17","44","2","1408","1744","1593","2052","1351","2177","1172","1667","1714","2148","1259","1591","1733","1878","1379","2260","1049","1104","2278","2250","1068","1457","1812","1955","1291","0","1801","0","0","1526"
"37","106120","77","52","39","4","691","0","0","0","0","0","0","0","0","0","601","0","0","0","0","0","0","0","0","0","0","0","311","0","0","0","0","265","0","347","0","231","6","352","3","7","1","225","253","322","297","288","352","216","257","323","340","244","237","322","367","200","315","241","205","366","353","215","214","350","299","254","0","345","0","0","227"
"37","106340","77","52","39","4","4381","0","0","0","0","0","0","0","0","0","3862","0","0","0","0","0","0","0","0","0","0","0","2122","0","0","0","0","1533","0","2251","0","1431","11","2328","30","70","5","1350","1727","1934","2047","1677","2187","1478","1531","2156","2149","1573","1677","1929","2275","1311","2133","1494","1380","2308","2306","1323","1543","2049","2007","1552","0","2181","0","0","1444"
"37","106350","77","52","39","4","6079","0","0","0","0","0","0","0","0","0","5437","0","0","0","0","0","0","0","0","0","0","0","2953","0","0","0","0","2193","0","3049","0","2156","18","3226","30","94","10","1949","2588","2573","2958","2305","3232","1938","2357","2866","3138","2131","2440","2654","3078","1963","3333","1773","1826","3368","3357","1767","2275","2762","2805","2215","0","2950","0","0","2183"
"37","106440","77","52","39","4","492","0","0","0","0","0","0","0","0","0","456","0","0","0","0","0","0","0","0","0","0","0","240","0","0","0","0","185","0","238","0","185","0","261","1","1","0","181","210","197","242","180","245","155","206","215","311","113","167","249","239","159","303","93","121","285","335","88","218","178","230","174","0","224","0","0","198"
"37","106500","77","52","39","4","1678","0","0","0","0","0","0","0","0","0","1513","0","0","0","0","0","0","0","0","0","0","0","809","0","0","0","0","633","0","825","0","618","3","882","5","22","0","559","703","750","850","624","930","527","695","770","905","576","676","749","870","554","980","459","513","945","967","469","627","788","837","570","0","814","0","0","619"
"37","110000","77","52","39","4","7649","0","0","0","0","0","0","0","0","0","6639","0","0","0","0","0","0","0","0","0","0","0","3634","0","0","0","0","2642","0","3914","0","2462","17","4017","24","77","11","2366","3078","3234","3504","2920","3859","2492","2698","3672","3740","2668","2879","3385","3910","2318","3972","2319","2335","4008","4025","2285","2664","3588","3437","2737","0","3797","0","0","2493"
"37","110010","77","52","39","4","7286","0","0","0","0","0","0","0","0","0","6399","0","0","0","0","0","0","0","0","0","0","0","3571","0","0","0","0","2513","0","3783","0","2378","17","3920","36","106","7","2186","3016","3110","3372","2831","3718","2416","2573","3585","3575","2607","2906","3147","3812","2197","3920","2162","2300","3846","3919","2154","2550","3465","3320","2662","0","3652","0","0","2429"
"37","110140","77","52","38","4","6798","0","0","0","0","0","0","0","0","0","6156","0","0","0","0","0","0","0","0","0","0","0","3294","0","0","0","0","2515","0","3507","0","2357","17","3743","19","74","6","2194","2763","3052","3246","2687","3539","2291","2646","3254","3474","2472","2651","3070","3462","2219","3639","2091","2162","3691","3609","2142","2339","3337","3217","2398","0","0","0","0","0"
"37","110270","77","52","39","4","9388","0","0","0","0","0","0","0","0","0","8377","0","0","0","0","0","0","0","0","0","0","0","4260","0","0","0","0","3682","0","4684","0","3373","14","4969","42","106","4","3057","3989","3982","4688","3415","5140","2874","3742","4299","4866","3243","3901","3942","4657","3157","5447","2441","2817","5187","5222","2663","3438","4408","4486","3221","0","4536","0","0","3407"
"37","110332","77","52","39","4","2492","0","0","0","0","0","0","0","0","0","2182","0","0","0","0","0","0","0","0","0","0","0","1132","0","0","0","0","935","0","1207","0","878","5","1278","8","18","4","817","1041","1023","1220","890","1340","732","993","1101","1299","799","1048","1011","1265","777","1404","658","791","1283","1400","660","982","1060","1175","842","0","1168","0","0","899"
"37","110510","77","52","39","4","1042","0","0","0","0","0","0","0","0","0","945","0","0","0","0","0","0","0","0","0","0","0","472","0","0","0","0","429","0","515","0","404","3","523","7","12","0","379","455","457","539","379","615","290","464","446","566","349","453","448","501","385","593","293","339","570","603","290","405","473","521","356","0","468","0","0","424"
"37","110600","77","52","39","4","3816","0","0","0","0","0","0","0","0","0","3454","0","0","0","0","0","0","0","0","0","0","0","1839","0","0","0","0","1433","0","2016","0","1315","7","2099","11","38","3","1219","1687","1610","2033","1314","2162","1157","1584","1753","1997","1346","1623","1634","1946","1295","2330","946","1195","2128","2264","1018","1486","1746","1933","1296","0","1901","0","0","1367"
