"svprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"105000","77","52","39","4","4049","0","0","0","0","0","0","0","0","0","184","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","130","0","45","0","134","0","52","0","1","0","130","127","45","154","24","148","26","124","51","156","22","100","68","82","88","146","23","31","142","151","18","96","68","132","36","0","39","0","0","134"
"105000A","77","52","39","4","0","0","0","0","0","0","0","0","0","0","3600","0","0","0","0","0","0","0","0","0","0","0","1821","0","0","0","0","1644","0","1879","0","1608","10","1971","11","30","1","1513","1861","1549","2318","1172","2330","1091","1852","1606","2425","1068","1626","1813","1959","1393","2521","893","991","2450","2525","908","1625","1738","2147","1204","0","1772","0","0","1684"
"105010","77","52","39","4","1246","0","0","0","0","0","0","0","0","0","93","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","28","0","62","0","32","1","0","0","59","64","26","78","11","81","9","56","34","69","21","53","34","35","52","78","10","11","78","66","21","57","29","74","12","0","25","0","0","62"
"105010A","77","52","39","4","0","0","0","0","0","0","0","0","0","0","1050","0","0","0","0","0","0","0","0","0","0","0","523","0","0","0","0","481","0","516","0","493","8","571","3","16","1","428","582","415","667","348","707","295","527","488","681","336","487","506","550","434","765","231","311","694","704","290","469","520","630","352","0","482","0","0","515"
"105160","77","52","39","4","8749","0","0","0","0","0","0","0","0","0","574","0","0","0","0","0","0","0","0","0","0","0","152","0","0","0","0","390","0","175","0","368","1","177","3","6","0","380","341","204","384","163","422","124","321","222","433","121","264","256","265","254","397","136","132","404","359","156","241","276","371","132","0","159","0","0","377"
"105160A","77","52","39","4","0","0","0","0","0","0","0","0","0","0","7329","0","0","0","0","0","0","0","0","0","0","0","3901","0","0","0","0","3062","0","4078","0","2946","18","4242","27","90","5","2810","3506","3436","4158","2910","4415","2511","3361","3645","4465","2599","3086","3780","3987","2808","4603","2293","2303","4678","4614","2312","2961","3870","3974","2766","0","3892","0","0","3044"
"105200","77","52","39","4","548","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","24","0","8","0","26","0","7","0","0","0","28","22","11","26","6","27","4","26","6","29","4","23","8","17","15","23","8","11","21","23","7","19","12","28","3","0","7","0","0","24"
"105200A","77","52","39","4","0","0","0","0","0","0","0","0","0","0","467","0","0","0","0","0","0","0","0","0","0","0","259","0","0","0","0","193","0","270","0","179","1","272","1","4","0","175","228","209","277","173","276","161","226","220","285","165","209","225","229","207","305","130","148","298","290","146","190","233","256","172","0","257","0","0","189"
"105800","77","52","39","4","677","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","28","0","11","0","30","0","11","0","0","0","31","29","11","29","13","31","11","20","22","27","14","21","18","19","22","32","10","11","32","27","12","25","16","33","8","0","11","0","0","30"
"105800A","77","52","39","4","0","0","0","0","0","0","0","0","0","0","578","0","0","0","0","0","0","0","0","0","0","0","285","0","0","0","0","272","0","292","0","273","1","307","3","6","1","246","324","227","377","186","377","181","301","266","378","187","292","249","319","226","412","136","168","388","414","137","260","276","342","201","0","271","0","0","285"
