"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","V","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","1000000","7","0","2","2","0","0","0","0","0","0","3","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0"
"g20","V","1000200","4","0","4","0","0","0","0","0","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","1001000","18","6","4","1","0","0","0","0","0","0","7","10","8","5","1","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","1","1","0","0","0","2","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","3","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g20","V","1002300","2","1","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","1002500","2","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","1050000","732","282","309","24","0","1","2","0","1","0","113","289","443","17","12","3","1","49","11","13","1","1","0","0","0","1","1","3","0","1","3","2","0","0","0","0","0","1","1","0","0","1","1","1","1","0","3","3","0","1","13","79","0","2","1","2","1","26","151","0","0","0","0","2","19","112","0","0","2","0","3","21","150","0","1","0","0","4","5","34","0","1","0","1","1","16","50","0","0","1","1","1","5","5","0","0","0","0","0","6","9","161","37","23","4","9","5","6","17","20","136","39","26","18","10","5","12","6","57","44","19","14","5","3","2","4","5","17","18","5","2","1","0","0","1","1","0"
"g20","V","1050100","76","22","31","3","1","0","0","0","0","0","19","38","38","3","0","0","0","1","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","4","1","1","3","0","2","0","1","2","1","5","0","1","0","0","3","2","8","0","0","1","1","3","3","9","0","3","0","1","3","3","1","0","0","0","1","3","1","3","0","0","0","0","0","0","2","0","0","0","0","1","0","1","10","5","2","0","0","0","1","0","4","14","3","1","0","2","0","2","4","5","10","5","1","0","1","0","0","0","2","2","2","0","0","0","0","0","0","0"
"g20","V","1050200","445","130","184","10","0","3","4","0","1","0","113","231","214","8","1","3","0","20","11","11","2","2","0","1","0","1","0","1","0","1","5","8","0","1","0","2","0","1","0","2","0","0","0","1","0","0","5","8","7","12","14","14","0","7","4","13","14","10","22","0","5","4","7","18","24","42","0","1","3","5","11","20","44","0","5","9","4","13","12","17","0","8","7","7","12","10","9","0","1","3","0","1","4","2","0","0","1","0","1","2","3","84","12","7","3","2","3","6","1","12","75","24","11","0","4","7","3","5","55","68","16","8","2","3","0","5","2","9","12","1","2","0","1","0","1","0","1"
"g20","V","1050300","363","110","163","13","0","3","2","0","0","0","72","175","188","7","10","0","1","12","8","4","1","0","0","3","0","1","0","1","0","2","3","10","0","1","0","0","0","1","0","0","0","0","2","0","0","0","3","4","2","4","5","31","0","1","2","3","3","9","43","0","7","0","6","3","13","54","0","1","0","4","9","7","59","0","1","2","4","5","5","19","0","2","0","5","2","3","24","0","1","1","1","1","0","3","0","0","0","1","0","5","5","62","10","7","1","5","3","4","4","14","79","22","9","7","10","2","5","7","22","29","16","4","2","6","2","0","3","10","12","0","1","0","0","1","2","0","2"
