Topic,Subject,Title,"District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population","715,132","(+/-12,470)"
People,"Sex and Age",Male,"338,340","(+/-7,016)"
People,"Sex and Age",Female,"376,792","(+/-8,107)"
People,"Sex and Age","Under 5 years","39,296","(+/-3,243)"
People,"Sex and Age","5 to 9 years","42,758","(+/-3,684)"
People,"Sex and Age","10 to 14 years","40,784","(+/-3,260)"
People,"Sex and Age","15 to 19 years","61,048","(+/-3,631)"
People,"Sex and Age","20 to 24 years","61,894","(+/-3,285)"
People,"Sex and Age","25 to 34 years","93,550","(+/-4,913)"
People,"Sex and Age","35 to 44 years","86,271","(+/-4,679)"
People,"Sex and Age","45 to 54 years","76,725","(+/-4,050)"
People,"Sex and Age","55 to 59 years","38,273","(+/-2,968)"
People,"Sex and Age","60 to 64 years","48,686","(+/-2,954)"
People,"Sex and Age","65 to 74 years","78,890","(+/-2,553)"
People,"Sex and Age","75 to 84 years","35,638","(+/-2,432)"
People,"Sex and Age","85 years and over","11,319","(+/-1,493)"
People,"Sex and Age","Median age (years)",36.9,(+/-0.6)
People,"Sex and Age","18 years and over","567,887","(+/-8,323)"
People,"Sex and Age","65 years and over","125,847","(+/-3,257)"
People,Race,"Total population","715,132","(+/-12,470)"
People,Race,"One race","683,330","(+/-12,238)"
People,Race,White,"263,529","(+/-7,558)"
People,Race,"Black or African American","395,559","(+/-11,249)"
People,Race,"American Indian and Alaska Native","1,690","(+/-1,019)"
People,Race,Asian,"9,147","(+/-1,944)"
People,Race,"Native Hawaiian and Other Pacific Islander",244,(+/-872)
People,Race,"Some other race","13,161","(+/-3,724)"
People,Race,"Two or more races","31,802","(+/-4,729)"
People,"Hispanic or Latino and Race","Total population","715,132","(+/-12,470)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","31,857","(+/-3,674)"
People,"Hispanic or Latino and Race",Mexican,"17,347","(+/-4,035)"
People,"Hispanic or Latino and Race","Puerto Rican","2,747","(+/-1,157)"
People,"Hispanic or Latino and Race",Cuban,935,"(+/-1,099)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","10,828","(+/-2,510)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","683,275","(+/-12,092)"
People,"Place of Birth","Total population","715,132","(+/-12,470)"
People,"Place of Birth",Native,"688,852","(+/-12,194)"
People,"Place of Birth","Born in United States","684,227","(+/-12,363)"
People,"Place of Birth","State of residence","545,374","(+/-13,257)"
People,"Place of Birth","Different state","138,853","(+/-5,970)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,625","(+/-1,365)"
People,"Place of Birth","Foreign born","26,280","(+/-3,689)"
People,Ancestry,"Total population","715,132","(+/-12,470)"
People,Ancestry,American,"88,983","(+/-8,631)"
People,Ancestry,Arab,"1,183",(+/-754)
People,Ancestry,Czech,426,(+/-327)
People,Ancestry,Danish,132,(+/-132)
People,Ancestry,Dutch,"1,987",(+/-951)
People,Ancestry,English,"47,221","(+/-4,396)"
People,Ancestry,"French (except Basque)","4,209","(+/-1,630)"
People,Ancestry,"French Canadian",181,(+/-137)
People,Ancestry,German,"22,407","(+/-3,088)"
People,Ancestry,Greek,"1,208",(+/-767)
People,Ancestry,Hungarian,464,(+/-344)
People,Ancestry,Irish,"29,176","(+/-3,470)"
People,Ancestry,Italian,"10,573","(+/-2,758)"
People,Ancestry,Lithuanian,0,(+/-210)
People,Ancestry,Norwegian,"1,660","(+/-1,383)"
People,Ancestry,Polish,"2,593","(+/-1,223)"
People,Ancestry,Portuguese,37,(+/-65)
People,Ancestry,Russian,720,(+/-530)
People,Ancestry,Scotch-Irish,"2,670",(+/-910)
People,Ancestry,Scottish,"5,935","(+/-1,585)"
People,Ancestry,Slovak,247,(+/-221)
People,Ancestry,"Subsaharan African","9,939","(+/-3,609)"
People,Ancestry,Swedish,"1,827","(+/-1,033)"
People,Ancestry,Swiss,141,(+/-154)
People,Ancestry,Ukrainian,580,(+/-736)
People,Ancestry,Welsh,"1,412",(+/-805)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,666","(+/-1,010)"
People,"Veteran Status","Civilian population 18 years and over","566,772","(+/-8,230)"
People,"Veteran Status","Civilian veterans","31,676","(+/-2,639)"
