Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","804,256","(+/-22,081)"
People,"Sex and Age",Male,"393,913","(+/-13,714)"
People,"Sex and Age",Female,"410,343","(+/-11,988)"
People,"Sex and Age","Under 5 years","35,970","(+/-3,494)"
People,"Sex and Age","5 to 9 years","40,870","(+/-4,879)"
People,"Sex and Age","10 to 14 years","36,827","(+/-5,151)"
People,"Sex and Age","15 to 19 years","41,206","(+/-4,487)"
People,"Sex and Age","20 to 24 years","43,410","(+/-6,012)"
People,"Sex and Age","25 to 34 years","121,538","(+/-7,776)"
People,"Sex and Age","35 to 44 years","105,226","(+/-8,153)"
People,"Sex and Age","45 to 54 years","95,090","(+/-5,886)"
People,"Sex and Age","55 to 59 years","53,418","(+/-4,364)"
People,"Sex and Age","60 to 64 years","62,153","(+/-4,892)"
People,"Sex and Age","65 to 74 years","94,932","(+/-5,111)"
People,"Sex and Age","75 to 84 years","54,630","(+/-3,808)"
People,"Sex and Age","85 years and over","18,986","(+/-2,151)"
People,"Sex and Age","Median age (years)",42.5,(+/-1.3)
People,"Sex and Age","18 years and over","662,683","(+/-16,025)"
People,"Sex and Age","65 years and over","168,548","(+/-7,081)"
People,Race,"Total population","804,256","(+/-22,081)"
People,Race,"One race","707,238","(+/-18,763)"
People,Race,White,"574,043","(+/-16,223)"
People,Race,"Black or African American","31,910","(+/-7,619)"
People,Race,"American Indian and Alaska Native","14,310","(+/-3,262)"
People,Race,Asian,"40,755","(+/-6,042)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,019",(+/-755)
People,Race,"Some other race","45,201","(+/-9,237)"
People,Race,"Two or more races","97,018","(+/-10,321)"
People,"Hispanic or Latino and Race","Total population","804,256","(+/-22,081)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","135,776","(+/-13,797)"
People,"Hispanic or Latino and Race",Mexican,"107,389","(+/-12,452)"
People,"Hispanic or Latino and Race","Puerto Rican","4,191","(+/-1,890)"
People,"Hispanic or Latino and Race",Cuban,"2,998","(+/-1,827)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","21,198","(+/-4,591)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","668,480","(+/-18,004)"
People,"Place of Birth","Total population","804,256","(+/-22,081)"
People,"Place of Birth",Native,"700,868","(+/-20,504)"
People,"Place of Birth","Born in United States","688,402","(+/-19,958)"
People,"Place of Birth","State of residence","255,109","(+/-13,758)"
