Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","774,027","(+/-6,136)"
People,"Sex and Age",Male,"375,240","(+/-3,884)"
People,"Sex and Age",Female,"398,787","(+/-4,131)"
People,"Sex and Age","Under 5 years","44,715","(+/-1,452)"
People,"Sex and Age","5 to 9 years","50,045","(+/-3,742)"
People,"Sex and Age","10 to 14 years","48,227","(+/-3,470)"
People,"Sex and Age","15 to 19 years","52,298","(+/-2,342)"
People,"Sex and Age","20 to 24 years","54,747","(+/-2,878)"
People,"Sex and Age","25 to 34 years","100,623","(+/-3,373)"
People,"Sex and Age","35 to 44 years","100,618","(+/-2,874)"
People,"Sex and Age","45 to 54 years","90,657","(+/-2,418)"
People,"Sex and Age","55 to 59 years","44,321","(+/-2,492)"
People,"Sex and Age","60 to 64 years","50,322","(+/-2,693)"
People,"Sex and Age","65 to 74 years","80,597","(+/-1,697)"
People,"Sex and Age","75 to 84 years","42,981","(+/-1,724)"
People,"Sex and Age","85 years and over","13,876","(+/-1,596)"
People,"Sex and Age","Median age (years)",38.9,(+/-0.4)
People,"Sex and Age","18 years and over","598,515","(+/-4,531)"
People,"Sex and Age","65 years and over","137,454","(+/-1,885)"
People,Race,"Total population","774,027","(+/-6,136)"
People,Race,"One race","720,973","(+/-7,945)"
People,Race,White,"527,635","(+/-4,283)"
People,Race,"Black or African American","162,676","(+/-5,804)"
People,Race,"American Indian and Alaska Native","2,293",(+/-663)
People,Race,Asian,"12,943","(+/-1,681)"
People,Race,"Native Hawaiian and Other Pacific Islander",338,(+/-272)
People,Race,"Some other race","15,088","(+/-3,194)"
People,Race,"Two or more races","53,054","(+/-5,651)"
People,"Hispanic or Latino and Race","Total population","774,027","(+/-6,136)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","49,575","(+/-3,126)"
People,"Hispanic or Latino and Race",Mexican,"32,504","(+/-4,525)"
People,"Hispanic or Latino and Race","Puerto Rican","2,996","(+/-1,665)"
People,"Hispanic or Latino and Race",Cuban,654,(+/-473)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,421","(+/-2,991)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","724,452","(+/-5,230)"
People,"Place of Birth","Total population","774,027","(+/-6,136)"
People,"Place of Birth",Native,"742,344","(+/-6,479)"
People,"Place of Birth","Born in United States","736,331","(+/-6,599)"
People,"Place of Birth","State of residence","509,162","(+/-9,933)"
People,"Place of Birth","Different state","227,169","(+/-9,303)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,013","(+/-1,685)"
People,"Place of Birth","Foreign born","31,683","(+/-3,540)"
People,Ancestry,"Total population","774,027","(+/-6,136)"
People,Ancestry,American,"50,982","(+/-4,913)"
People,Ancestry,Arab,424,(+/-412)
People,Ancestry,Czech,"1,426",(+/-813)
People,Ancestry,Danish,687,(+/-507)
People,Ancestry,Dutch,"3,882","(+/-1,439)"
People,Ancestry,English,"96,323","(+/-7,005)"
People,Ancestry,"French (except Basque)","9,574","(+/-1,868)"
People,Ancestry,"French Canadian","1,104",(+/-627)
People,Ancestry,German,"64,004","(+/-4,662)"
People,Ancestry,Greek,647,(+/-636)
People,Ancestry,Hungarian,289,(+/-237)
People,Ancestry,Irish,"60,682","(+/-5,219)"
People,Ancestry,Italian,"10,404","(+/-1,854)"
People,Ancestry,Lithuanian,264,(+/-220)
People,Ancestry,Norwegian,"4,010","(+/-1,351)"
People,Ancestry,Polish,"6,909","(+/-1,901)"
People,Ancestry,Portuguese,504,(+/-353)
People,Ancestry,Russian,778,(+/-439)
People,Ancestry,Scotch-Irish,"7,427","(+/-1,758)"
People,Ancestry,Scottish,"16,629","(+/-3,054)"
People,Ancestry,Slovak,182,(+/-141)
People,Ancestry,"Subsaharan African","9,131","(+/-3,083)"
People,Ancestry,Swedish,"2,713",(+/-875)
People,Ancestry,Swiss,"1,391",(+/-828)
People,Ancestry,Ukrainian,554,(+/-417)
People,Ancestry,Welsh,"3,876","(+/-1,545)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,650","(+/-1,002)"
People,"Veteran Status","Civilian population 18 years and over","595,649","(+/-4,695)"
People,"Veteran Status","Civilian veterans","42,926","(+/-2,890)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","763,632","(+/-6,299)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","127,400","(+/-6,393)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","175,320","(+/-2,553)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,679","(+/-2,454)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","455,127","(+/-4,301)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","64,451","(+/-4,816)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","133,185","(+/-1,898)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","52,270","(+/-2,892)"
People,"Residence 1 Year Ago","Population 1 year and over","765,644","(+/-5,816)"
People,"Residence 1 Year Ago","Same house","687,868","(+/-9,223)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","77,776","(+/-6,888)"
People,"Residence 1 Year Ago","Different house in the U.S.","75,279","(+/-6,452)"
People,"Residence 1 Year Ago","Same county","38,693","(+/-5,063)"
People,"Residence 1 Year Ago","Different county","36,586","(+/-3,876)"
People,"Residence 1 Year Ago","Same state","23,354","(+/-3,105)"
People,"Residence 1 Year Ago","Different state","13,232","(+/-2,784)"
People,"Residence 1 Year Ago",Abroad,"2,497","(+/-1,234)"
Workers,"Employment Status","Population 16 years and over","618,213","(+/-4,985)"
Workers,"Employment Status","In labor force","374,718","(+/-7,233)"
Workers,"Employment Status","Civilian labor force","371,852","(+/-7,410)"
Workers,"Employment Status",Employed,"360,200","(+/-7,373)"
Workers,"Employment Status",Unemployed,"11,652","(+/-1,926)"
Workers,"Employment Status","Armed Forces","2,866",(+/-957)
Workers,"Employment Status","Not in labor force","243,495","(+/-7,182)"
Workers,"Employment Status","Civilian labor force","371,852","(+/-7,410)"
Workers,"Employment Status","Unemployment Rate",3.1,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","357,689","(+/-7,468)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","277,077","(+/-8,079)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,522","(+/-3,759)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,711","(+/-1,394)"
Workers,"Commuting to Work",Walked,"5,947","(+/-1,619)"
Workers,"Commuting to Work","Other means","3,241","(+/-1,118)"
Workers,"Commuting to Work","Worked from home","38,191","(+/-4,032)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.5,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","360,200","(+/-7,373)"
Workers,Occupation,"Management, business, science, and arts occupations","150,454","(+/-7,299)"
Workers,Occupation,"Service occupations","54,801","(+/-4,452)"
Workers,Occupation,"Sales and office occupations","80,446","(+/-6,326)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","30,901","(+/-3,529)"
Workers,Occupation,"Production, transportation, and material moving occupations","43,598","(+/-3,769)"
Workers,Industry,"Civilian employed population 16 years and over","360,200","(+/-7,373)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,888","(+/-1,076)"
Workers,Industry,Construction,"25,436","(+/-3,019)"
Workers,Industry,Manufacturing,"27,343","(+/-3,540)"
Workers,Industry,"Wholesale trade","6,182","(+/-1,544)"
Workers,Industry,"Retail trade","48,555","(+/-3,580)"
Workers,Industry,"Transportation and warehousing, and utilities","22,470","(+/-2,933)"
