Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","730,351","(+/-6,409)"
People,"Sex and Age",Male,"365,004","(+/-4,098)"
People,"Sex and Age",Female,"365,347","(+/-4,786)"
People,"Sex and Age","Under 5 years","43,902","(+/-2,439)"
People,"Sex and Age","5 to 9 years","44,058","(+/-3,502)"
People,"Sex and Age","10 to 14 years","47,590","(+/-3,730)"
People,"Sex and Age","15 to 19 years","46,578","(+/-2,672)"
People,"Sex and Age","20 to 24 years","43,413","(+/-2,132)"
People,"Sex and Age","25 to 34 years","113,087","(+/-2,871)"
People,"Sex and Age","35 to 44 years","109,932","(+/-3,252)"
People,"Sex and Age","45 to 54 years","89,634","(+/-2,612)"
People,"Sex and Age","55 to 59 years","42,098","(+/-2,782)"
People,"Sex and Age","60 to 64 years","42,482","(+/-2,958)"
People,"Sex and Age","65 to 74 years","65,152","(+/-1,715)"
People,"Sex and Age","75 to 84 years","33,012","(+/-1,814)"
People,"Sex and Age","85 years and over","9,413","(+/-1,562)"
People,"Sex and Age","Median age (years)",37.2,(+/-0.4)
People,"Sex and Age","18 years and over","564,329","(+/-4,800)"
People,"Sex and Age","65 years and over","107,577","(+/-2,040)"
People,Race,"Total population","730,351","(+/-6,409)"
People,Race,"One race","621,444","(+/-11,365)"
People,Race,White,"424,140","(+/-9,285)"
People,Race,"Black or African American","69,672","(+/-4,804)"
People,Race,"American Indian and Alaska Native","8,926","(+/-3,291)"
People,Race,Asian,"40,657","(+/-3,882)"
People,Race,"Native Hawaiian and Other Pacific Islander","2,075",(+/-666)
People,Race,"Some other race","75,974","(+/-9,289)"
People,Race,"Two or more races","108,907","(+/-9,642)"
People,"Hispanic or Latino and Race","Total population","730,351","(+/-6,409)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","179,657","(+/-5,449)"
People,"Hispanic or Latino and Race",Mexican,"126,694","(+/-7,087)"
People,"Hispanic or Latino and Race","Puerto Rican","4,315","(+/-1,467)"
People,"Hispanic or Latino and Race",Cuban,"2,718","(+/-1,460)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","45,930","(+/-5,834)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","550,694","(+/-7,326)"
People,"Place of Birth","Total population","730,351","(+/-6,409)"
People,"Place of Birth",Native,"601,291","(+/-8,994)"
People,"Place of Birth","Born in United States","586,801","(+/-9,046)"
People,"Place of Birth","State of residence","282,462","(+/-9,170)"
People,"Place of Birth","Different state","304,339","(+/-8,782)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","14,490","(+/-2,307)"
People,"Place of Birth","Foreign born","129,060","(+/-7,123)"
People,Ancestry,"Total population","730,351","(+/-6,409)"
People,Ancestry,American,"23,977","(+/-3,898)"
People,Ancestry,Arab,"7,041","(+/-2,835)"
People,Ancestry,Czech,"3,203",(+/-952)
People,Ancestry,Danish,"3,461","(+/-1,077)"
People,Ancestry,Dutch,"8,779","(+/-1,685)"
People,Ancestry,English,"76,633","(+/-4,994)"
People,Ancestry,"French (except Basque)","14,868","(+/-2,790)"
People,Ancestry,"French Canadian","1,930",(+/-811)
People,Ancestry,German,"104,971","(+/-6,676)"
People,Ancestry,Greek,"2,734",(+/-985)
People,Ancestry,Hungarian,"3,333","(+/-1,632)"
People,Ancestry,Irish,"68,681","(+/-6,148)"
People,Ancestry,Italian,"27,891","(+/-3,691)"
People,Ancestry,Lithuanian,"1,278",(+/-627)
People,Ancestry,Norwegian,"13,320","(+/-2,075)"
People,Ancestry,Polish,"17,064","(+/-2,567)"
People,Ancestry,Portuguese,"2,053",(+/-817)
People,Ancestry,Russian,"6,182","(+/-2,233)"
People,Ancestry,Scotch-Irish,"6,764","(+/-2,392)"
People,Ancestry,Scottish,"17,903","(+/-3,174)"
People,Ancestry,Slovak,"1,375",(+/-867)
People,Ancestry,"Subsaharan African","20,384","(+/-4,349)"
People,Ancestry,Swedish,"12,680","(+/-2,443)"
People,Ancestry,Swiss,"1,540",(+/-517)
People,Ancestry,Ukrainian,"3,685","(+/-1,699)"
People,Ancestry,Welsh,"3,905","(+/-1,492)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,190",(+/-678)
People,"Veteran Status","Civilian population 18 years and over","562,431","(+/-4,763)"
People,"Veteran Status","Civilian veterans","34,847","(+/-3,261)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","724,530","(+/-6,440)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","80,407","(+/-5,306)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","165,952","(+/-4,842)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,954","(+/-2,015)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","453,044","(+/-4,505)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","42,914","(+/-4,373)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","105,534","(+/-2,071)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","30,539","(+/-2,373)"
People,"Residence 1 Year Ago","Population 1 year and over","722,418","(+/-6,634)"
People,"Residence 1 Year Ago","Same house","603,966","(+/-11,410)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","118,452","(+/-9,952)"
People,"Residence 1 Year Ago","Different house in the U.S.","110,627","(+/-9,175)"
People,"Residence 1 Year Ago","Same county","47,945","(+/-6,449)"
People,"Residence 1 Year Ago","Different county","62,682","(+/-7,772)"
People,"Residence 1 Year Ago","Same state","37,441","(+/-6,541)"
People,"Residence 1 Year Ago","Different state","25,241","(+/-4,854)"
People,"Residence 1 Year Ago",Abroad,"7,825","(+/-2,344)"
Workers,"Employment Status","Population 16 years and over","583,382","(+/-4,760)"
Workers,"Employment Status","In labor force","418,211","(+/-6,658)"
Workers,"Employment Status","Civilian labor force","416,313","(+/-6,605)"
Workers,"Employment Status",Employed,"398,833","(+/-7,019)"
Workers,"Employment Status",Unemployed,"17,480","(+/-3,108)"
Workers,"Employment Status","Armed Forces","1,898",(+/-736)
Workers,"Employment Status","Not in labor force","165,171","(+/-5,298)"
Workers,"Employment Status","Civilian labor force","416,313","(+/-6,605)"
Workers,"Employment Status","Unemployment Rate",4.2,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","394,063","(+/-7,117)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","266,114","(+/-7,524)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,796","(+/-4,069)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","9,270","(+/-1,790)"
Workers,"Commuting to Work",Walked,"7,492","(+/-1,818)"
Workers,"Commuting to Work","Other means","7,729","(+/-1,822)"
Workers,"Commuting to Work","Worked from home","71,662","(+/-4,216)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.1,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","398,833","(+/-7,019)"
Workers,Occupation,"Management, business, science, and arts occupations","186,686","(+/-6,754)"
Workers,Occupation,"Service occupations","64,510","(+/-5,293)"
Workers,Occupation,"Sales and office occupations","75,583","(+/-4,693)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","33,164","(+/-3,123)"
Workers,Occupation,"Production, transportation, and material moving occupations","38,890","(+/-3,732)"
Workers,Industry,"Civilian employed population 16 years and over","398,833","(+/-7,019)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,750","(+/-1,102)"
Workers,Industry,Construction,"30,944","(+/-2,801)"
Workers,Industry,Manufacturing,"21,040","(+/-3,060)"
Workers,Industry,"Wholesale trade","10,745","(+/-1,794)"
Workers,Industry,"Retail trade","40,907","(+/-4,249)"
Workers,Industry,"Transportation and warehousing, and utilities","25,898","(+/-3,129)"
Workers,Industry,Information,"12,894","(+/-2,327)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","33,603","(+/-3,330)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","61,712","(+/-4,730)"
Workers,Industry,"Educational services, and health care and social assistance","83,629","(+/-4,504)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,098","(+/-3,649)"
Workers,Industry,"Other services, except public administration","20,666","(+/-2,775)"
Workers,Industry,"Public administration","14,947","(+/-2,490)"
Workers,"Class of Worker","Civilian employed population 16 years and over","398,833","(+/-7,019)"
Workers,"Class of Worker","Private wage and salary workers","326,855","(+/-8,008)"
Workers,"Class of Worker","Government workers","50,805","(+/-4,411)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","20,226","(+/-2,607)"
Workers,"Class of Worker","Unpaid family workers",947,(+/-637)
Housing,"Housing Occupancy","Total housing units","299,088","(+/-2,561)"
Housing,"Housing Occupancy","Occupied housing units","286,407","(+/-3,185)"
Housing,"Housing Occupancy","Vacant housing units","12,681","(+/-2,830)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",5.5,(+/-1.7)
Housing,"Housing Tenure","Occupied housing units","286,407","(+/-3,185)"
Housing,"Housing Tenure",Owner-occupied,"188,010","(+/-5,081)"
Housing,"Housing Tenure",Renter-occupied,"98,397","(+/-4,451)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.61,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.37,(+/-0.09)
Housing,"Year Householder Moved into Unit","Occupied housing units","286,407","(+/-3,185)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","94,920","(+/-4,416)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","53,907","(+/-3,936)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","60,846","(+/-3,700)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","38,253","(+/-3,333)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,933","(+/-2,636)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","15,548","(+/-1,476)"
Housing,Value,"Owner-occupied units","188,010","(+/-5,081)"
Housing,Value,"Less than $50,000","4,336","(+/-1,220)"
Housing,Value,"$50,000 to $99,999","2,282",(+/-828)
Housing,Value,"$100,000 to $149,999","1,294",(+/-596)
Housing,Value,"$150,000 to $199,999","1,504",(+/-591)
Housing,Value,"$200,000 to $299,999","8,690","(+/-1,672)"
Housing,Value,"$300,000 to $499,999","55,384","(+/-3,726)"
Housing,Value,"$500,000 to $999,999","97,222","(+/-4,563)"
Housing,Value,"$1,000,000 or more","17,298","(+/-1,705)"
