Topic,Subject,Title,"District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","722,450","(+/-10,707)"
People,"Sex and Age",Male,"357,201","(+/-7,886)"
People,"Sex and Age",Female,"365,249","(+/-7,238)"
People,"Sex and Age","Under 5 years","38,220","(+/-3,744)"
People,"Sex and Age","5 to 9 years","42,015","(+/-4,237)"
People,"Sex and Age","10 to 14 years","43,416","(+/-5,483)"
People,"Sex and Age","15 to 19 years","48,134","(+/-4,214)"
People,"Sex and Age","20 to 24 years","42,328","(+/-3,518)"
People,"Sex and Age","25 to 34 years","87,009","(+/-5,695)"
People,"Sex and Age","35 to 44 years","99,458","(+/-5,572)"
People,"Sex and Age","45 to 54 years","85,723","(+/-5,020)"
People,"Sex and Age","55 to 59 years","46,735","(+/-3,736)"
People,"Sex and Age","60 to 64 years","54,366","(+/-3,742)"
People,"Sex and Age","65 to 74 years","81,144","(+/-4,553)"
People,"Sex and Age","75 to 84 years","40,426","(+/-3,058)"
People,"Sex and Age","85 years and over","13,476","(+/-1,921)"
People,"Sex and Age","Median age (years)",41.3,(+/-0.9)
People,"Sex and Age","18 years and over","571,229","(+/-9,836)"
People,"Sex and Age","65 years and over","135,046","(+/-5,880)"
People,Race,"Total population","722,450","(+/-10,707)"
People,Race,"One race","622,798","(+/-13,551)"
People,Race,White,"448,992","(+/-12,129)"
People,Race,"Black or African American","66,267","(+/-7,177)"
People,Race,"American Indian and Alaska Native","1,941",(+/-867)
People,Race,Asian,"23,778","(+/-3,212)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,644","(+/-2,518)"
People,Race,"Some other race","80,176","(+/-9,239)"
People,Race,"Two or more races","99,652","(+/-9,821)"
People,"Hispanic or Latino and Race","Total population","722,450","(+/-10,707)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","173,486","(+/-10,029)"
People,"Hispanic or Latino and Race",Mexican,"15,306","(+/-4,689)"
People,"Hispanic or Latino and Race","Puerto Rican","70,515","(+/-7,600)"
People,"Hispanic or Latino and Race",Cuban,"2,833","(+/-1,538)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","84,832","(+/-9,922)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","548,964","(+/-13,517)"
People,"Place of Birth","Total population","722,450","(+/-10,707)"
People,"Place of Birth",Native,"591,990","(+/-15,085)"
People,"Place of Birth","Born in United States","561,785","(+/-14,563)"
People,"Place of Birth","State of residence","380,803","(+/-14,218)"
People,"Place of Birth","Different state","180,982","(+/-9,718)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","30,205","(+/-4,978)"
People,"Place of Birth","Foreign born","130,460","(+/-10,901)"
People,Ancestry,"Total population","722,450","(+/-10,707)"
People,Ancestry,American,"23,869","(+/-4,410)"
People,Ancestry,Arab,"5,795","(+/-1,593)"
People,Ancestry,Czech,"1,474",(+/-694)
People,Ancestry,Danish,"1,530",(+/-620)
People,Ancestry,Dutch,"4,421","(+/-1,403)"
People,Ancestry,English,"52,832","(+/-4,857)"
People,Ancestry,"French (except Basque)","21,097","(+/-3,126)"
People,Ancestry,"French Canadian","13,055","(+/-2,773)"
People,Ancestry,German,"51,494","(+/-4,497)"
People,Ancestry,Greek,"4,978","(+/-2,333)"
People,Ancestry,Hungarian,"6,119","(+/-2,056)"
People,Ancestry,Irish,"87,104","(+/-6,655)"
People,Ancestry,Italian,"105,821","(+/-7,616)"
People,Ancestry,Lithuanian,"5,618","(+/-1,924)"
People,Ancestry,Norwegian,"3,109","(+/-1,023)"
People,Ancestry,Polish,"48,971","(+/-4,962)"
People,Ancestry,Portuguese,"14,308","(+/-3,402)"
People,Ancestry,Russian,"9,795","(+/-2,885)"
People,Ancestry,Scotch-Irish,"2,412",(+/-904)
People,Ancestry,Scottish,"8,602","(+/-1,830)"
People,Ancestry,Slovak,"3,090","(+/-2,054)"
People,Ancestry,"Subsaharan African","6,641","(+/-3,233)"
People,Ancestry,Swedish,"8,632","(+/-2,079)"
People,Ancestry,Swiss,837,(+/-447)
People,Ancestry,Ukrainian,"5,155","(+/-1,979)"
People,Ancestry,Welsh,"1,229",(+/-580)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","18,340","(+/-5,469)"
People,"Veteran Status","Civilian population 18 years and over","570,895","(+/-9,777)"
People,"Veteran Status","Civilian veterans","23,700","(+/-2,191)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","713,918","(+/-10,617)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","90,410","(+/-6,235)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","151,019","(+/-7,536)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,468","(+/-2,813)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","431,882","(+/-8,815)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","43,845","(+/-4,537)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","131,017","(+/-5,886)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,097","(+/-3,085)"
People,"Residence 1 Year Ago","Population 1 year and over","713,887","(+/-11,009)"
People,"Residence 1 Year Ago","Same house","641,069","(+/-13,616)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","72,818","(+/-7,566)"
People,"Residence 1 Year Ago","Different house in the U.S.","64,780","(+/-6,509)"
People,"Residence 1 Year Ago","Same county","37,849","(+/-4,416)"
People,"Residence 1 Year Ago","Different county","26,931","(+/-4,517)"
People,"Residence 1 Year Ago","Same state","13,831","(+/-3,403)"
People,"Residence 1 Year Ago","Different state","13,100","(+/-3,453)"
People,"Residence 1 Year Ago",Abroad,"8,038","(+/-3,127)"
Workers,"Employment Status","Population 16 years and over","590,110","(+/-9,744)"
Workers,"Employment Status","In labor force","397,167","(+/-8,875)"
Workers,"Employment Status","Civilian labor force","396,833","(+/-8,848)"
Workers,"Employment Status",Employed,"377,295","(+/-8,964)"
Workers,"Employment Status",Unemployed,"19,538","(+/-3,472)"
Workers,"Employment Status","Armed Forces",334,(+/-332)
Workers,"Employment Status","Not in labor force","192,943","(+/-7,389)"
Workers,"Employment Status","Civilian labor force","396,833","(+/-8,848)"
Workers,"Employment Status","Unemployment Rate",4.9,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over","370,044","(+/-8,748)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","263,335","(+/-8,524)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","36,147","(+/-4,962)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","6,696","(+/-1,511)"
Workers,"Commuting to Work",Walked,"7,524","(+/-1,913)"
Workers,"Commuting to Work","Other means","5,416","(+/-2,062)"
Workers,"Commuting to Work","Worked from home","50,926","(+/-4,143)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.7,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","377,295","(+/-8,964)"
Workers,Occupation,"Management, business, science, and arts occupations","163,555","(+/-6,219)"
Workers,Occupation,"Service occupations","67,636","(+/-5,745)"
Workers,Occupation,"Sales and office occupations","72,070","(+/-5,412)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","32,212","(+/-3,333)"
Workers,Occupation,"Production, transportation, and material moving occupations","41,822","(+/-3,750)"
Workers,Industry,"Civilian employed population 16 years and over","377,295","(+/-8,964)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,967","(+/-1,120)"
Workers,Industry,Construction,"28,598","(+/-3,560)"
Workers,Industry,Manufacturing,"41,156","(+/-3,575)"
Workers,Industry,"Wholesale trade","6,597","(+/-1,548)"
Workers,Industry,"Retail trade","37,719","(+/-3,741)"
Workers,Industry,"Transportation and warehousing, and utilities","17,072","(+/-2,664)"
Workers,Industry,Information,"8,524","(+/-1,718)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","27,265","(+/-2,924)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","44,377","(+/-4,015)"
Workers,Industry,"Educational services, and health care and social assistance","100,252","(+/-5,455)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","30,359","(+/-4,015)"
Workers,Industry,"Other services, except public administration","18,542","(+/-3,177)"
Workers,Industry,"Public administration","13,867","(+/-2,417)"
Workers,"Class of Worker","Civilian employed population 16 years and over","377,295","(+/-8,964)"
Workers,"Class of Worker","Private wage and salary workers","302,114","(+/-9,562)"
Workers,"Class of Worker","Government workers","50,679","(+/-4,552)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","23,963","(+/-3,328)"
Workers,"Class of Worker","Unpaid family workers",539,(+/-416)
Housing,"Housing Occupancy","Total housing units","308,917","(+/-7,023)"
Housing,"Housing Occupancy","Occupied housing units","284,649","(+/-6,389)"
Housing,"Housing Occupancy","Vacant housing units","24,268","(+/-3,802)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",6.8,(+/-1.8)
Housing,"Housing Tenure","Occupied housing units","284,649","(+/-6,389)"
Housing,"Housing Tenure",Owner-occupied,"187,836","(+/-5,287)"
Housing,"Housing Tenure",Renter-occupied,"96,813","(+/-4,960)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.63,(+/-0.06)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.20,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","284,649","(+/-6,389)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","60,751","(+/-4,228)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","53,877","(+/-4,726)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","68,289","(+/-4,552)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","45,753","(+/-3,880)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","26,283","(+/-2,770)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","29,696","(+/-2,575)"
Housing,Value,"Owner-occupied units","187,836","(+/-5,287)"
Housing,Value,"Less than $50,000","5,566","(+/-1,612)"
Housing,Value,"$50,000 to $99,999","2,106",(+/-767)
Housing,Value,"$100,000 to $149,999","7,010","(+/-1,459)"
Housing,Value,"$150,000 to $199,999","15,505","(+/-2,128)"
Housing,Value,"$200,000 to $299,999","41,313","(+/-3,215)"
Housing,Value,"$300,000 to $499,999","68,756","(+/-4,198)"
Housing,Value,"$500,000 to $999,999","41,699","(+/-2,485)"
Housing,Value,"$1,000,000 or more","5,881","(+/-1,183)"
Housing,Value,"Median (dollars)","357,200","(+/-7,926)"
Housing,"Mortgage Status","Owner-occupied units","187,836","(+/-5,287)"
Housing,"Mortgage Status","Housing units with a mortgage","119,658","(+/-4,636)"
Housing,"Mortgage Status","Housing units without a mortgage","68,178","(+/-3,291)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","119,658","(+/-4,636)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",337,(+/-239)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","3,538","(+/-1,000)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","13,418","(+/-2,011)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","25,678","(+/-2,428)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","25,905","(+/-2,920)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","20,068","(+/-2,497)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","30,714","(+/-2,756)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,325",(+/-50)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","68,178","(+/-3,291)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",229,(+/-302)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","1,170",(+/-643)
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","3,528",(+/-951)
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","12,417","(+/-2,055)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","15,195","(+/-2,236)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","35,639","(+/-2,481)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,023",(+/-33)
Housing,"Gross Rent","Occupied units paying rent","92,930","(+/-4,979)"
Housing,"Gross Rent","Less than $500","8,468","(+/-2,298)"
Housing,"Gross Rent","$500 to $999","16,177","(+/-2,594)"
Housing,"Gross Rent","$1,000 to $1,499","30,758","(+/-3,401)"
Housing,"Gross Rent","$1,500 to $1,999","19,506","(+/-2,936)"
Housing,"Gross Rent","$2,000 to $2,499","9,893","(+/-1,831)"
Housing,"Gross Rent","$2,500 to $2,999","3,827","(+/-1,415)"
Housing,"Gross Rent","$3,000 or more","4,301","(+/-1,477)"
Housing,"Gross Rent","Median (dollars)","1,359",(+/-41)
Housing,"Gross Rent","No rent paid","3,883",(+/-933)
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","284,649","(+/-6,389)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","15,680","(+/-3,160)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","9,688","(+/-1,909)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","18,635","(+/-2,820)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","14,522","(+/-2,327)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","26,034","(+/-2,754)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","37,054","(+/-3,010)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","37,042","(+/-3,551)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","51,342","(+/-4,086)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","30,682","(+/-2,937)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","43,970","(+/-2,979)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","89,288","(+/-3,138)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","120,160","(+/-3,712)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","713,918","(+/-10,617)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","657,327","(+/-12,905)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","447,586","(+/-15,296)"
Socioeconomic,"Health Insurance Coverage","With public coverage","289,531","(+/-10,254)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","56,591","(+/-7,974)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","162,292","(+/-7,852)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","8,666","(+/-2,435)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",9.2,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.5,(+/-2.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",21.2,(+/-8.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.6,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",0.7,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",26.0,(+/-4.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",37.7,(+/-6.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",55.6,(+/-19.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.9,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",16.2,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",15.7,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",19.3,(+/-3.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.5,(+/-3.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.6,(+/-1.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",9.4,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",22.1,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school","172,963","(+/-9,500)"
Education,"School Enrollment","Nursery school, preschool","11,181","(+/-2,396)"
Education,"School Enrollment",Kindergarten,"8,994","(+/-1,856)"
Education,"School Enrollment","Elementary school (grades 1-8)","66,107","(+/-5,168)"
Education,"School Enrollment","High school (grades 9-12)","41,924","(+/-4,417)"
Education,"School Enrollment","College or graduate school","44,757","(+/-5,239)"
Education,"Educational Attainment","Population 25 years and over","508,337","(+/-9,327)"
Education,"Educational Attainment","Less than 9th grade","25,291","(+/-3,437)"
Education,"Educational Attainment","9th to 12th grade, no diploma","26,471","(+/-3,681)"
Education,"Educational Attainment","High school graduate (includes equivalency)","133,147","(+/-8,117)"
Education,"Educational Attainment","Some college, no degree","87,629","(+/-6,045)"
Education,"Educational Attainment","Associate's degree","38,700","(+/-4,200)"
Education,"Educational Attainment","Bachelor's degree","110,426","(+/-5,945)"
Education,"Educational Attainment","Graduate or professional degree","86,673","(+/-5,057)"
Education,"Educational Attainment","Percent high school graduate or higher",89.8,(+/-1.0)
Education,"Educational Attainment","Percent bachelor's degree or higher",38.8,(+/-1.4)


"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
