Topic,Subject,Title,"District 26 Estimate","District 26 MOE"
People,"Sex and Age","Total population","809,482","(+/-15,020)"
People,"Sex and Age",Male,"403,057","(+/-9,797)"
People,"Sex and Age",Female,"406,425","(+/-9,454)"
People,"Sex and Age","Under 5 years","40,616","(+/-3,348)"
People,"Sex and Age","5 to 9 years","36,824","(+/-3,254)"
People,"Sex and Age","10 to 14 years","43,307","(+/-3,326)"
People,"Sex and Age","15 to 19 years","45,160","(+/-3,287)"
People,"Sex and Age","20 to 24 years","45,744","(+/-3,338)"
People,"Sex and Age","25 to 34 years","98,063","(+/-6,588)"
People,"Sex and Age","35 to 44 years","103,776","(+/-4,836)"
People,"Sex and Age","45 to 54 years","117,372","(+/-5,245)"
People,"Sex and Age","55 to 59 years","59,008","(+/-4,101)"
People,"Sex and Age","60 to 64 years","53,601","(+/-3,966)"
People,"Sex and Age","65 to 74 years","88,246","(+/-5,013)"
People,"Sex and Age","75 to 84 years","57,878","(+/-4,239)"
People,"Sex and Age","85 years and over","19,887","(+/-3,352)"
People,"Sex and Age","Median age (years)",44.1,(+/-0.7)
People,"Sex and Age","18 years and over","661,870","(+/-12,569)"
People,"Sex and Age","65 years and over","166,011","(+/-6,363)"
People,Race,"Total population","809,482","(+/-15,020)"
People,Race,"One race","401,093","(+/-12,857)"
People,Race,White,"255,575","(+/-11,408)"
People,Race,"Black or African American","43,579","(+/-4,765)"
People,Race,"American Indian and Alaska Native","8,523","(+/-3,334)"
People,Race,Asian,"9,519","(+/-2,352)"
People,Race,"Native Hawaiian and Other Pacific Islander",465,(+/-470)
People,Race,"Some other race","83,432","(+/-9,452)"
People,Race,"Two or more races","408,389","(+/-14,166)"
People,"Hispanic or Latino and Race","Total population","809,482","(+/-15,020)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","585,342","(+/-13,792)"
People,"Hispanic or Latino and Race",Mexican,"37,601","(+/-5,226)"
People,"Hispanic or Latino and Race","Puerto Rican","23,527","(+/-5,303)"
People,"Hispanic or Latino and Race",Cuban,"317,127","(+/-12,511)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","207,087","(+/-10,778)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","224,140","(+/-9,707)"
People,"Place of Birth","Total population","809,482","(+/-15,020)"
People,"Place of Birth",Native,"358,233","(+/-13,593)"
People,"Place of Birth","Born in United States","336,845","(+/-12,969)"
People,"Place of Birth","State of residence","199,261","(+/-9,961)"
People,"Place of Birth","Different state","137,584","(+/-6,881)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","21,388","(+/-3,288)"
People,"Place of Birth","Foreign born","451,249","(+/-12,140)"
People,Ancestry,"Total population","809,482","(+/-15,020)"
People,Ancestry,American,"26,580","(+/-4,782)"
People,Ancestry,Arab,"1,827",(+/-932)
People,Ancestry,Czech,773,(+/-345)
People,Ancestry,Danish,120,(+/-131)
People,Ancestry,Dutch,"1,281",(+/-572)
People,Ancestry,English,"20,121","(+/-3,327)"
People,Ancestry,"French (except Basque)","8,971","(+/-2,406)"
People,Ancestry,"French Canadian","1,025",(+/-544)
People,Ancestry,German,"26,093","(+/-3,752)"
People,Ancestry,Greek,"1,755","(+/-1,127)"
People,Ancestry,Hungarian,880,(+/-465)
People,Ancestry,Irish,"27,711","(+/-4,646)"
People,Ancestry,Italian,"30,787","(+/-4,209)"
People,Ancestry,Lithuanian,320,(+/-292)
People,Ancestry,Norwegian,"1,310",(+/-668)
People,Ancestry,Polish,"7,554","(+/-1,817)"
People,Ancestry,Portuguese,"1,431",(+/-547)
People,Ancestry,Russian,"2,062",(+/-887)
People,Ancestry,Scotch-Irish,"1,607",(+/-877)
People,Ancestry,Scottish,"3,177",(+/-951)
People,Ancestry,Slovak,226,(+/-201)
People,Ancestry,"Subsaharan African","1,492",(+/-808)
People,Ancestry,Swedish,"2,338","(+/-1,131)"
People,Ancestry,Swiss,458,(+/-225)
People,Ancestry,Ukrainian,"1,282",(+/-496)
People,Ancestry,Welsh,"1,102",(+/-593)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","24,074","(+/-4,106)"
People,"Veteran Status","Civilian population 18 years and over","661,651","(+/-12,553)"
People,"Veteran Status","Civilian veterans","16,780","(+/-2,354)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","801,366","(+/-14,991)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","87,416","(+/-6,469)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","147,417","(+/-6,226)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,794","(+/-1,872)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","490,546","(+/-10,414)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","30,068","(+/-3,455)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","163,403","(+/-6,456)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,554","(+/-4,219)"
People,"Residence 1 Year Ago","Population 1 year and over","801,670","(+/-15,151)"
People,"Residence 1 Year Ago","Same house","687,984","(+/-15,268)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","113,686","(+/-9,393)"
People,"Residence 1 Year Ago","Different house in the U.S.","84,117","(+/-8,947)"
People,"Residence 1 Year Ago","Same county","63,624","(+/-8,484)"
People,"Residence 1 Year Ago","Different county","20,493","(+/-3,785)"
People,"Residence 1 Year Ago","Same state","8,870","(+/-2,645)"
People,"Residence 1 Year Ago","Different state","11,623","(+/-2,643)"
People,"Residence 1 Year Ago",Abroad,"29,569","(+/-4,521)"
Workers,"Employment Status","Population 16 years and over","681,030","(+/-12,591)"
Workers,"Employment Status","In labor force","420,048","(+/-10,522)"
Workers,"Employment Status","Civilian labor force","419,829","(+/-10,499)"
Workers,"Employment Status",Employed,"405,379","(+/-10,748)"
Workers,"Employment Status",Unemployed,"14,450","(+/-2,494)"
Workers,"Employment Status","Armed Forces",219,(+/-261)
Workers,"Employment Status","Not in labor force","260,982","(+/-8,768)"
Workers,"Employment Status","Civilian labor force","419,829","(+/-10,499)"
Workers,"Employment Status","Unemployment Rate",3.4,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","398,915","(+/-10,784)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","266,941","(+/-9,676)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","45,285","(+/-4,201)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","8,687","(+/-2,116)"
Workers,"Commuting to Work",Walked,"7,082","(+/-1,728)"
Workers,"Commuting to Work","Other means","10,717","(+/-2,480)"
Workers,"Commuting to Work","Worked from home","60,203","(+/-5,228)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",29.1,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","405,379","(+/-10,748)"
Workers,Occupation,"Management, business, science, and arts occupations","137,300","(+/-7,368)"
Workers,Occupation,"Service occupations","80,864","(+/-5,532)"
Workers,Occupation,"Sales and office occupations","84,955","(+/-6,556)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","46,420","(+/-4,465)"
Workers,Occupation,"Production, transportation, and material moving occupations","55,840","(+/-4,831)"
Workers,Industry,"Civilian employed population 16 years and over","405,379","(+/-10,748)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,869","(+/-1,330)"
Workers,Industry,Construction,"41,635","(+/-4,280)"
Workers,Industry,Manufacturing,"25,813","(+/-3,294)"
Workers,Industry,"Wholesale trade","12,957","(+/-2,332)"
Workers,Industry,"Retail trade","42,167","(+/-4,866)"
Workers,Industry,"Transportation and warehousing, and utilities","40,596","(+/-4,332)"
Workers,Industry,Information,"6,987","(+/-1,692)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","31,263","(+/-3,384)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","54,709","(+/-4,416)"
Workers,Industry,"Educational services, and health care and social assistance","72,994","(+/-5,311)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,551","(+/-4,025)"
Workers,Industry,"Other services, except public administration","24,261","(+/-3,532)"
Workers,Industry,"Public administration","9,577","(+/-2,225)"
Workers,"Class of Worker","Civilian employed population 16 years and over","405,379","(+/-10,748)"
Workers,"Class of Worker","Private wage and salary workers","340,626","(+/-10,694)"
Workers,"Class of Worker","Government workers","27,136","(+/-3,629)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","36,663","(+/-3,943)"
Workers,"Class of Worker","Unpaid family workers",954,(+/-728)
Housing,"Housing Occupancy","Total housing units","325,467","(+/-7,158)"
Housing,"Housing Occupancy","Occupied housing units","285,495","(+/-6,306)"
Housing,"Housing Occupancy","Vacant housing units","39,972","(+/-3,967)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",4.1,(+/-1.0)
Housing,"Housing Tenure","Occupied housing units","285,495","(+/-6,306)"
Housing,"Housing Tenure",Owner-occupied,"163,409","(+/-4,521)"
Housing,"Housing Tenure",Renter-occupied,"122,086","(+/-5,684)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.83,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.74,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","285,495","(+/-6,306)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","88,533","(+/-5,133)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","53,031","(+/-3,690)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","66,060","(+/-4,139)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","40,666","(+/-2,812)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","23,498","(+/-2,735)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","13,707","(+/-1,795)"
