Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","797,492","(+/-9,651)"
People,"Sex and Age",Male,"394,471","(+/-6,274)"
People,"Sex and Age",Female,"403,021","(+/-6,025)"
People,"Sex and Age","Under 5 years","41,904","(+/-2,754)"
People,"Sex and Age","5 to 9 years","48,896","(+/-3,636)"
People,"Sex and Age","10 to 14 years","60,965","(+/-3,639)"
People,"Sex and Age","15 to 19 years","57,895","(+/-3,056)"
People,"Sex and Age","20 to 24 years","38,923","(+/-3,341)"
People,"Sex and Age","25 to 34 years","89,400","(+/-5,083)"
People,"Sex and Age","35 to 44 years","114,651","(+/-4,561)"
People,"Sex and Age","45 to 54 years","124,557","(+/-3,963)"
People,"Sex and Age","55 to 59 years","52,580","(+/-3,143)"
People,"Sex and Age","60 to 64 years","50,792","(+/-3,820)"
People,"Sex and Age","65 to 74 years","69,504","(+/-3,319)"
People,"Sex and Age","75 to 84 years","36,865","(+/-2,151)"
People,"Sex and Age","85 years and over","10,560","(+/-1,492)"
People,"Sex and Age","Median age (years)",40.6,(+/-0.7)
People,"Sex and Age","18 years and over","607,210","(+/-8,481)"
People,"Sex and Age","65 years and over","116,929","(+/-4,265)"
People,Race,"Total population","797,492","(+/-9,651)"
People,Race,"One race","710,490","(+/-10,266)"
People,Race,White,"500,122","(+/-9,924)"
People,Race,"Black or African American","70,617","(+/-7,690)"
People,Race,"American Indian and Alaska Native","2,318",(+/-989)
People,Race,Asian,"106,808","(+/-4,408)"
People,Race,"Native Hawaiian and Other Pacific Islander",79,(+/-155)
People,Race,"Some other race","30,546","(+/-5,970)"
People,Race,"Two or more races","87,002","(+/-7,844)"
People,"Hispanic or Latino and Race","Total population","797,492","(+/-9,651)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","87,563","(+/-6,683)"
People,"Hispanic or Latino and Race",Mexican,"38,319","(+/-5,201)"
People,"Hispanic or Latino and Race","Puerto Rican","10,536","(+/-3,559)"
People,"Hispanic or Latino and Race",Cuban,"4,721","(+/-1,526)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","33,987","(+/-4,731)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","709,929","(+/-10,437)"
People,"Place of Birth","Total population","797,492","(+/-9,651)"
People,"Place of Birth",Native,"639,147","(+/-11,445)"
People,"Place of Birth","Born in United States","625,408","(+/-11,227)"
People,"Place of Birth","State of residence","297,283","(+/-10,140)"
People,"Place of Birth","Different state","328,125","(+/-10,049)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","13,739","(+/-2,491)"
People,"Place of Birth","Foreign born","158,345","(+/-6,837)"
People,Ancestry,"Total population","797,492","(+/-9,651)"
People,Ancestry,American,"47,167","(+/-4,829)"
People,Ancestry,Arab,"5,338","(+/-1,790)"
People,Ancestry,Czech,"1,451",(+/-857)
People,Ancestry,Danish,"2,218","(+/-1,183)"
People,Ancestry,Dutch,"6,940","(+/-1,959)"
People,Ancestry,English,"108,313","(+/-7,727)"
People,Ancestry,"French (except Basque)","12,364","(+/-2,215)"
People,Ancestry,"French Canadian","2,311","(+/-1,033)"
People,Ancestry,German,"75,721","(+/-5,959)"
People,Ancestry,Greek,"2,372",(+/-859)
People,Ancestry,Hungarian,"2,018",(+/-671)
People,Ancestry,Irish,"68,911","(+/-5,146)"
People,Ancestry,Italian,"31,748","(+/-4,012)"
People,Ancestry,Lithuanian,"2,041",(+/-630)
People,Ancestry,Norwegian,"5,205","(+/-1,484)"
People,Ancestry,Polish,"14,496","(+/-2,164)"
People,Ancestry,Portuguese,"4,144","(+/-1,400)"
People,Ancestry,Russian,"7,815","(+/-1,914)"
People,Ancestry,Scotch-Irish,"8,365","(+/-1,713)"
People,Ancestry,Scottish,"18,929","(+/-2,593)"
People,Ancestry,Slovak,"1,230",(+/-594)
People,Ancestry,"Subsaharan African","12,108","(+/-4,056)"
People,Ancestry,Swedish,"7,374","(+/-1,989)"
People,Ancestry,Swiss,890,(+/-436)
People,Ancestry,Ukrainian,"4,290","(+/-1,442)"
People,Ancestry,Welsh,"3,473",(+/-888)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","8,260","(+/-2,739)"
People,"Veteran Status","Civilian population 18 years and over","606,748","(+/-8,482)"
People,"Veteran Status","Civilian veterans","30,336","(+/-2,992)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","795,184","(+/-9,650)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","71,248","(+/-5,640)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","190,272","(+/-5,995)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,711","(+/-1,449)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","488,809","(+/-7,588)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","32,601","(+/-3,932)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","116,103","(+/-4,279)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","31,936","(+/-3,082)"
