Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","723,269","(+/-10,952)"
People,"Sex and Age",Male,"360,404","(+/-6,331)"
People,"Sex and Age",Female,"362,865","(+/-5,551)"
People,"Sex and Age","Under 5 years","37,161","(+/-2,009)"
People,"Sex and Age","5 to 9 years","39,764","(+/-3,332)"
People,"Sex and Age","10 to 14 years","41,567","(+/-2,588)"
People,"Sex and Age","15 to 19 years","39,661","(+/-1,806)"
People,"Sex and Age","20 to 24 years","41,908","(+/-2,185)"
People,"Sex and Age","25 to 34 years","102,070","(+/-3,065)"
People,"Sex and Age","35 to 44 years","97,294","(+/-3,336)"
People,"Sex and Age","45 to 54 years","89,291","(+/-2,630)"
People,"Sex and Age","55 to 59 years","42,855","(+/-2,242)"
People,"Sex and Age","60 to 64 years","45,118","(+/-2,343)"
People,"Sex and Age","65 to 74 years","75,885","(+/-2,125)"
People,"Sex and Age","75 to 84 years","49,949","(+/-2,635)"
People,"Sex and Age","85 years and over","20,746","(+/-2,181)"
People,"Sex and Age","Median age (years)",41.0,(+/-0.6)
People,"Sex and Age","18 years and over","580,699","(+/-7,609)"
People,"Sex and Age","65 years and over","146,580","(+/-3,126)"
People,Race,"Total population","723,269","(+/-10,952)"
People,Race,"One race","550,558","(+/-11,599)"
People,Race,White,"112,774","(+/-4,567)"
People,Race,"Black or African American","13,073","(+/-2,547)"
People,Race,"American Indian and Alaska Native","1,396",(+/-795)
People,Race,Asian,"353,639","(+/-8,547)"
People,Race,"Native Hawaiian and Other Pacific Islander","57,776","(+/-5,913)"
People,Race,"Some other race","11,900","(+/-3,102)"
People,Race,"Two or more races","172,711","(+/-8,336)"
People,"Hispanic or Latino and Race","Total population","723,269","(+/-10,952)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","64,290","(+/-4,200)"
People,"Hispanic or Latino and Race",Mexican,"20,053","(+/-3,288)"
People,"Hispanic or Latino and Race","Puerto Rican","20,278","(+/-3,486)"
People,"Hispanic or Latino and Race",Cuban,"1,737","(+/-1,056)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,222","(+/-3,619)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","658,979","(+/-10,020)"
People,"Place of Birth","Total population","723,269","(+/-10,952)"
People,"Place of Birth",Native,"563,364","(+/-10,298)"
People,"Place of Birth","Born in United States","537,570","(+/-9,809)"
People,"Place of Birth","State of residence","382,449","(+/-9,351)"
People,"Place of Birth","Different state","155,121","(+/-6,799)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","25,794","(+/-2,994)"
People,"Place of Birth","Foreign born","159,905","(+/-7,001)"
People,Ancestry,"Total population","723,269","(+/-10,952)"
People,Ancestry,American,"8,761","(+/-2,037)"
People,Ancestry,Arab,821,(+/-484)
People,Ancestry,Czech,505,(+/-285)
People,Ancestry,Danish,"1,279",(+/-669)
People,Ancestry,Dutch,"2,852","(+/-1,121)"
