Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","955,765","(+/-5,140)"
People,"Sex and Age",Male,"479,169","(+/-3,978)"
People,"Sex and Age",Female,"476,596","(+/-3,736)"
People,"Sex and Age","Under 5 years","54,932","(+/-1,906)"
People,"Sex and Age","5 to 9 years","59,595","(+/-3,249)"
People,"Sex and Age","10 to 14 years","69,425","(+/-2,903)"
People,"Sex and Age","15 to 19 years","77,652","(+/-3,449)"
People,"Sex and Age","20 to 24 years","73,598","(+/-3,508)"
People,"Sex and Age","25 to 34 years","131,629","(+/-4,456)"
People,"Sex and Age","35 to 44 years","123,907","(+/-3,423)"
People,"Sex and Age","45 to 54 years","107,417","(+/-3,299)"
People,"Sex and Age","55 to 59 years","49,804","(+/-3,334)"
People,"Sex and Age","60 to 64 years","55,827","(+/-3,170)"
People,"Sex and Age","65 to 74 years","89,764","(+/-2,273)"
People,"Sex and Age","75 to 84 years","47,556","(+/-1,852)"
People,"Sex and Age","85 years and over","14,659","(+/-1,558)"
People,"Sex and Age","Median age (years)",35.9,(+/-0.3)
People,"Sex and Age","18 years and over","728,517","(+/-4,526)"
People,"Sex and Age","65 years and over","151,979","(+/-2,612)"
People,Race,"Total population","955,765","(+/-5,140)"
People,Race,"One race","867,496","(+/-8,224)"
People,Race,White,"774,900","(+/-8,314)"
People,Race,"Black or African American","9,267","(+/-2,076)"
People,Race,"American Indian and Alaska Native","10,671","(+/-1,895)"
People,Race,Asian,"13,307","(+/-2,300)"
People,Race,"Native Hawaiian and Other Pacific Islander","2,642","(+/-1,155)"
People,Race,"Some other race","56,709","(+/-8,122)"
People,Race,"Two or more races","88,269","(+/-7,472)"
People,"Hispanic or Latino and Race","Total population","955,765","(+/-5,140)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","142,867","(+/-3,339)"
People,"Hispanic or Latino and Race",Mexican,"113,316","(+/-5,706)"
People,"Hispanic or Latino and Race","Puerto Rican","2,543","(+/-1,264)"
People,"Hispanic or Latino and Race",Cuban,307,(+/-255)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","26,701","(+/-4,501)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","812,898","(+/-4,238)"
People,"Place of Birth","Total population","955,765","(+/-5,140)"
People,"Place of Birth",Native,"892,389","(+/-5,726)"
People,"Place of Birth","Born in United States","883,259","(+/-5,876)"
People,"Place of Birth","State of residence","468,842","(+/-9,789)"
People,"Place of Birth","Different state","414,417","(+/-10,236)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","9,130","(+/-1,729)"
People,"Place of Birth","Foreign born","63,376","(+/-4,769)"
People,Ancestry,"Total population","955,765","(+/-5,140)"
People,Ancestry,American,"48,279","(+/-5,274)"
People,Ancestry,Arab,"2,305","(+/-1,050)"
People,Ancestry,Czech,968,(+/-376)
People,Ancestry,Danish,"19,544","(+/-2,692)"
People,Ancestry,Dutch,"12,990","(+/-3,242)"
People,Ancestry,English,"205,289","(+/-8,585)"
People,Ancestry,"French (except Basque)","16,223","(+/-2,820)"
People,Ancestry,"French Canadian","4,092","(+/-1,581)"
People,Ancestry,German,"135,787","(+/-8,326)"
People,Ancestry,Greek,993,(+/-515)
People,Ancestry,Hungarian,"1,363",(+/-728)
People,Ancestry,Irish,"65,680","(+/-5,394)"
People,Ancestry,Italian,"24,740","(+/-3,758)"
People,Ancestry,Lithuanian,664,(+/-371)
People,Ancestry,Norwegian,"23,002","(+/-3,141)"
People,Ancestry,Polish,"11,917","(+/-2,317)"
People,Ancestry,Portuguese,"2,616",(+/-948)
People,Ancestry,Russian,"4,021","(+/-1,743)"
People,Ancestry,Scotch-Irish,"8,111","(+/-2,067)"
People,Ancestry,Scottish,"28,024","(+/-3,364)"
People,Ancestry,Slovak,498,(+/-348)
People,Ancestry,"Subsaharan African","4,219","(+/-1,627)"
People,Ancestry,Swedish,"23,741","(+/-2,765)"
People,Ancestry,Swiss,"5,407","(+/-1,511)"
People,Ancestry,Ukrainian,"1,348",(+/-601)
People,Ancestry,Welsh,"14,876","(+/-2,907)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",541,(+/-367)
People,"Veteran Status","Civilian population 18 years and over","724,379","(+/-4,679)"
People,"Veteran Status","Civilian veterans","48,858","(+/-3,683)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","942,104","(+/-5,312)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","134,888","(+/-6,539)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","227,062","(+/-2,840)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","13,218","(+/-1,898)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","567,657","(+/-4,624)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","72,711","(+/-5,368)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","147,385","(+/-2,616)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","48,959","(+/-2,913)"
People,"Residence 1 Year Ago","Population 1 year and over","947,294","(+/-5,180)"
People,"Residence 1 Year Ago","Same house","804,071","(+/-8,648)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","143,223","(+/-8,214)"
People,"Residence 1 Year Ago","Different house in the U.S.","138,000","(+/-7,916)"
People,"Residence 1 Year Ago","Same county","71,807","(+/-6,075)"
People,"Residence 1 Year Ago","Different county","66,193","(+/-5,501)"
People,"Residence 1 Year Ago","Same state","27,381","(+/-3,726)"
People,"Residence 1 Year Ago","Different state","38,812","(+/-4,780)"
People,"Residence 1 Year Ago",Abroad,"5,223","(+/-1,627)"
Workers,"Employment Status","Population 16 years and over","757,845","(+/-4,914)"
Workers,"Employment Status","In labor force","487,221","(+/-6,613)"
Workers,"Employment Status","Civilian labor force","483,083","(+/-6,734)"
Workers,"Employment Status",Employed,"466,047","(+/-7,060)"
Workers,"Employment Status",Unemployed,"17,036","(+/-2,182)"
Workers,"Employment Status","Armed Forces","4,138",(+/-939)
Workers,"Employment Status","Not in labor force","270,624","(+/-6,759)"
Workers,"Employment Status","Civilian labor force","483,083","(+/-6,734)"
Workers,"Employment Status","Unemployment Rate",3.5,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","460,999","(+/-6,853)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","329,023","(+/-6,646)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","48,933","(+/-4,306)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","4,824","(+/-1,054)"
Workers,"Commuting to Work",Walked,"14,117","(+/-1,823)"
Workers,"Commuting to Work","Other means","8,628","(+/-1,483)"
Workers,"Commuting to Work","Worked from home","55,474","(+/-3,416)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.3,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","466,047","(+/-7,060)"
Workers,Occupation,"Management, business, science, and arts occupations","187,885","(+/-6,556)"
Workers,Occupation,"Service occupations","76,388","(+/-5,110)"
Workers,Occupation,"Sales and office occupations","88,411","(+/-4,904)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","50,604","(+/-3,613)"
Workers,Occupation,"Production, transportation, and material moving occupations","62,759","(+/-4,478)"
Workers,Industry,"Civilian employed population 16 years and over","466,047","(+/-7,060)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","21,107","(+/-2,625)"
Workers,Industry,Construction,"37,407","(+/-3,937)"
Workers,Industry,Manufacturing,"45,846","(+/-3,531)"
Workers,Industry,"Wholesale trade","8,930","(+/-1,921)"
Workers,Industry,"Retail trade","48,827","(+/-3,588)"
Workers,Industry,"Transportation and warehousing, and utilities","25,797","(+/-3,212)"
Workers,Industry,Information,"6,630","(+/-1,228)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,977","(+/-2,784)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","49,589","(+/-2,921)"
Workers,Industry,"Educational services, and health care and social assistance","105,805","(+/-5,038)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","47,447","(+/-3,758)"
Workers,Industry,"Other services, except public administration","19,537","(+/-2,753)"
Workers,Industry,"Public administration","24,148","(+/-2,756)"
Workers,"Class of Worker","Civilian employed population 16 years and over","466,047","(+/-7,060)"
Workers,"Class of Worker","Private wage and salary workers","355,086","(+/-7,890)"
Workers,"Class of Worker","Government workers","73,714","(+/-4,412)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","36,069","(+/-3,035)"
Workers,"Class of Worker","Unpaid family workers","1,178",(+/-634)
Housing,"Housing Occupancy","Total housing units","396,450","(+/-3,133)"
Housing,"Housing Occupancy","Occupied housing units","358,787","(+/-4,178)"
Housing,"Housing Occupancy","Vacant housing units","37,663","(+/-3,622)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.6,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","358,787","(+/-4,178)"
Housing,"Housing Tenure",Owner-occupied,"245,785","(+/-4,868)"
Housing,"Housing Tenure",Renter-occupied,"113,002","(+/-5,047)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.71,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.28,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","358,787","(+/-4,178)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","102,376","(+/-4,832)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","71,370","(+/-4,562)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","78,530","(+/-4,652)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","51,963","(+/-3,209)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","28,153","(+/-2,160)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","26,395","(+/-2,104)"
Housing,Value,"Owner-occupied units","245,785","(+/-4,868)"
Housing,Value,"Less than $50,000","9,910","(+/-1,309)"
Housing,Value,"$50,000 to $99,999","7,448","(+/-1,416)"
Housing,Value,"$100,000 to $149,999","6,430","(+/-1,181)"
Housing,Value,"$150,000 to $199,999","9,920","(+/-1,425)"
Housing,Value,"$200,000 to $299,999","38,587","(+/-3,221)"
Housing,Value,"$300,000 to $499,999","92,563","(+/-4,797)"
Housing,Value,"$500,000 to $999,999","67,902","(+/-3,508)"
Housing,Value,"$1,000,000 or more","13,025","(+/-1,413)"
Housing,Value,"Median (dollars)","399,100","(+/-7,821)"
Housing,"Mortgage Status","Owner-occupied units","245,785","(+/-4,868)"
Housing,"Mortgage Status","Housing units with a mortgage","148,958","(+/-4,692)"
Housing,"Mortgage Status","Housing units without a mortgage","96,827","(+/-3,668)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","148,958","(+/-4,692)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,294",(+/-495)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","19,449","(+/-1,999)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","43,811","(+/-3,033)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","37,456","(+/-2,750)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","21,830","(+/-2,275)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","11,524","(+/-1,688)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","13,594","(+/-1,887)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,617",(+/-30)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","96,827","(+/-3,668)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","7,739","(+/-1,306)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","22,132","(+/-2,140)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","35,694","(+/-2,301)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","17,474","(+/-1,864)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","7,290","(+/-1,244)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","6,498","(+/-1,179)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",494,(+/-11)
