Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","725,829","(+/-11,898)"
People,"Sex and Age",Male,"360,759","(+/-7,786)"
People,"Sex and Age",Female,"365,070","(+/-7,620)"
People,"Sex and Age","Under 5 years","39,670","(+/-4,138)"
People,"Sex and Age","5 to 9 years","43,634","(+/-4,248)"
People,"Sex and Age","10 to 14 years","41,311","(+/-4,088)"
People,"Sex and Age","15 to 19 years","41,622","(+/-3,467)"
People,"Sex and Age","20 to 24 years","37,375","(+/-3,486)"
People,"Sex and Age","25 to 34 years","89,275","(+/-5,825)"
People,"Sex and Age","35 to 44 years","95,298","(+/-5,320)"
People,"Sex and Age","45 to 54 years","87,019","(+/-5,024)"
People,"Sex and Age","55 to 59 years","45,275","(+/-3,721)"
People,"Sex and Age","60 to 64 years","54,358","(+/-4,648)"
People,"Sex and Age","65 to 74 years","87,687","(+/-4,852)"
People,"Sex and Age","75 to 84 years","47,406","(+/-3,567)"
People,"Sex and Age","85 years and over","15,899","(+/-1,963)"
People,"Sex and Age","Median age (years)",42.3,(+/-1.0)
People,"Sex and Age","18 years and over","574,540","(+/-9,469)"
People,"Sex and Age","65 years and over","150,992","(+/-6,012)"
People,Race,"Total population","725,829","(+/-11,898)"
People,Race,"One race","657,623","(+/-13,301)"
People,Race,White,"536,193","(+/-13,318)"
People,Race,"Black or African American","39,913","(+/-6,988)"
People,Race,"American Indian and Alaska Native","1,500",(+/-858)
People,Race,Asian,"41,518","(+/-5,718)"
People,Race,"Native Hawaiian and Other Pacific Islander",138,(+/-154)
People,Race,"Some other race","38,361","(+/-5,865)"
People,Race,"Two or more races","68,206","(+/-7,221)"
People,"Hispanic or Latino and Race","Total population","725,829","(+/-11,898)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","118,713","(+/-10,951)"
People,"Hispanic or Latino and Race",Mexican,"91,452","(+/-9,460)"
People,"Hispanic or Latino and Race","Puerto Rican","12,115","(+/-3,213)"
People,"Hispanic or Latino and Race",Cuban,"1,419",(+/-753)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,727","(+/-3,834)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","607,116","(+/-13,736)"
