Topic,Subject,Title,"District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","781,999","(+/-1,571)"
People,"Sex and Age",Male,"386,779","(+/-1,897)"
People,"Sex and Age",Female,"395,220","(+/-1,544)"
People,"Sex and Age","Under 5 years","43,156",(+/-959)
People,"Sex and Age","5 to 9 years","44,254","(+/-3,455)"
People,"Sex and Age","10 to 14 years","56,803","(+/-3,303)"
People,"Sex and Age","15 to 19 years","57,527","(+/-1,957)"
People,"Sex and Age","20 to 24 years","54,324","(+/-1,381)"
People,"Sex and Age","25 to 34 years","94,753","(+/-2,087)"
People,"Sex and Age","35 to 44 years","104,063","(+/-1,974)"
People,"Sex and Age","45 to 54 years","99,049","(+/-1,662)"
People,"Sex and Age","55 to 59 years","47,805","(+/-2,885)"
People,"Sex and Age","60 to 64 years","48,674","(+/-3,313)"
People,"Sex and Age","65 to 74 years","76,426","(+/-1,134)"
People,"Sex and Age","75 to 84 years","42,326","(+/-1,775)"
People,"Sex and Age","85 years and over","12,839","(+/-1,425)"
People,"Sex and Age","Median age (years)",38.5,(+/-0.4)
People,"Sex and Age","18 years and over","603,458","(+/-1,286)"
People,"Sex and Age","65 years and over","131,591","(+/-1,330)"
People,Race,"Total population","781,999","(+/-1,571)"
People,Race,"One race","725,292","(+/-5,564)"
People,Race,White,"644,386","(+/-3,878)"
People,Race,"Black or African American","38,126","(+/-2,660)"
People,Race,"American Indian and Alaska Native","1,632",(+/-901)
People,Race,Asian,"30,252","(+/-2,698)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,662","(+/-1,860)"
People,Race,"Some other race","9,234","(+/-2,441)"
People,Race,"Two or more races","56,707","(+/-5,028)"
People,"Hispanic or Latino and Race","Total population","781,999","(+/-1,571)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","40,683",(+/-187)
People,"Hispanic or Latino and Race",Mexican,"24,112","(+/-2,835)"
People,"Hispanic or Latino and Race","Puerto Rican","3,530","(+/-1,367)"
People,"Hispanic or Latino and Race",Cuban,"1,901","(+/-1,374)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,140","(+/-2,500)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","741,316","(+/-1,575)"
People,"Place of Birth","Total population","781,999","(+/-1,571)"
People,"Place of Birth",Native,"733,792","(+/-4,457)"
People,"Place of Birth","Born in United States","726,935","(+/-4,513)"
People,"Place of Birth","State of residence","528,204","(+/-8,942)"
People,"Place of Birth","Different state","198,731","(+/-9,054)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,857","(+/-1,583)"
People,"Place of Birth","Foreign born","48,207","(+/-4,030)"
People,Ancestry,"Total population","781,999","(+/-1,571)"
People,Ancestry,American,"55,173","(+/-6,265)"
People,Ancestry,Arab,"5,606","(+/-2,273)"
People,Ancestry,Czech,"1,373",(+/-797)
People,Ancestry,Danish,934,(+/-603)
People,Ancestry,Dutch,"7,671","(+/-1,640)"
People,Ancestry,English,"108,105","(+/-7,637)"
People,Ancestry,"French (except Basque)","13,970","(+/-2,253)"
