Topic,Subject,Title,"District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population","821,239","(+/-2,652)"
People,"Sex and Age",Male,"409,355","(+/-2,334)"
People,"Sex and Age",Female,"411,884","(+/-2,010)"
People,"Sex and Age","Under 5 years","50,841",(+/-794)
People,"Sex and Age","5 to 9 years","57,469","(+/-2,880)"
People,"Sex and Age","10 to 14 years","54,254","(+/-3,023)"
People,"Sex and Age","15 to 19 years","54,735","(+/-1,800)"
People,"Sex and Age","20 to 24 years","50,659","(+/-1,910)"
People,"Sex and Age","25 to 34 years","111,362","(+/-2,531)"
People,"Sex and Age","35 to 44 years","117,121","(+/-2,348)"
People,"Sex and Age","45 to 54 years","97,398","(+/-1,994)"
People,"Sex and Age","55 to 59 years","45,844","(+/-3,118)"
People,"Sex and Age","60 to 64 years","50,808","(+/-3,164)"
People,"Sex and Age","65 to 74 years","76,203","(+/-1,095)"
People,"Sex and Age","75 to 84 years","38,475","(+/-1,638)"
People,"Sex and Age","85 years and over","16,070","(+/-1,682)"
People,"Sex and Age","Median age (years)",37.9,(+/-0.3)
People,"Sex and Age","18 years and over","623,178","(+/-1,934)"
People,"Sex and Age","65 years and over","130,748","(+/-1,295)"
People,Race,"Total population","821,239","(+/-2,652)"
People,Race,"One race","767,862","(+/-7,046)"
People,Race,White,"660,816","(+/-5,215)"
People,Race,"Black or African American","44,462","(+/-3,454)"
People,Race,"American Indian and Alaska Native","3,349","(+/-1,737)"
People,Race,Asian,"32,097","(+/-1,810)"
People,Race,"Native Hawaiian and Other Pacific Islander",927,(+/-749)
People,Race,"Some other race","26,211","(+/-4,353)"
People,Race,"Two or more races","53,377","(+/-6,640)"
People,"Hispanic or Latino and Race","Total population","821,239","(+/-2,652)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","71,957",(+/-837)
People,"Hispanic or Latino and Race",Mexican,"47,888","(+/-4,881)"
People,"Hispanic or Latino and Race","Puerto Rican","2,668","(+/-1,845)"
People,"Hispanic or Latino and Race",Cuban,504,(+/-587)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,897","(+/-4,592)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","749,282","(+/-2,669)"
People,"Place of Birth","Total population","821,239","(+/-2,652)"
