Topic,Subject,Title,"District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population","749,221","(+/-6,596)"
People,"Sex and Age",Male,"369,448","(+/-3,713)"
People,"Sex and Age",Female,"379,773","(+/-3,793)"
People,"Sex and Age","Under 5 years","43,028","(+/-1,280)"
People,"Sex and Age","5 to 9 years","48,687","(+/-3,287)"
People,"Sex and Age","10 to 14 years","52,731","(+/-3,678)"
People,"Sex and Age","15 to 19 years","47,203","(+/-1,536)"
People,"Sex and Age","20 to 24 years","45,826","(+/-1,406)"
People,"Sex and Age","25 to 34 years","99,723","(+/-2,085)"
People,"Sex and Age","35 to 44 years","109,435","(+/-2,218)"
People,"Sex and Age","45 to 54 years","90,311","(+/-1,586)"
People,"Sex and Age","55 to 59 years","42,745","(+/-2,760)"
People,"Sex and Age","60 to 64 years","47,036","(+/-3,007)"
People,"Sex and Age","65 to 74 years","72,725","(+/-1,066)"
People,"Sex and Age","75 to 84 years","37,517","(+/-1,613)"
People,"Sex and Age","85 years and over","12,254","(+/-1,430)"
People,"Sex and Age","Median age (years)",38.8,(+/-0.4)
People,"Sex and Age","18 years and over","572,421","(+/-3,876)"
People,"Sex and Age","65 years and over","122,496","(+/-1,180)"
People,Race,"Total population","749,221","(+/-6,596)"
People,Race,"One race","671,089","(+/-7,392)"
People,Race,White,"577,717","(+/-4,799)"
People,Race,"Black or African American","39,380","(+/-3,442)"
People,Race,"American Indian and Alaska Native","4,074","(+/-1,889)"
People,Race,Asian,"27,805","(+/-2,564)"
People,Race,"Native Hawaiian and Other Pacific Islander",728,(+/-478)
People,Race,"Some other race","21,385","(+/-3,895)"
People,Race,"Two or more races","78,132","(+/-5,361)"
People,"Hispanic or Latino and Race","Total population","749,221","(+/-6,596)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","81,008","(+/-4,834)"
People,"Hispanic or Latino and Race",Mexican,"58,112","(+/-5,767)"
People,"Hispanic or Latino and Race","Puerto Rican","5,404","(+/-2,227)"
People,"Hispanic or Latino and Race",Cuban,"2,143","(+/-1,177)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,349","(+/-3,251)"
