Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","758,888","(+/-4,002)"
People,"Sex and Age",Male,"376,072","(+/-3,179)"
People,"Sex and Age",Female,"382,816","(+/-2,943)"
People,"Sex and Age","Under 5 years","43,087","(+/-1,494)"
People,"Sex and Age","5 to 9 years","44,128","(+/-2,907)"
People,"Sex and Age","10 to 14 years","46,453","(+/-3,205)"
People,"Sex and Age","15 to 19 years","54,924","(+/-1,891)"
People,"Sex and Age","20 to 24 years","62,811","(+/-2,119)"
People,"Sex and Age","25 to 34 years","104,807","(+/-2,332)"
People,"Sex and Age","35 to 44 years","95,837","(+/-2,704)"
People,"Sex and Age","45 to 54 years","91,275","(+/-2,145)"
People,"Sex and Age","55 to 59 years","45,872","(+/-2,905)"
People,"Sex and Age","60 to 64 years","45,600","(+/-2,886)"
People,"Sex and Age","65 to 74 years","74,151","(+/-1,571)"
People,"Sex and Age","75 to 84 years","39,901","(+/-1,726)"
People,"Sex and Age","85 years and over","10,042","(+/-1,408)"
People,"Sex and Age","Median age (years)",37.4,(+/-0.4)
People,"Sex and Age","18 years and over","594,424","(+/-2,990)"
People,"Sex and Age","65 years and over","124,094","(+/-1,636)"
People,Race,"Total population","758,888","(+/-4,002)"
People,Race,"One race","708,387","(+/-5,727)"
People,Race,White,"613,932","(+/-5,255)"
People,Race,"Black or African American","57,478","(+/-3,733)"
People,Race,"American Indian and Alaska Native","2,315","(+/-1,036)"
People,Race,Asian,"16,124",(+/-960)
People,Race,"Native Hawaiian and Other Pacific Islander",108,(+/-140)
People,Race,"Some other race","18,430","(+/-4,331)"
People,Race,"Two or more races","50,501","(+/-4,652)"
People,"Hispanic or Latino and Race","Total population","758,888","(+/-4,002)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","47,808","(+/-1,037)"
People,"Hispanic or Latino and Race",Mexican,"28,599","(+/-3,301)"
People,"Hispanic or Latino and Race","Puerto Rican","2,399","(+/-1,411)"
People,"Hispanic or Latino and Race",Cuban,"3,303","(+/-1,790)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,507","(+/-2,642)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","711,080","(+/-4,033)"
People,"Place of Birth","Total population","758,888","(+/-4,002)"
People,"Place of Birth",Native,"707,044","(+/-7,641)"
People,"Place of Birth","Born in United States","701,145","(+/-7,412)"
People,"Place of Birth","State of residence","508,238","(+/-9,149)"
People,"Place of Birth","Different state","192,907","(+/-7,342)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,899","(+/-1,678)"
People,"Place of Birth","Foreign born","51,844","(+/-6,177)"
People,Ancestry,"Total population","758,888","(+/-4,002)"
People,Ancestry,American,"95,144","(+/-6,446)"
People,Ancestry,Arab,"4,996","(+/-2,392)"
People,Ancestry,Czech,"1,362",(+/-977)
People,Ancestry,Danish,873,(+/-491)
People,Ancestry,Dutch,"5,501","(+/-1,761)"
People,Ancestry,English,"113,865","(+/-7,037)"
People,Ancestry,"French (except Basque)","10,176","(+/-1,915)"
People,Ancestry,"French Canadian","1,787",(+/-876)
People,Ancestry,German,"78,514","(+/-5,401)"
People,Ancestry,Greek,761,(+/-333)
People,Ancestry,Hungarian,"1,478",(+/-885)
People,Ancestry,Irish,"78,397","(+/-5,058)"
People,Ancestry,Italian,"17,680","(+/-3,075)"
People,Ancestry,Lithuanian,595,(+/-415)
People,Ancestry,Norwegian,"3,330",(+/-814)
People,Ancestry,Polish,"6,668","(+/-1,408)"
People,Ancestry,Portuguese,"1,148","(+/-1,057)"
People,Ancestry,Russian,"1,584",(+/-903)
People,Ancestry,Scotch-Irish,"13,724","(+/-2,501)"
People,Ancestry,Scottish,"17,423","(+/-2,140)"
People,Ancestry,Slovak,469,(+/-305)
People,Ancestry,"Subsaharan African","8,968","(+/-4,199)"
People,Ancestry,Swedish,"2,972","(+/-1,006)"
People,Ancestry,Swiss,991,(+/-554)
People,Ancestry,Ukrainian,"3,405","(+/-1,791)"
People,Ancestry,Welsh,"4,264","(+/-1,249)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,210",(+/-862)
People,"Veteran Status","Civilian population 18 years and over","593,632","(+/-3,144)"
People,"Veteran Status","Civilian veterans","33,948","(+/-2,726)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","749,893","(+/-4,212)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","123,399","(+/-5,587)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","164,403","(+/-2,797)"
