Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","742,904","(+/-14,389)"
People,"Sex and Age",Male,"352,955","(+/-8,195)"
People,"Sex and Age",Female,"389,949","(+/-8,926)"
People,"Sex and Age","Under 5 years","45,168","(+/-3,506)"
People,"Sex and Age","5 to 9 years","40,152","(+/-4,307)"
People,"Sex and Age","10 to 14 years","47,444","(+/-3,943)"
People,"Sex and Age","15 to 19 years","45,658","(+/-2,896)"
People,"Sex and Age","20 to 24 years","46,010","(+/-3,304)"
People,"Sex and Age","25 to 34 years","104,767","(+/-4,868)"
People,"Sex and Age","35 to 44 years","105,610","(+/-5,148)"
People,"Sex and Age","45 to 54 years","84,012","(+/-4,493)"
People,"Sex and Age","55 to 59 years","43,423","(+/-3,300)"
People,"Sex and Age","60 to 64 years","51,062","(+/-3,047)"
People,"Sex and Age","65 to 74 years","80,990","(+/-2,735)"
People,"Sex and Age","75 to 84 years","37,911","(+/-2,249)"
People,"Sex and Age","85 years and over","10,697","(+/-1,441)"
People,"Sex and Age","Median age (years)",39.0,(+/-0.7)
People,"Sex and Age","18 years and over","581,668","(+/-9,978)"
People,"Sex and Age","65 years and over","129,598","(+/-3,339)"
People,Race,"Total population","742,904","(+/-14,389)"
People,Race,"One race","690,271","(+/-15,113)"
People,Race,White,"200,225","(+/-8,260)"
People,Race,"Black or African American","436,861","(+/-12,225)"
People,Race,"American Indian and Alaska Native","4,697","(+/-2,885)"
People,Race,Asian,"18,030","(+/-2,783)"
People,Race,"Native Hawaiian and Other Pacific Islander",258,(+/-398)
People,Race,"Some other race","30,200","(+/-6,164)"
People,Race,"Two or more races","52,633","(+/-6,029)"
People,"Hispanic or Latino and Race","Total population","742,904","(+/-14,389)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","64,388","(+/-5,782)"
People,"Hispanic or Latino and Race",Mexican,"13,887","(+/-3,783)"
People,"Hispanic or Latino and Race","Puerto Rican","4,796","(+/-1,330)"
People,"Hispanic or Latino and Race",Cuban,"2,232",(+/-956)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","43,473","(+/-5,057)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","678,516","(+/-13,672)"
People,"Place of Birth","Total population","742,904","(+/-14,389)"
People,"Place of Birth",Native,"692,503","(+/-14,710)"
People,"Place of Birth","Born in United States","687,813","(+/-14,579)"
People,"Place of Birth","State of residence","564,025","(+/-13,647)"
People,"Place of Birth","Different state","123,788","(+/-8,698)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,690","(+/-1,172)"
People,"Place of Birth","Foreign born","50,401","(+/-5,518)"
People,Ancestry,"Total population","742,904","(+/-14,389)"
People,Ancestry,American,"23,055","(+/-4,087)"
People,Ancestry,Arab,"4,811","(+/-2,324)"
People,Ancestry,Czech,256,(+/-233)
People,Ancestry,Danish,284,(+/-239)
People,Ancestry,Dutch,"1,473",(+/-634)
People,Ancestry,English,"27,720","(+/-3,764)"
People,Ancestry,"French (except Basque)","43,959","(+/-4,639)"
People,Ancestry,"French Canadian","4,382","(+/-1,237)"
People,Ancestry,German,"36,364","(+/-3,549)"
People,Ancestry,Greek,854,(+/-386)
People,Ancestry,Hungarian,550,(+/-335)
People,Ancestry,Irish,"29,457","(+/-3,316)"
People,Ancestry,Italian,"27,886","(+/-3,370)"
People,Ancestry,Lithuanian,244,(+/-266)
People,Ancestry,Norwegian,"1,628",(+/-825)
People,Ancestry,Polish,"2,494","(+/-1,009)"
People,Ancestry,Portuguese,307,(+/-252)
People,Ancestry,Russian,884,(+/-431)
People,Ancestry,Scotch-Irish,"2,347",(+/-659)
People,Ancestry,Scottish,"5,373","(+/-1,606)"
People,Ancestry,Slovak,268,(+/-216)
People,Ancestry,"Subsaharan African","25,804","(+/-4,739)"
People,Ancestry,Swedish,"1,254",(+/-531)
People,Ancestry,Swiss,315,(+/-226)
People,Ancestry,Ukrainian,408,(+/-346)
People,Ancestry,Welsh,"1,621",(+/-656)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","6,565","(+/-2,515)"
People,"Veteran Status","Civilian population 18 years and over","580,302","(+/-10,021)"
People,"Veteran Status","Civilian veterans","27,541","(+/-3,125)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","731,248","(+/-14,381)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","130,365","(+/-8,246)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","161,134","(+/-7,287)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","16,578","(+/-4,525)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","443,123","(+/-9,718)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","68,700","(+/-4,830)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","126,991","(+/-3,294)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,087","(+/-3,238)"
People,"Residence 1 Year Ago","Population 1 year and over","735,067","(+/-13,769)"
People,"Residence 1 Year Ago","Same house","651,158","(+/-14,160)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","83,909","(+/-9,900)"
People,"Residence 1 Year Ago","Different house in the U.S.","76,504","(+/-9,214)"
People,"Residence 1 Year Ago","Same county","50,619","(+/-7,790)"
People,"Residence 1 Year Ago","Different county","25,885","(+/-4,039)"
People,"Residence 1 Year Ago","Same state","15,365","(+/-3,323)"
People,"Residence 1 Year Ago","Different state","10,520","(+/-2,029)"
People,"Residence 1 Year Ago",Abroad,"7,405","(+/-4,576)"
Workers,"Employment Status","Population 16 years and over","600,931","(+/-10,967)"
Workers,"Employment Status","In labor force","352,347","(+/-10,088)"
Workers,"Employment Status","Civilian labor force","350,981","(+/-10,039)"
Workers,"Employment Status",Employed,"328,521","(+/-9,919)"
Workers,"Employment Status",Unemployed,"22,460","(+/-2,796)"
Workers,"Employment Status","Armed Forces","1,366",(+/-652)
Workers,"Employment Status","Not in labor force","248,584","(+/-8,456)"
Workers,"Employment Status","Civilian labor force","350,981","(+/-10,039)"
Workers,"Employment Status","Unemployment Rate",6.4,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over","321,590","(+/-9,989)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","231,237","(+/-9,866)"
