Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","695,382","(+/-4,722)"
People,"Sex and Age",Male,"342,573","(+/-2,705)"
People,"Sex and Age",Female,"352,809","(+/-3,469)"
People,"Sex and Age","Under 5 years","30,894","(+/-1,028)"
People,"Sex and Age","5 to 9 years","32,082","(+/-2,773)"
People,"Sex and Age","10 to 14 years","37,930","(+/-2,404)"
People,"Sex and Age","15 to 19 years","40,780","(+/-1,587)"
People,"Sex and Age","20 to 24 years","39,705","(+/-1,830)"
People,"Sex and Age","25 to 34 years","80,286","(+/-1,891)"
People,"Sex and Age","35 to 44 years","84,326","(+/-2,010)"
People,"Sex and Age","45 to 54 years","83,793","(+/-1,496)"
People,"Sex and Age","55 to 59 years","47,439","(+/-2,619)"
People,"Sex and Age","60 to 64 years","57,559","(+/-2,787)"
People,"Sex and Age","65 to 74 years","95,611","(+/-1,304)"
People,"Sex and Age","75 to 84 years","51,122","(+/-1,316)"
People,"Sex and Age","85 years and over","13,855","(+/-1,226)"
People,"Sex and Age","Median age (years)",45.2,(+/-0.4)
People,"Sex and Age","18 years and over","571,001","(+/-3,390)"
People,"Sex and Age","65 years and over","160,588","(+/-1,476)"
People,Race,"Total population","695,382","(+/-4,722)"
People,Race,"One race","662,699","(+/-5,109)"
People,Race,White,"635,792","(+/-5,144)"
People,Race,"Black or African American","11,369",(+/-970)
People,Race,"American Indian and Alaska Native","4,633","(+/-1,123)"
People,Race,Asian,"6,336",(+/-826)
People,Race,"Native Hawaiian and Other Pacific Islander",469,(+/-306)
People,Race,"Some other race","4,100",(+/-924)
People,Race,"Two or more races","32,683","(+/-3,148)"
People,"Hispanic or Latino and Race","Total population","695,382","(+/-4,722)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","14,204",(+/-704)
People,"Hispanic or Latino and Race",Mexican,"4,455","(+/-1,262)"
People,"Hispanic or Latino and Race","Puerto Rican","4,066","(+/-1,257)"
People,"Hispanic or Latino and Race",Cuban,"1,267",(+/-609)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","4,416",(+/-954)
People,"Hispanic or Latino and Race","Not Hispanic or Latino","681,178","(+/-4,792)"
People,"Place of Birth","Total population","695,382","(+/-4,722)"
People,"Place of Birth",Native,"672,905","(+/-4,822)"
People,"Place of Birth","Born in United States","666,870","(+/-4,722)"
People,"Place of Birth","State of residence","454,716","(+/-6,668)"
People,"Place of Birth","Different state","212,154","(+/-5,788)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,035","(+/-1,067)"
People,"Place of Birth","Foreign born","22,477","(+/-2,085)"
People,Ancestry,"Total population","695,382","(+/-4,722)"
People,Ancestry,American,"54,219","(+/-4,664)"
People,Ancestry,Arab,"1,356",(+/-632)
People,Ancestry,Czech,560,(+/-348)
People,Ancestry,Danish,"1,176",(+/-398)
People,Ancestry,Dutch,"3,572",(+/-865)
People,Ancestry,English,"139,381","(+/-5,704)"
People,Ancestry,"French (except Basque)","80,617","(+/-5,862)"
People,Ancestry,"French Canadian","42,577","(+/-3,740)"
