Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","799,719","(+/-11,404)"
People,"Sex and Age",Male,"396,725","(+/-6,883)"
People,"Sex and Age",Female,"402,994","(+/-7,670)"
People,"Sex and Age","Under 5 years","46,342","(+/-2,872)"
People,"Sex and Age","5 to 9 years","49,339","(+/-3,262)"
People,"Sex and Age","10 to 14 years","48,455","(+/-3,234)"
People,"Sex and Age","15 to 19 years","51,488","(+/-2,846)"
People,"Sex and Age","20 to 24 years","47,972","(+/-3,083)"
People,"Sex and Age","25 to 34 years","97,310","(+/-4,274)"
People,"Sex and Age","35 to 44 years","114,526","(+/-3,451)"
People,"Sex and Age","45 to 54 years","102,962","(+/-4,143)"
People,"Sex and Age","55 to 59 years","51,986","(+/-3,221)"
People,"Sex and Age","60 to 64 years","52,628","(+/-3,657)"
People,"Sex and Age","65 to 74 years","80,185","(+/-2,678)"
People,"Sex and Age","75 to 84 years","42,144","(+/-2,746)"
People,"Sex and Age","85 years and over","14,382","(+/-1,721)"
People,"Sex and Age","Median age (years)",40.0,(+/-0.6)
People,"Sex and Age","18 years and over","622,940","(+/-7,938)"
People,"Sex and Age","65 years and over","136,711","(+/-3,737)"
People,Race,"Total population","799,719","(+/-11,404)"
People,Race,"One race","723,109","(+/-12,620)"
People,Race,White,"480,232","(+/-8,566)"
People,Race,"Black or African American","97,791","(+/-7,141)"
People,Race,"American Indian and Alaska Native","7,161","(+/-4,059)"
People,Race,Asian,"72,743","(+/-5,455)"
People,Race,"Native Hawaiian and Other Pacific Islander",500,(+/-561)
People,Race,"Some other race","64,682","(+/-9,716)"
People,Race,"Two or more races","76,610","(+/-7,419)"
People,"Hispanic or Latino and Race","Total population","799,719","(+/-11,404)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","119,926","(+/-9,253)"
People,"Hispanic or Latino and Race",Mexican,"9,763","(+/-2,495)"
People,"Hispanic or Latino and Race","Puerto Rican","6,827","(+/-1,945)"
People,"Hispanic or Latino and Race",Cuban,"1,841",(+/-935)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","101,495","(+/-9,650)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","679,793","(+/-10,025)"
People,"Place of Birth","Total population","799,719","(+/-11,404)"
People,"Place of Birth",Native,"643,336","(+/-9,095)"
People,"Place of Birth","Born in United States","630,492","(+/-9,041)"
People,"Place of Birth","State of residence","384,029","(+/-8,853)"
People,"Place of Birth","Different state","246,463","(+/-8,192)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,844","(+/-2,628)"
People,"Place of Birth","Foreign born","156,383","(+/-8,383)"
People,Ancestry,"Total population","799,719","(+/-11,404)"
People,Ancestry,American,"40,791","(+/-5,280)"
People,Ancestry,Arab,"5,271","(+/-2,589)"
People,Ancestry,Czech,"1,631",(+/-599)
People,Ancestry,Danish,"1,572",(+/-820)
People,Ancestry,Dutch,"5,242","(+/-1,776)"
People,Ancestry,English,"77,011","(+/-6,527)"
People,Ancestry,"French (except Basque)","10,871","(+/-2,095)"
People,Ancestry,"French Canadian","2,248","(+/-1,086)"
People,Ancestry,German,"124,463","(+/-6,744)"
People,Ancestry,Greek,"2,670",(+/-858)
People,Ancestry,Hungarian,"2,975","(+/-1,285)"
People,Ancestry,Irish,"77,609","(+/-5,576)"
People,Ancestry,Italian,"34,336","(+/-4,177)"
People,Ancestry,Lithuanian,"1,273",(+/-561)
People,Ancestry,Norwegian,"3,645","(+/-1,279)"
People,Ancestry,Polish,"15,951","(+/-2,777)"
People,Ancestry,Portuguese,"1,986",(+/-690)
People,Ancestry,Russian,"4,193","(+/-1,186)"
People,Ancestry,Scotch-Irish,"6,805","(+/-1,422)"
People,Ancestry,Scottish,"12,474","(+/-2,035)"
People,Ancestry,Slovak,"1,931",(+/-823)
People,Ancestry,"Subsaharan African","24,623","(+/-5,257)"
People,Ancestry,Swedish,"4,589","(+/-1,841)"
People,Ancestry,Swiss,"2,746","(+/-1,295)"
People,Ancestry,Ukrainian,"3,373","(+/-1,023)"
People,Ancestry,Welsh,"4,071","(+/-1,134)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","6,563","(+/-2,189)"
People,"Veteran Status","Civilian population 18 years and over","620,681","(+/-7,890)"
People,"Veteran Status","Civilian veterans","41,213","(+/-3,487)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","784,047","(+/-11,370)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","95,486","(+/-5,106)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","176,672","(+/-5,561)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,698","(+/-1,671)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","474,008","(+/-6,845)"
