Topic,Subject,Title,"District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","787,631","(+/-7,718)"
People,"Sex and Age",Male,"385,559","(+/-5,387)"
People,"Sex and Age",Female,"402,072","(+/-5,422)"
People,"Sex and Age","Under 5 years","36,170","(+/-3,148)"
People,"Sex and Age","5 to 9 years","41,196","(+/-3,365)"
People,"Sex and Age","10 to 14 years","40,706","(+/-3,393)"
People,"Sex and Age","15 to 19 years","44,436","(+/-3,235)"
People,"Sex and Age","20 to 24 years","43,155","(+/-3,216)"
People,"Sex and Age","25 to 34 years","80,833","(+/-3,938)"
People,"Sex and Age","35 to 44 years","92,691","(+/-4,293)"
People,"Sex and Age","45 to 54 years","90,481","(+/-3,953)"
People,"Sex and Age","55 to 59 years","55,543","(+/-3,613)"
People,"Sex and Age","60 to 64 years","66,676","(+/-3,216)"
People,"Sex and Age","65 to 74 years","112,411","(+/-3,564)"
People,"Sex and Age","75 to 84 years","64,465","(+/-2,514)"
People,"Sex and Age","85 years and over","18,868","(+/-1,945)"
People,"Sex and Age","Median age (years)",47.1,(+/-0.7)
People,"Sex and Age","18 years and over","641,601","(+/-6,455)"
People,"Sex and Age","65 years and over","195,744","(+/-4,105)"
People,Race,"Total population","787,631","(+/-7,718)"
People,Race,"One race","721,400","(+/-10,155)"
People,Race,White,"653,690","(+/-9,700)"
People,Race,"Black or African American","23,389","(+/-4,047)"
People,Race,"American Indian and Alaska Native","3,340","(+/-1,494)"
People,Race,Asian,"10,626","(+/-2,822)"
People,Race,"Native Hawaiian and Other Pacific Islander",349,(+/-497)
People,Race,"Some other race","30,006","(+/-5,685)"
People,Race,"Two or more races","66,231","(+/-7,108)"
People,"Hispanic or Latino and Race","Total population","787,631","(+/-7,718)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","51,530","(+/-4,555)"
People,"Hispanic or Latino and Race",Mexican,"6,138","(+/-2,750)"
People,"Hispanic or Latino and Race","Puerto Rican","19,917","(+/-4,623)"
People,"Hispanic or Latino and Race",Cuban,"1,437","(+/-1,147)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","24,038","(+/-4,221)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","736,101","(+/-8,841)"
People,"Place of Birth","Total population","787,631","(+/-7,718)"
People,"Place of Birth",Native,"711,003","(+/-10,559)"
People,"Place of Birth","Born in United States","698,778","(+/-10,638)"
People,"Place of Birth","State of residence","528,834","(+/-11,958)"
People,"Place of Birth","Different state","169,944","(+/-8,849)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,225","(+/-2,590)"
People,"Place of Birth","Foreign born","76,628","(+/-7,448)"
People,Ancestry,"Total population","787,631","(+/-7,718)"
People,Ancestry,American,"33,366","(+/-5,196)"
People,Ancestry,Arab,"6,266","(+/-2,367)"
People,Ancestry,Czech,494,(+/-333)
