Topic,Subject,Title,"District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","766,628","(+/-1,695)"
People,"Sex and Age",Male,"372,459","(+/-1,737)"
People,"Sex and Age",Female,"394,169","(+/-1,512)"
People,"Sex and Age","Under 5 years","39,892",(+/-796)
People,"Sex and Age","5 to 9 years","45,906","(+/-2,761)"
People,"Sex and Age","10 to 14 years","47,083","(+/-2,877)"
People,"Sex and Age","15 to 19 years","47,421","(+/-1,515)"
People,"Sex and Age","20 to 24 years","45,116","(+/-1,891)"
People,"Sex and Age","25 to 34 years","98,166","(+/-1,791)"
People,"Sex and Age","35 to 44 years","91,850","(+/-1,650)"
People,"Sex and Age","45 to 54 years","91,577","(+/-1,514)"
People,"Sex and Age","55 to 59 years","48,616","(+/-2,460)"
People,"Sex and Age","60 to 64 years","53,982","(+/-2,412)"
People,"Sex and Age","65 to 74 years","93,250","(+/-1,124)"
People,"Sex and Age","75 to 84 years","48,409","(+/-2,228)"
People,"Sex and Age","85 years and over","15,360","(+/-2,023)"
People,"Sex and Age","Median age (years)",41.8,(+/-0.4)
People,"Sex and Age","18 years and over","603,550","(+/-1,212)"
People,"Sex and Age","65 years and over","157,019","(+/-1,199)"
People,Race,"Total population","766,628","(+/-1,695)"
People,Race,"One race","724,076","(+/-4,975)"
People,Race,White,"589,551","(+/-3,155)"
People,Race,"Black or African American","116,049","(+/-3,360)"
People,Race,"American Indian and Alaska Native","2,198",(+/-740)
People,Race,Asian,"7,870",(+/-906)
People,Race,"Native Hawaiian and Other Pacific Islander",158,(+/-149)
People,Race,"Some other race","8,250","(+/-2,453)"
People,Race,"Two or more races","42,552","(+/-4,544)"
People,"Hispanic or Latino and Race","Total population","766,628","(+/-1,695)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","43,995",(+/-195)
People,"Hispanic or Latino and Race",Mexican,"34,377","(+/-2,401)"
People,"Hispanic or Latino and Race","Puerto Rican","2,241","(+/-1,178)"
People,"Hispanic or Latino and Race",Cuban,"1,137",(+/-714)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,240","(+/-1,881)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","722,633","(+/-1,671)"
People,"Place of Birth","Total population","766,628","(+/-1,695)"
People,"Place of Birth",Native,"748,122","(+/-3,239)"
People,"Place of Birth","Born in United States","744,877","(+/-3,401)"
People,"Place of Birth","State of residence","650,526","(+/-6,282)"
People,"Place of Birth","Different state","94,351","(+/-5,587)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","3,245",(+/-836)
People,"Place of Birth","Foreign born","18,506","(+/-2,582)"
People,Ancestry,"Total population","766,628","(+/-1,695)"
People,Ancestry,American,"32,266","(+/-4,066)"
People,Ancestry,Arab,"4,981","(+/-2,264)"
People,Ancestry,Czech,"5,392","(+/-2,209)"
People,Ancestry,Danish,"1,665",(+/-861)
People,Ancestry,Dutch,"11,297","(+/-2,903)"
People,Ancestry,English,"83,211","(+/-6,053)"
People,Ancestry,"French (except Basque)","31,626","(+/-3,554)"
People,Ancestry,"French Canadian","14,721","(+/-2,239)"
People,Ancestry,German,"158,976","(+/-9,142)"
People,Ancestry,Greek,"1,658",(+/-956)
People,Ancestry,Hungarian,"5,785","(+/-1,200)"
People,Ancestry,Irish,"78,749","(+/-5,918)"
People,Ancestry,Italian,"27,317","(+/-4,081)"
People,Ancestry,Lithuanian,"1,137",(+/-581)
People,Ancestry,Norwegian,"5,123","(+/-2,042)"
People,Ancestry,Polish,"56,001","(+/-4,289)"
People,Ancestry,Portuguese,709,(+/-548)
People,Ancestry,Russian,"5,316","(+/-2,341)"
People,Ancestry,Scotch-Irish,"4,910","(+/-1,181)"
People,Ancestry,Scottish,"17,465","(+/-3,257)"
People,Ancestry,Slovak,"1,559",(+/-804)
People,Ancestry,"Subsaharan African","5,899","(+/-2,686)"
People,Ancestry,Swedish,"6,274","(+/-1,869)"
People,Ancestry,Swiss,"1,451",(+/-506)
People,Ancestry,Ukrainian,"2,258",(+/-882)
People,Ancestry,Welsh,"2,544",(+/-864)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",475,(+/-391)
People,"Veteran Status","Civilian population 18 years and over","603,406","(+/-1,219)"
People,"Veteran Status","Civilian veterans","36,813","(+/-2,437)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","759,220","(+/-1,701)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","135,152","(+/-5,525)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","162,925","(+/-1,035)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","12,958","(+/-2,506)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","442,797","(+/-1,536)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","71,074","(+/-4,045)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","153,498","(+/-1,206)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","51,120","(+/-2,656)"
People,"Residence 1 Year Ago","Population 1 year and over","759,537","(+/-2,095)"
People,"Residence 1 Year Ago","Same house","684,178","(+/-6,511)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","75,359","(+/-5,974)"
People,"Residence 1 Year Ago","Different house in the U.S.","74,061","(+/-5,939)"
People,"Residence 1 Year Ago","Same county","48,579","(+/-5,517)"
People,"Residence 1 Year Ago","Different county","25,482","(+/-3,412)"
People,"Residence 1 Year Ago","Same state","19,439","(+/-3,002)"
People,"Residence 1 Year Ago","Different state","6,043","(+/-1,547)"
People,"Residence 1 Year Ago",Abroad,"1,298",(+/-566)
Workers,"Employment Status","Population 16 years and over","623,073","(+/-2,394)"
Workers,"Employment Status","In labor force","369,578","(+/-4,759)"
Workers,"Employment Status","Civilian labor force","369,434","(+/-4,787)"
Workers,"Employment Status",Employed,"346,762","(+/-5,085)"
Workers,"Employment Status",Unemployed,"22,672","(+/-2,843)"
