Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","733,289","(+/-3,556)"
People,"Sex and Age",Male,"364,409","(+/-2,706)"
People,"Sex and Age",Female,"368,880","(+/-2,317)"
People,"Sex and Age","Under 5 years","43,216","(+/-1,553)"
People,"Sex and Age","5 to 9 years","46,947","(+/-3,027)"
People,"Sex and Age","10 to 14 years","55,226","(+/-3,101)"
People,"Sex and Age","15 to 19 years","50,796","(+/-1,820)"
People,"Sex and Age","20 to 24 years","43,345","(+/-1,994)"
People,"Sex and Age","25 to 34 years","86,348","(+/-2,106)"
People,"Sex and Age","35 to 44 years","108,129","(+/-2,787)"
People,"Sex and Age","45 to 54 years","91,629","(+/-2,463)"
People,"Sex and Age","55 to 59 years","46,193","(+/-2,606)"
People,"Sex and Age","60 to 64 years","47,093","(+/-2,685)"
People,"Sex and Age","65 to 74 years","68,777","(+/-1,663)"
People,"Sex and Age","75 to 84 years","33,149","(+/-2,089)"
People,"Sex and Age","85 years and over","12,441","(+/-1,745)"
People,"Sex and Age","Median age (years)",38.4,(+/-0.4)
People,"Sex and Age","18 years and over","556,761","(+/-3,182)"
People,"Sex and Age","65 years and over","114,367","(+/-2,082)"
People,Race,"Total population","733,289","(+/-3,556)"
People,Race,"One race","678,048","(+/-6,079)"
People,Race,White,"550,310","(+/-5,470)"
People,Race,"Black or African American","55,413","(+/-4,368)"
People,Race,"American Indian and Alaska Native","3,622","(+/-1,223)"
People,Race,Asian,"40,015","(+/-2,613)"
People,Race,"Native Hawaiian and Other Pacific Islander",143,(+/-135)
People,Race,"Some other race","28,545","(+/-5,244)"
People,Race,"Two or more races","55,241","(+/-5,600)"
People,"Hispanic or Latino and Race","Total population","733,289","(+/-3,556)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","60,756","(+/-2,366)"
People,"Hispanic or Latino and Race",Mexican,"40,480","(+/-3,930)"
People,"Hispanic or Latino and Race","Puerto Rican","5,103","(+/-2,324)"
People,"Hispanic or Latino and Race",Cuban,0,(+/-157)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,173","(+/-2,767)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","672,533","(+/-4,252)"
People,"Place of Birth","Total population","733,289","(+/-3,556)"
People,"Place of Birth",Native,"667,446","(+/-5,685)"
People,"Place of Birth","Born in United States","661,252","(+/-5,833)"
People,"Place of Birth","State of residence","484,709","(+/-6,708)"
People,"Place of Birth","Different state","176,543","(+/-6,350)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,194","(+/-1,658)"
People,"Place of Birth","Foreign born","65,843","(+/-5,033)"
People,Ancestry,"Total population","733,289","(+/-3,556)"
People,Ancestry,American,"21,410","(+/-2,726)"
People,Ancestry,Arab,"4,359","(+/-1,760)"
People,Ancestry,Czech,"14,723","(+/-2,320)"
People,Ancestry,Danish,"8,444","(+/-2,739)"
People,Ancestry,Dutch,"7,398","(+/-1,622)"
People,Ancestry,English,"47,651","(+/-4,991)"
People,Ancestry,"French (except Basque)","16,662","(+/-2,576)"
People,Ancestry,"French Canadian","5,336","(+/-1,604)"
People,Ancestry,German,"216,467","(+/-9,358)"
People,Ancestry,Greek,811,(+/-559)
People,Ancestry,Hungarian,"1,623",(+/-620)
People,Ancestry,Irish,"81,923","(+/-6,219)"
People,Ancestry,Italian,"17,719","(+/-3,672)"
People,Ancestry,Lithuanian,858,(+/-423)
People,Ancestry,Norwegian,"71,930","(+/-5,160)"
People,Ancestry,Polish,"25,610","(+/-4,375)"
People,Ancestry,Portuguese,168,(+/-172)
People,Ancestry,Russian,"3,057","(+/-1,079)"
People,Ancestry,Scotch-Irish,"3,202",(+/-812)
People,Ancestry,Scottish,"8,045","(+/-1,412)"
People,Ancestry,Slovak,"1,017",(+/-512)
People,Ancestry,"Subsaharan African","22,474","(+/-4,378)"
People,Ancestry,Swedish,"37,491","(+/-3,510)"
People,Ancestry,Swiss,"2,766",(+/-847)
People,Ancestry,Ukrainian,"1,383",(+/-701)
People,Ancestry,Welsh,"3,577","(+/-1,644)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,154","(+/-3,043)"
People,"Veteran Status","Civilian population 18 years and over","556,372","(+/-3,212)"
People,"Veteran Status","Civilian veterans","30,349","(+/-2,745)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","729,294","(+/-3,584)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","80,033","(+/-5,120)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","176,504","(+/-2,216)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,473","(+/-1,358)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","440,861","(+/-3,368)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","42,550","(+/-3,907)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","111,929","(+/-2,078)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","32,010","(+/-2,385)"
People,"Residence 1 Year Ago","Population 1 year and over","725,721","(+/-3,664)"
People,"Residence 1 Year Ago","Same house","646,743","(+/-7,739)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","78,978","(+/-7,149)"
People,"Residence 1 Year Ago","Different house in the U.S.","74,651","(+/-7,202)"
People,"Residence 1 Year Ago","Same county","28,671","(+/-4,556)"
People,"Residence 1 Year Ago","Different county","45,980","(+/-5,299)"
People,"Residence 1 Year Ago","Same state","35,168","(+/-4,209)"
People,"Residence 1 Year Ago","Different state","10,812","(+/-2,650)"
People,"Residence 1 Year Ago",Abroad,"4,327","(+/-1,571)"
Workers,"Employment Status","Population 16 years and over","577,902","(+/-3,506)"
Workers,"Employment Status","In labor force","412,562","(+/-5,665)"
Workers,"Employment Status","Civilian labor force","412,173","(+/-5,613)"
Workers,"Employment Status",Employed,"400,820","(+/-5,907)"
Workers,"Employment Status",Unemployed,"11,353","(+/-1,830)"
Workers,"Employment Status","Armed Forces",389,(+/-327)
Workers,"Employment Status","Not in labor force","165,340","(+/-5,071)"
Workers,"Employment Status","Civilian labor force","412,173","(+/-5,613)"
Workers,"Employment Status","Unemployment Rate",2.8,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","393,710","(+/-5,538)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","275,408","(+/-6,586)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,738","(+/-3,459)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","3,099",(+/-868)
Workers,"Commuting to Work",Walked,"7,780","(+/-1,377)"
Workers,"Commuting to Work","Other means","5,464","(+/-1,274)"
Workers,"Commuting to Work","Worked from home","71,221","(+/-4,610)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.8,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","400,820","(+/-5,907)"
Workers,Occupation,"Management, business, science, and arts occupations","183,786","(+/-6,042)"
Workers,Occupation,"Service occupations","58,481","(+/-4,875)"
Workers,Occupation,"Sales and office occupations","78,612","(+/-4,445)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","29,569","(+/-2,346)"
Workers,Occupation,"Production, transportation, and material moving occupations","50,372","(+/-4,183)"
Workers,Industry,"Civilian employed population 16 years and over","400,820","(+/-5,907)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,923",(+/-882)
Workers,Industry,Construction,"26,250","(+/-2,427)"
Workers,Industry,Manufacturing,"53,173","(+/-4,067)"
Workers,Industry,"Wholesale trade","9,723","(+/-1,594)"
Workers,Industry,"Retail trade","42,992","(+/-3,284)"
Workers,Industry,"Transportation and warehousing, and utilities","19,728","(+/-2,649)"
Workers,Industry,Information,"7,257","(+/-1,396)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","36,200","(+/-3,435)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","47,310","(+/-3,710)"
Workers,Industry,"Educational services, and health care and social assistance","92,044","(+/-4,760)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","29,855","(+/-3,709)"
Workers,Industry,"Other services, except public administration","17,717","(+/-2,629)"
Workers,Industry,"Public administration","14,648","(+/-2,090)"
Workers,"Class of Worker","Civilian employed population 16 years and over","400,820","(+/-5,907)"
Workers,"Class of Worker","Private wage and salary workers","333,204","(+/-7,188)"
Workers,"Class of Worker","Government workers","49,442","(+/-3,989)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","17,976","(+/-2,289)"
Workers,"Class of Worker","Unpaid family workers",198,(+/-188)
Housing,"Housing Occupancy","Total housing units","288,941","(+/-1,877)"
Housing,"Housing Occupancy","Occupied housing units","279,973","(+/-2,640)"
Housing,"Housing Occupancy","Vacant housing units","8,968","(+/-1,976)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.7,(+/-1.6)
Housing,"Housing Tenure","Occupied housing units","279,973","(+/-2,640)"
Housing,"Housing Tenure",Owner-occupied,"213,706","(+/-3,895)"
Housing,"Housing Tenure",Renter-occupied,"66,267","(+/-4,058)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.72,(+/-0.03)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.11,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","279,973","(+/-2,640)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","67,487","(+/-4,210)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","50,772","(+/-4,031)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","62,334","(+/-3,796)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","48,450","(+/-2,873)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","29,547","(+/-2,096)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","21,383","(+/-1,761)"
Housing,Value,"Owner-occupied units","213,706","(+/-3,895)"
Housing,Value,"Less than $50,000","7,144","(+/-1,575)"
Housing,Value,"$50,000 to $99,999","2,963",(+/-927)
Housing,Value,"$100,000 to $149,999","2,988",(+/-782)
Housing,Value,"$150,000 to $199,999","5,797","(+/-1,132)"
Housing,Value,"$200,000 to $299,999","42,938","(+/-2,851)"
Housing,Value,"$300,000 to $499,999","97,185","(+/-4,064)"
Housing,Value,"$500,000 to $999,999","50,944","(+/-2,767)"
Housing,Value,"$1,000,000 or more","3,747",(+/-878)
Housing,Value,"Median (dollars)","384,200","(+/-5,178)"
Housing,"Mortgage Status","Owner-occupied units","213,706","(+/-3,895)"
Housing,"Mortgage Status","Housing units with a mortgage","146,568","(+/-3,860)"
