Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","701,580","(+/-5,661)"
People,"Sex and Age",Male,"341,391","(+/-4,910)"
People,"Sex and Age",Female,"360,189","(+/-4,231)"
People,"Sex and Age","Under 5 years","39,797","(+/-2,610)"
People,"Sex and Age","5 to 9 years","44,631","(+/-4,192)"
People,"Sex and Age","10 to 14 years","45,296","(+/-3,821)"
People,"Sex and Age","15 to 19 years","54,827","(+/-3,023)"
People,"Sex and Age","20 to 24 years","44,533","(+/-2,997)"
People,"Sex and Age","25 to 34 years","77,428","(+/-4,258)"
People,"Sex and Age","35 to 44 years","90,254","(+/-4,241)"
People,"Sex and Age","45 to 54 years","86,683","(+/-4,406)"
People,"Sex and Age","55 to 59 years","40,550","(+/-3,167)"
People,"Sex and Age","60 to 64 years","49,040","(+/-3,195)"
People,"Sex and Age","65 to 74 years","79,946","(+/-1,860)"
People,"Sex and Age","75 to 84 years","36,982","(+/-1,999)"
People,"Sex and Age","85 years and over","11,613","(+/-1,585)"
People,"Sex and Age","Median age (years)",40.4,(+/-0.6)
People,"Sex and Age","18 years and over","540,018","(+/-4,373)"
People,"Sex and Age","65 years and over","128,541","(+/-2,006)"
People,Race,"Total population","701,580","(+/-5,661)"
People,Race,"One race","675,651","(+/-7,263)"
People,Race,White,"223,113","(+/-3,912)"
People,Race,"Black or African American","438,722","(+/-8,298)"
People,Race,"American Indian and Alaska Native","2,137","(+/-1,032)"
People,Race,Asian,"4,175","(+/-1,370)"
People,Race,"Native Hawaiian and Other Pacific Islander",71,(+/-137)
People,Race,"Some other race","7,433","(+/-2,170)"
People,Race,"Two or more races","25,929","(+/-4,721)"
People,"Hispanic or Latino and Race","Total population","701,580","(+/-5,661)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","16,646","(+/-2,868)"
People,"Hispanic or Latino and Race",Mexican,"8,619","(+/-2,655)"
People,"Hispanic or Latino and Race","Puerto Rican","1,170",(+/-672)
People,"Hispanic or Latino and Race",Cuban,274,(+/-470)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,583","(+/-1,403)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","684,934","(+/-6,585)"
People,"Place of Birth","Total population","701,580","(+/-5,661)"
People,"Place of Birth",Native,"690,365","(+/-5,719)"
People,"Place of Birth","Born in United States","688,140","(+/-5,755)"
People,"Place of Birth","State of residence","581,392","(+/-8,648)"
People,"Place of Birth","Different state","106,748","(+/-7,279)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","2,225",(+/-792)
People,"Place of Birth","Foreign born","11,215","(+/-1,572)"
People,Ancestry,"Total population","701,580","(+/-5,661)"
People,Ancestry,American,"56,161","(+/-6,160)"
People,Ancestry,Arab,"1,595","(+/-1,447)"
People,Ancestry,Czech,231,(+/-207)
People,Ancestry,Danish,83,(+/-110)
People,Ancestry,Dutch,931,(+/-497)
People,Ancestry,English,"36,570","(+/-4,083)"
People,Ancestry,"French (except Basque)","4,960","(+/-1,516)"
People,Ancestry,"French Canadian",669,(+/-438)
People,Ancestry,German,"15,829","(+/-2,423)"
People,Ancestry,Greek,198,(+/-145)
People,Ancestry,Hungarian,43,(+/-76)
People,Ancestry,Irish,"34,383","(+/-4,108)"
People,Ancestry,Italian,"5,577","(+/-1,685)"
People,Ancestry,Lithuanian,0,(+/-222)
People,Ancestry,Norwegian,820,(+/-474)
People,Ancestry,Polish,661,(+/-334)
People,Ancestry,Portuguese,0,(+/-222)
People,Ancestry,Russian,280,(+/-208)
People,Ancestry,Scotch-Irish,"4,155","(+/-1,401)"
People,Ancestry,Scottish,"8,647","(+/-3,170)"
People,Ancestry,Slovak,0,(+/-222)
People,Ancestry,"Subsaharan African","11,500","(+/-2,731)"
People,Ancestry,Swedish,406,(+/-277)
People,Ancestry,Swiss,248,(+/-256)
People,Ancestry,Ukrainian,0,(+/-222)
People,Ancestry,Welsh,791,(+/-446)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",605,(+/-742)
People,"Veteran Status","Civilian population 18 years and over","539,828","(+/-4,339)"
People,"Veteran Status","Civilian veterans","30,842","(+/-3,121)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","680,072","(+/-5,617)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","123,473","(+/-6,826)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","161,350","(+/-3,251)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","11,217","(+/-2,449)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","394,728","(+/-4,240)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","62,030","(+/-4,395)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","123,994","(+/-2,027)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","50,226","(+/-2,960)"
People,"Residence 1 Year Ago","Population 1 year and over","695,964","(+/-5,803)"
People,"Residence 1 Year Ago","Same house","626,198","(+/-7,089)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","69,766","(+/-5,530)"
People,"Residence 1 Year Ago","Different house in the U.S.","66,227","(+/-5,666)"
People,"Residence 1 Year Ago","Same county","35,240","(+/-5,334)"
People,"Residence 1 Year Ago","Different county","30,987","(+/-4,199)"
People,"Residence 1 Year Ago","Same state","20,794","(+/-3,584)"
People,"Residence 1 Year Ago","Different state","10,193","(+/-2,367)"
People,"Residence 1 Year Ago",Abroad,"3,539","(+/-1,285)"
Workers,"Employment Status","Population 16 years and over","564,792","(+/-5,307)"
Workers,"Employment Status","In labor force","301,041","(+/-7,533)"
Workers,"Employment Status","Civilian labor force","300,851","(+/-7,500)"
Workers,"Employment Status",Employed,"279,664","(+/-7,874)"
Workers,"Employment Status",Unemployed,"21,187","(+/-3,050)"
Workers,"Employment Status","Armed Forces",190,(+/-165)
Workers,"Employment Status","Not in labor force","263,751","(+/-7,377)"
Workers,"Employment Status","Civilian labor force","300,851","(+/-7,500)"
Workers,"Employment Status","Unemployment Rate",7.0,(+/-1.0)
Workers,"Commuting to Work","Workers 16 years and over","274,833","(+/-7,961)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","214,421","(+/-7,793)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","32,281","(+/-4,356)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",994,(+/-526)
Workers,"Commuting to Work",Walked,"4,461","(+/-1,176)"
Workers,"Commuting to Work","Other means","4,536","(+/-1,329)"
Workers,"Commuting to Work","Worked from home","18,140","(+/-2,684)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.2,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","279,664","(+/-7,874)"
Workers,Occupation,"Management, business, science, and arts occupations","88,560","(+/-5,791)"
Workers,Occupation,"Service occupations","53,140","(+/-4,246)"
Workers,Occupation,"Sales and office occupations","58,089","(+/-4,596)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","27,036","(+/-3,556)"
Workers,Occupation,"Production, transportation, and material moving occupations","52,839","(+/-4,870)"
Workers,Industry,"Civilian employed population 16 years and over","279,664","(+/-7,874)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","7,080","(+/-1,390)"
Workers,Industry,Construction,"19,652","(+/-3,100)"
Workers,Industry,Manufacturing,"33,164","(+/-3,365)"
Workers,Industry,"Wholesale trade","4,949","(+/-1,448)"
Workers,Industry,"Retail trade","34,366","(+/-4,149)"
Workers,Industry,"Transportation and warehousing, and utilities","20,646","(+/-2,959)"
Workers,Industry,Information,"2,590","(+/-1,072)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","11,410","(+/-1,991)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","20,676","(+/-2,689)"
Workers,Industry,"Educational services, and health care and social assistance","70,486","(+/-5,425)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","23,378","(+/-3,133)"
Workers,Industry,"Other services, except public administration","16,438","(+/-2,577)"
Workers,Industry,"Public administration","14,829","(+/-2,801)"
Workers,"Class of Worker","Civilian employed population 16 years and over","279,664","(+/-7,874)"
Workers,"Class of Worker","Private wage and salary workers","210,451","(+/-8,173)"
