Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","764,420","(+/-12,115)"
People,"Sex and Age",Male,"373,029","(+/-7,302)"
People,"Sex and Age",Female,"391,391","(+/-6,855)"
People,"Sex and Age","Under 5 years","39,368","(+/-2,559)"
People,"Sex and Age","5 to 9 years","48,270","(+/-3,980)"
People,"Sex and Age","10 to 14 years","49,113","(+/-3,388)"
People,"Sex and Age","15 to 19 years","46,085","(+/-2,509)"
People,"Sex and Age","20 to 24 years","36,601","(+/-3,162)"
People,"Sex and Age","25 to 34 years","87,784","(+/-4,150)"
People,"Sex and Age","35 to 44 years","100,491","(+/-3,279)"
People,"Sex and Age","45 to 54 years","96,448","(+/-3,779)"
People,"Sex and Age","55 to 59 years","51,367","(+/-3,238)"
People,"Sex and Age","60 to 64 years","55,249","(+/-3,331)"
People,"Sex and Age","65 to 74 years","90,948","(+/-2,842)"
People,"Sex and Age","75 to 84 years","45,377","(+/-2,452)"
People,"Sex and Age","85 years and over","17,319","(+/-1,573)"
People,"Sex and Age","Median age (years)",42.6,(+/-0.6)
People,"Sex and Age","18 years and over","596,955","(+/-8,545)"
People,"Sex and Age","65 years and over","153,644","(+/-3,707)"
People,Race,"Total population","764,420","(+/-12,115)"
People,Race,"One race","709,367","(+/-11,738)"
People,Race,White,"637,233","(+/-10,324)"
People,Race,"Black or African American","28,303","(+/-5,891)"
People,Race,"American Indian and Alaska Native","1,020",(+/-527)
People,Race,Asian,"35,246","(+/-3,789)"
People,Race,"Native Hawaiian and Other Pacific Islander",107,(+/-178)
People,Race,"Some other race","7,458","(+/-2,597)"
People,Race,"Two or more races","55,053","(+/-5,452)"
People,"Hispanic or Latino and Race","Total population","764,420","(+/-12,115)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","24,893","(+/-3,872)"
People,"Hispanic or Latino and Race",Mexican,"16,008","(+/-4,044)"
People,"Hispanic or Latino and Race","Puerto Rican",897,(+/-523)
People,"Hispanic or Latino and Race",Cuban,"1,309",(+/-816)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,679","(+/-1,621)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","739,527","(+/-11,484)"
People,"Place of Birth","Total population","764,420","(+/-12,115)"
People,"Place of Birth",Native,"703,359","(+/-11,860)"
People,"Place of Birth","Born in United States","696,855","(+/-11,795)"
People,"Place of Birth","State of residence","517,143","(+/-11,605)"
People,"Place of Birth","Different state","179,712","(+/-7,953)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,504","(+/-1,659)"
People,"Place of Birth","Foreign born","61,061","(+/-5,824)"
People,Ancestry,"Total population","764,420","(+/-12,115)"
People,Ancestry,American,"38,902","(+/-4,416)"
People,Ancestry,Arab,"6,405","(+/-3,603)"
