Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","576,553","(+/-1,210)"
People,"Sex and Age",Male,"293,693","(+/-1,769)"
People,"Sex and Age",Female,"282,860","(+/-1,871)"
People,"Sex and Age","Under 5 years","25,846",(+/-674)
People,"Sex and Age","5 to 9 years","31,369","(+/-2,508)"
People,"Sex and Age","10 to 14 years","34,575","(+/-2,460)"
People,"Sex and Age","15 to 19 years","34,331","(+/-1,623)"
People,"Sex and Age","20 to 24 years","44,141","(+/-1,634)"
People,"Sex and Age","25 to 34 years","75,748","(+/-1,753)"
People,"Sex and Age","35 to 44 years","78,314","(+/-1,663)"
People,"Sex and Age","45 to 54 years","64,406","(+/-1,876)"
People,"Sex and Age","55 to 59 years","31,207","(+/-2,021)"
People,"Sex and Age","60 to 64 years","40,077","(+/-2,112)"
People,"Sex and Age","65 to 74 years","71,721",(+/-924)
People,"Sex and Age","75 to 84 years","35,165","(+/-1,208)"
People,"Sex and Age","85 years and over","9,653","(+/-1,079)"
People,"Sex and Age","Median age (years)",40.3,(+/-0.5)
People,"Sex and Age","18 years and over","464,680","(+/-1,073)"
People,"Sex and Age","65 years and over","116,539",(+/-919)
People,Race,"Total population","576,553","(+/-1,210)"
People,Race,"One race","534,190","(+/-3,737)"
People,Race,White,"495,286","(+/-3,221)"
People,Race,"Black or African American","1,971",(+/-637)
People,Race,"American Indian and Alaska Native","23,310","(+/-2,059)"
People,Race,Asian,"5,011",(+/-992)
People,Race,"Native Hawaiian and Other Pacific Islander",223,(+/-223)
People,Race,"Some other race","8,389","(+/-1,971)"
People,Race,"Two or more races","42,363","(+/-3,397)"
People,"Hispanic or Latino and Race","Total population","576,553","(+/-1,210)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","25,493",(+/-392)
People,"Hispanic or Latino and Race",Mexican,"14,086","(+/-2,355)"
People,"Hispanic or Latino and Race","Puerto Rican","1,366",(+/-660)
People,"Hispanic or Latino and Race",Cuban,"1,108",(+/-949)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","8,933","(+/-1,954)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","551,060","(+/-1,239)"
People,"Place of Birth","Total population","576,553","(+/-1,210)"
People,"Place of Birth",Native,"562,691","(+/-2,151)"
People,"Place of Birth","Born in United States","558,067","(+/-2,518)"
People,"Place of Birth","State of residence","256,250","(+/-8,835)"
People,"Place of Birth","Different state","301,817","(+/-8,814)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,624","(+/-1,050)"
People,"Place of Birth","Foreign born","13,862","(+/-1,821)"
People,Ancestry,"Total population","576,553","(+/-1,210)"
People,Ancestry,American,"25,942","(+/-4,277)"
People,Ancestry,Arab,"1,427","(+/-1,136)"
People,Ancestry,Czech,"3,119","(+/-1,408)"
People,Ancestry,Danish,"5,794","(+/-1,505)"
People,Ancestry,Dutch,"11,443","(+/-2,148)"
People,Ancestry,English,"77,673","(+/-5,583)"
People,Ancestry,"French (except Basque)","16,585","(+/-2,484)"
People,Ancestry,"French Canadian","3,375","(+/-1,025)"
People,Ancestry,German,"113,616","(+/-7,256)"
People,Ancestry,Greek,"2,074",(+/-988)
People,Ancestry,Hungarian,"1,173",(+/-503)
People,Ancestry,Irish,"78,123","(+/-5,592)"
People,Ancestry,Italian,"19,012","(+/-2,405)"
People,Ancestry,Lithuanian,906,(+/-613)
People,Ancestry,Norwegian,"36,802","(+/-3,824)"
People,Ancestry,Polish,"11,907","(+/-2,614)"
People,Ancestry,Portuguese,"1,372","(+/-1,004)"
People,Ancestry,Russian,"2,997","(+/-1,128)"
People,Ancestry,Scotch-Irish,"8,470","(+/-1,553)"
People,Ancestry,Scottish,"20,676","(+/-3,017)"
People,Ancestry,Slovak,839,(+/-504)
People,Ancestry,"Subsaharan African",642,(+/-450)
People,Ancestry,Swedish,"15,056","(+/-2,570)"
People,Ancestry,Swiss,"1,935",(+/-640)
People,Ancestry,Ukrainian,"1,198",(+/-521)
People,Ancestry,Welsh,"4,267","(+/-1,163)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",695,(+/-538)
People,"Veteran Status","Civilian population 18 years and over","464,364","(+/-1,157)"
People,"Veteran Status","Civilian veterans","38,718","(+/-2,684)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","570,372","(+/-1,280)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","79,998","(+/-5,318)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","111,424",(+/-762)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,288","(+/-1,226)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","344,748","(+/-1,440)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","39,370","(+/-3,960)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","114,200",(+/-969)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","34,340","(+/-2,197)"
People,"Residence 1 Year Ago","Population 1 year and over","570,719","(+/-1,582)"
People,"Residence 1 Year Ago","Same house","496,324","(+/-6,556)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","74,395","(+/-6,555)"
People,"Residence 1 Year Ago","Different house in the U.S.","73,226","(+/-6,523)"
People,"Residence 1 Year Ago","Same county","32,349","(+/-3,979)"
People,"Residence 1 Year Ago","Different county","40,877","(+/-4,621)"
