Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","664,285","(+/-4,384)"
People,"Sex and Age",Male,"331,351","(+/-2,575)"
People,"Sex and Age",Female,"332,934","(+/-2,281)"
People,"Sex and Age","Under 5 years","44,822",(+/-961)
People,"Sex and Age","5 to 9 years","44,902","(+/-2,999)"
People,"Sex and Age","10 to 14 years","50,445","(+/-2,584)"
People,"Sex and Age","15 to 19 years","46,381","(+/-1,208)"
People,"Sex and Age","20 to 24 years","41,362",(+/-874)
People,"Sex and Age","25 to 34 years","94,003","(+/-1,560)"
People,"Sex and Age","35 to 44 years","96,846","(+/-1,556)"
People,"Sex and Age","45 to 54 years","76,738","(+/-1,419)"
People,"Sex and Age","55 to 59 years","34,433","(+/-2,264)"
People,"Sex and Age","60 to 64 years","38,950","(+/-2,098)"
People,"Sex and Age","65 to 74 years","59,250","(+/-1,179)"
People,"Sex and Age","75 to 84 years","28,246","(+/-1,452)"
People,"Sex and Age","85 years and over","7,907","(+/-1,140)"
People,"Sex and Age","Median age (years)",36.2,(+/-0.3)
People,"Sex and Age","18 years and over","494,492","(+/-2,969)"
People,"Sex and Age","65 years and over","95,403","(+/-1,308)"
People,Race,"Total population","664,285","(+/-4,384)"
People,Race,"One race","599,374","(+/-7,775)"
People,Race,White,"469,734","(+/-5,904)"
People,Race,"Black or African American","61,457","(+/-4,426)"
People,Race,"American Indian and Alaska Native","5,821","(+/-2,319)"
People,Race,Asian,"27,975","(+/-2,798)"
People,Race,"Native Hawaiian and Other Pacific Islander",28,(+/-40)
People,Race,"Some other race","34,359","(+/-6,069)"
People,Race,"Two or more races","64,911","(+/-6,895)"
People,"Hispanic or Latino and Race","Total population","664,285","(+/-4,384)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","89,847","(+/-1,323)"
People,"Hispanic or Latino and Race",Mexican,"59,808","(+/-4,970)"
People,"Hispanic or Latino and Race","Puerto Rican","1,760","(+/-1,117)"
People,"Hispanic or Latino and Race",Cuban,769,(+/-422)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","27,510","(+/-4,696)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","574,438","(+/-4,225)"
People,"Place of Birth","Total population","664,285","(+/-4,384)"
People,"Place of Birth",Native,"599,758","(+/-5,457)"
People,"Place of Birth","Born in United States","591,412","(+/-5,779)"
People,"Place of Birth","State of residence","394,549","(+/-8,337)"
People,"Place of Birth","Different state","196,863","(+/-7,153)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,346","(+/-2,326)"
People,"Place of Birth","Foreign born","64,527","(+/-4,551)"
People,Ancestry,"Total population","664,285","(+/-4,384)"
People,Ancestry,American,"20,239","(+/-3,180)"
People,Ancestry,Arab,"4,590","(+/-1,906)"
People,Ancestry,Czech,"18,493","(+/-2,418)"
People,Ancestry,Danish,"9,661","(+/-1,832)"
People,Ancestry,Dutch,"10,183","(+/-3,599)"
People,Ancestry,English,"57,171","(+/-4,828)"
People,Ancestry,"French (except Basque)","11,131","(+/-2,040)"
People,Ancestry,"French Canadian","1,531",(+/-703)
People,Ancestry,German,"171,768","(+/-8,201)"
People,Ancestry,Greek,"1,566","(+/-1,051)"
People,Ancestry,Hungarian,781,(+/-445)
People,Ancestry,Irish,"86,658","(+/-6,864)"
People,Ancestry,Italian,"26,385","(+/-3,231)"
People,Ancestry,Lithuanian,"1,405",(+/-650)
People,Ancestry,Norwegian,"12,923","(+/-2,173)"
