Topic,Subject,Title,"District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population","796,395","(+/-19,415)"
People,"Sex and Age",Male,"396,360","(+/-11,166)"
People,"Sex and Age",Female,"400,035","(+/-11,474)"
People,"Sex and Age","Under 5 years","41,510","(+/-4,775)"
People,"Sex and Age","5 to 9 years","44,941","(+/-4,784)"
People,"Sex and Age","10 to 14 years","43,466","(+/-3,487)"
People,"Sex and Age","15 to 19 years","40,751","(+/-3,654)"
People,"Sex and Age","20 to 24 years","46,945","(+/-3,793)"
People,"Sex and Age","25 to 34 years","116,461","(+/-6,810)"
People,"Sex and Age","35 to 44 years","120,841","(+/-5,503)"
People,"Sex and Age","45 to 54 years","107,316","(+/-6,972)"
People,"Sex and Age","55 to 59 years","47,855","(+/-3,146)"
People,"Sex and Age","60 to 64 years","49,021","(+/-3,998)"
People,"Sex and Age","65 to 74 years","77,997","(+/-4,639)"
People,"Sex and Age","75 to 84 years","47,772","(+/-3,824)"
People,"Sex and Age","85 years and over","11,519","(+/-2,012)"
People,"Sex and Age","Median age (years)",40.2,(+/-0.7)
People,"Sex and Age","18 years and over","639,145","(+/-14,837)"
People,"Sex and Age","65 years and over","137,288","(+/-6,089)"
People,Race,"Total population","796,395","(+/-19,415)"
People,Race,"One race","662,310","(+/-17,324)"
People,Race,White,"362,261","(+/-12,403)"
People,Race,"Black or African American","73,907","(+/-9,201)"
People,Race,"American Indian and Alaska Native","8,338","(+/-3,099)"
People,Race,Asian,"146,359","(+/-8,397)"
People,Race,"Native Hawaiian and Other Pacific Islander","10,662","(+/-2,715)"
People,Race,"Some other race","60,783","(+/-7,769)"
People,Race,"Two or more races","134,085","(+/-11,830)"
People,"Hispanic or Latino and Race","Total population","796,395","(+/-19,415)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","177,123","(+/-13,584)"
People,"Hispanic or Latino and Race",Mexican,"111,702","(+/-11,130)"
People,"Hispanic or Latino and Race","Puerto Rican","9,730","(+/-4,287)"
People,"Hispanic or Latino and Race",Cuban,"8,933","(+/-3,368)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","46,758","(+/-7,111)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","619,272","(+/-15,521)"
People,"Place of Birth","Total population","796,395","(+/-19,415)"
People,"Place of Birth",Native,"601,830","(+/-16,211)"
People,"Place of Birth","Born in United States","579,896","(+/-16,963)"
People,"Place of Birth","State of residence","182,277","(+/-10,759)"
People,"Place of Birth","Different state","397,619","(+/-14,163)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","21,934","(+/-4,076)"
People,"Place of Birth","Foreign born","194,565","(+/-10,689)"
People,Ancestry,"Total population","796,395","(+/-19,415)"
People,Ancestry,American,"25,512","(+/-4,177)"
People,Ancestry,Arab,"4,427","(+/-1,681)"
People,Ancestry,Czech,"1,933",(+/-970)
People,Ancestry,Danish,"2,560",(+/-917)
People,Ancestry,Dutch,"4,748","(+/-1,600)"
People,Ancestry,English,"63,650","(+/-7,300)"
People,Ancestry,"French (except Basque)","8,686","(+/-1,896)"
People,Ancestry,"French Canadian","2,908","(+/-1,029)"
People,Ancestry,German,"67,577","(+/-5,996)"
People,Ancestry,Greek,"4,061","(+/-1,536)"
People,Ancestry,Hungarian,"5,283","(+/-1,588)"
People,Ancestry,Irish,"60,875","(+/-5,506)"
People,Ancestry,Italian,"41,449","(+/-5,196)"
People,Ancestry,Lithuanian,937,(+/-403)
People,Ancestry,Norwegian,"8,319","(+/-2,427)"
People,Ancestry,Polish,"16,208","(+/-2,543)"
People,Ancestry,Portuguese,"4,083","(+/-1,491)"
People,Ancestry,Russian,"8,529","(+/-1,960)"
People,Ancestry,Scotch-Irish,"3,277","(+/-1,108)"
People,Ancestry,Scottish,"11,694","(+/-3,324)"
People,Ancestry,Slovak,872,(+/-451)
People,Ancestry,"Subsaharan African","16,856","(+/-4,059)"
People,Ancestry,Swedish,"5,730","(+/-1,767)"
People,Ancestry,Swiss,603,(+/-393)
People,Ancestry,Ukrainian,"2,983",(+/-966)
People,Ancestry,Welsh,"2,551","(+/-1,100)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,641","(+/-1,556)"
People,"Veteran Status","Civilian population 18 years and over","637,742","(+/-14,892)"
People,"Veteran Status","Civilian veterans","43,932","(+/-3,692)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","793,856","(+/-19,399)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","107,080","(+/-6,543)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","157,241","(+/-10,344)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,768","(+/-1,828)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","500,052","(+/-13,490)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","54,517","(+/-4,850)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","136,563","(+/-6,092)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","44,795","(+/-3,828)"
People,"Residence 1 Year Ago","Population 1 year and over","787,648","(+/-18,920)"
People,"Residence 1 Year Ago","Same house","663,598","(+/-18,179)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","124,050","(+/-12,394)"
People,"Residence 1 Year Ago","Different house in the U.S.","112,012","(+/-12,174)"
People,"Residence 1 Year Ago","Same county","75,493","(+/-9,980)"
People,"Residence 1 Year Ago","Different county","36,519","(+/-5,800)"
People,"Residence 1 Year Ago","Same state","1,270",(+/-730)
People,"Residence 1 Year Ago","Different state","35,249","(+/-5,737)"
People,"Residence 1 Year Ago",Abroad,"12,038","(+/-4,506)"
Workers,"Employment Status","Population 16 years and over","657,415","(+/-15,515)"
Workers,"Employment Status","In labor force","443,711","(+/-12,440)"
Workers,"Employment Status","Civilian labor force","442,308","(+/-12,500)"
Workers,"Employment Status",Employed,"423,122","(+/-12,450)"
Workers,"Employment Status",Unemployed,"19,186","(+/-3,146)"
Workers,"Employment Status","Armed Forces","1,403",(+/-615)
Workers,"Employment Status","Not in labor force","213,704","(+/-8,547)"
Workers,"Employment Status","Civilian labor force","442,308","(+/-12,500)"
Workers,"Employment Status","Unemployment Rate",4.3,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","417,625","(+/-12,415)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","292,237","(+/-10,393)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","43,437","(+/-5,474)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","6,948","(+/-1,995)"
Workers,"Commuting to Work",Walked,"4,533","(+/-1,965)"
Workers,"Commuting to Work","Other means","13,032","(+/-2,325)"
Workers,"Commuting to Work","Worked from home","57,438","(+/-5,169)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.8,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","423,122","(+/-12,450)"
Workers,Occupation,"Management, business, science, and arts occupations","166,893","(+/-8,760)"
Workers,Occupation,"Service occupations","92,338","(+/-6,424)"
Workers,Occupation,"Sales and office occupations","91,136","(+/-6,212)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","23,460","(+/-3,201)"
Workers,Occupation,"Production, transportation, and material moving occupations","49,295","(+/-4,911)"
Workers,Industry,"Civilian employed population 16 years and over","423,122","(+/-12,450)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,109",(+/-949)
Workers,Industry,Construction,"23,587","(+/-3,370)"
Workers,Industry,Manufacturing,"15,029","(+/-2,496)"
Workers,Industry,"Wholesale trade","5,775","(+/-1,670)"
Workers,Industry,"Retail trade","45,568","(+/-4,316)"
Workers,Industry,"Transportation and warehousing, and utilities","34,517","(+/-4,255)"
Workers,Industry,Information,"7,683","(+/-1,837)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","29,365","(+/-3,547)"
