Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","697,780","(+/-6,712)"
People,"Sex and Age",Male,"342,085","(+/-4,884)"
People,"Sex and Age",Female,"355,695","(+/-4,661)"
People,"Sex and Age","Under 5 years","29,076","(+/-1,925)"
People,"Sex and Age","5 to 9 years","32,293","(+/-2,697)"
People,"Sex and Age","10 to 14 years","35,459","(+/-2,588)"
People,"Sex and Age","15 to 19 years","41,606","(+/-2,438)"
People,"Sex and Age","20 to 24 years","45,208","(+/-2,282)"
People,"Sex and Age","25 to 34 years","87,169","(+/-3,985)"
People,"Sex and Age","35 to 44 years","87,504","(+/-2,886)"
People,"Sex and Age","45 to 54 years","85,244","(+/-3,462)"
People,"Sex and Age","55 to 59 years","50,085","(+/-3,664)"
People,"Sex and Age","60 to 64 years","58,056","(+/-3,606)"
People,"Sex and Age","65 to 74 years","88,152","(+/-2,456)"
People,"Sex and Age","75 to 84 years","46,548","(+/-1,950)"
People,"Sex and Age","85 years and over","11,380","(+/-1,474)"
People,"Sex and Age","Median age (years)",43.8,(+/-0.6)
People,"Sex and Age","18 years and over","578,084","(+/-5,757)"
People,"Sex and Age","65 years and over","146,080","(+/-3,155)"
People,Race,"Total population","697,780","(+/-6,712)"
People,Race,"One race","649,114","(+/-7,813)"
People,Race,White,"612,509","(+/-7,497)"
People,Race,"Black or African American","10,173","(+/-2,931)"
People,Race,"American Indian and Alaska Native",939,(+/-519)
People,Race,Asian,"17,933","(+/-2,609)"
People,Race,"Native Hawaiian and Other Pacific Islander",68,(+/-116)
People,Race,"Some other race","7,492","(+/-2,374)"
People,Race,"Two or more races","48,666","(+/-5,517)"
People,"Hispanic or Latino and Race","Total population","697,780","(+/-6,712)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","32,994","(+/-3,864)"
People,"Hispanic or Latino and Race",Mexican,"5,848","(+/-2,204)"
People,"Hispanic or Latino and Race","Puerto Rican","11,207","(+/-2,765)"
People,"Hispanic or Latino and Race",Cuban,684,(+/-401)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,255","(+/-3,415)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","664,786","(+/-7,647)"
People,"Place of Birth","Total population","697,780","(+/-6,712)"
People,"Place of Birth",Native,"652,438","(+/-7,914)"
People,"Place of Birth","Born in United States","640,148","(+/-8,606)"
People,"Place of Birth","State of residence","278,676","(+/-10,177)"
