Topic,Subject,Title,"District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population","778,678","(+/-11,305)"
People,"Sex and Age",Male,"387,973","(+/-7,636)"
People,"Sex and Age",Female,"390,705","(+/-6,631)"
People,"Sex and Age","Under 5 years","35,883","(+/-2,688)"
People,"Sex and Age","5 to 9 years","43,111","(+/-3,323)"
People,"Sex and Age","10 to 14 years","50,796","(+/-3,562)"
People,"Sex and Age","15 to 19 years","45,356","(+/-2,618)"
People,"Sex and Age","20 to 24 years","40,677","(+/-3,024)"
People,"Sex and Age","25 to 34 years","82,615","(+/-4,007)"
People,"Sex and Age","35 to 44 years","103,920","(+/-4,636)"
People,"Sex and Age","45 to 54 years","109,673","(+/-4,691)"
People,"Sex and Age","55 to 59 years","61,679","(+/-4,000)"
People,"Sex and Age","60 to 64 years","56,324","(+/-3,933)"
People,"Sex and Age","65 to 74 years","83,147","(+/-3,324)"
People,"Sex and Age","75 to 84 years","47,891","(+/-2,805)"
People,"Sex and Age","85 years and over","17,606","(+/-2,220)"
People,"Sex and Age","Median age (years)",43.7,(+/-0.7)
People,"Sex and Age","18 years and over","617,606","(+/-9,129)"
People,"Sex and Age","65 years and over","148,644","(+/-4,646)"
People,Race,"Total population","778,678","(+/-11,305)"
People,Race,"One race","697,482","(+/-10,210)"
People,Race,White,"541,315","(+/-10,410)"
People,Race,"Black or African American","38,643","(+/-5,195)"
People,Race,"American Indian and Alaska Native","3,487","(+/-2,403)"
People,Race,Asian,"68,966","(+/-5,011)"
People,Race,"Native Hawaiian and Other Pacific Islander",54,(+/-94)
People,Race,"Some other race","45,017","(+/-6,114)"
People,Race,"Two or more races","81,196","(+/-6,753)"
People,"Hispanic or Latino and Race","Total population","778,678","(+/-11,305)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","116,934","(+/-8,001)"
People,"Hispanic or Latino and Race",Mexican,"11,524","(+/-3,595)"
People,"Hispanic or Latino and Race","Puerto Rican","27,324","(+/-5,041)"
People,"Hispanic or Latino and Race",Cuban,"7,510","(+/-2,374)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","70,576","(+/-7,630)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","661,744","(+/-10,250)"
People,"Place of Birth","Total population","778,678","(+/-11,305)"
People,"Place of Birth",Native,"639,277","(+/-11,732)"
People,"Place of Birth","Born in United States","624,492","(+/-11,478)"
People,"Place of Birth","State of residence","447,569","(+/-10,535)"
People,"Place of Birth","Different state","176,923","(+/-7,666)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","14,785","(+/-2,770)"
People,"Place of Birth","Foreign born","139,401","(+/-7,738)"
People,Ancestry,"Total population","778,678","(+/-11,305)"
People,Ancestry,American,"32,060","(+/-5,043)"
People,Ancestry,Arab,"8,641","(+/-2,887)"
People,Ancestry,Czech,"3,011","(+/-1,010)"
People,Ancestry,Danish,"2,298",(+/-877)
People,Ancestry,Dutch,"9,758","(+/-2,180)"
People,Ancestry,English,"58,131","(+/-4,576)"
People,Ancestry,"French (except Basque)","10,633","(+/-2,317)"
People,Ancestry,"French Canadian","3,078","(+/-1,152)"
People,Ancestry,German,"99,382","(+/-6,008)"
People,Ancestry,Greek,"5,346","(+/-1,545)"
People,Ancestry,Hungarian,"9,714","(+/-2,372)"
People,Ancestry,Irish,"122,804","(+/-6,375)"
People,Ancestry,Italian,"138,264","(+/-7,915)"
People,Ancestry,Lithuanian,"3,470","(+/-1,076)"
People,Ancestry,Norwegian,"6,562","(+/-1,738)"
People,Ancestry,Polish,"47,576","(+/-4,601)"
People,Ancestry,Portuguese,"11,886","(+/-2,801)"
People,Ancestry,Russian,"13,651","(+/-2,223)"
People,Ancestry,Scotch-Irish,"3,988",(+/-945)
People,Ancestry,Scottish,"8,820","(+/-1,764)"
People,Ancestry,Slovak,"4,188","(+/-1,466)"
People,Ancestry,"Subsaharan African","3,634","(+/-1,803)"
People,Ancestry,Swedish,"5,938","(+/-1,359)"
People,Ancestry,Swiss,"1,244",(+/-617)
People,Ancestry,Ukrainian,"9,723","(+/-1,789)"
People,Ancestry,Welsh,"3,217","(+/-1,039)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","8,251","(+/-2,808)"
People,"Veteran Status","Civilian population 18 years and over","617,482","(+/-9,114)"
