Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","710,078","(+/-14,071)"
People,"Sex and Age",Male,"358,069","(+/-7,316)"
People,"Sex and Age",Female,"352,009","(+/-8,994)"
People,"Sex and Age","Under 5 years","38,330","(+/-2,736)"
People,"Sex and Age","5 to 9 years","41,728","(+/-4,143)"
People,"Sex and Age","10 to 14 years","50,235","(+/-5,047)"
People,"Sex and Age","15 to 19 years","51,175","(+/-3,605)"
People,"Sex and Age","20 to 24 years","56,249","(+/-3,312)"
People,"Sex and Age","25 to 34 years","90,124","(+/-4,515)"
People,"Sex and Age","35 to 44 years","91,898","(+/-4,805)"
People,"Sex and Age","45 to 54 years","81,910","(+/-4,662)"
People,"Sex and Age","55 to 59 years","35,548","(+/-3,202)"
People,"Sex and Age","60 to 64 years","46,654","(+/-3,625)"
People,"Sex and Age","65 to 74 years","74,381","(+/-2,961)"
People,"Sex and Age","75 to 84 years","39,551","(+/-2,463)"
People,"Sex and Age","85 years and over","12,295","(+/-1,803)"
People,"Sex and Age","Median age (years)",38.0,(+/-0.7)
People,"Sex and Age","18 years and over","550,034","(+/-8,697)"
People,"Sex and Age","65 years and over","126,227","(+/-3,264)"
People,Race,"Total population","710,078","(+/-14,071)"
People,Race,"One race","487,618","(+/-16,283)"
People,Race,White,"305,388","(+/-11,425)"
People,Race,"Black or African American","12,855","(+/-2,706)"
People,Race,"American Indian and Alaska Native","41,195","(+/-5,017)"
People,Race,Asian,"10,666","(+/-2,494)"
People,Race,"Native Hawaiian and Other Pacific Islander",979,(+/-664)
People,Race,"Some other race","116,535","(+/-13,379)"
People,Race,"Two or more races","222,460","(+/-12,747)"
People,"Hispanic or Latino and Race","Total population","710,078","(+/-14,071)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","432,436","(+/-11,135)"
People,"Hispanic or Latino and Race",Mexican,"338,159","(+/-12,455)"
People,"Hispanic or Latino and Race","Puerto Rican","5,455","(+/-2,397)"
People,"Hispanic or Latino and Race",Cuban,912,(+/-753)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","87,910","(+/-10,398)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","277,642","(+/-7,827)"
People,"Place of Birth","Total population","710,078","(+/-14,071)"
People,"Place of Birth",Native,"615,066","(+/-13,637)"
People,"Place of Birth","Born in United States","607,541","(+/-13,888)"
People,"Place of Birth","State of residence","359,770","(+/-14,798)"
People,"Place of Birth","Different state","247,771","(+/-8,764)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,525","(+/-2,063)"
People,"Place of Birth","Foreign born","95,012","(+/-6,696)"
People,Ancestry,"Total population","710,078","(+/-14,071)"
People,Ancestry,American,"31,886","(+/-5,353)"
People,Ancestry,Arab,"1,706",(+/-977)
People,Ancestry,Czech,494,(+/-318)
People,Ancestry,Danish,"1,331",(+/-666)
People,Ancestry,Dutch,"3,987","(+/-1,437)"
People,Ancestry,English,"43,053","(+/-4,490)"
People,Ancestry,"French (except Basque)","5,503","(+/-1,403)"
People,Ancestry,"French Canadian",752,(+/-367)
People,Ancestry,German,"45,186","(+/-4,324)"
People,Ancestry,Greek,649,(+/-409)
People,Ancestry,Hungarian,"1,705","(+/-1,243)"
People,Ancestry,Irish,"34,189","(+/-3,741)"
People,Ancestry,Italian,"12,253","(+/-2,532)"
People,Ancestry,Lithuanian,297,(+/-339)
People,Ancestry,Norwegian,"4,447","(+/-1,449)"
People,Ancestry,Polish,"6,036","(+/-1,591)"
People,Ancestry,Portuguese,"1,472",(+/-832)
People,Ancestry,Russian,"2,888","(+/-1,827)"
People,Ancestry,Scotch-Irish,"3,462",(+/-983)
People,Ancestry,Scottish,"8,800","(+/-1,729)"
People,Ancestry,Slovak,"1,111",(+/-821)
People,Ancestry,"Subsaharan African","3,058","(+/-1,593)"
People,Ancestry,Swedish,"3,432","(+/-1,023)"
People,Ancestry,Swiss,747,(+/-422)
People,Ancestry,Ukrainian,"1,277",(+/-731)
People,Ancestry,Welsh,"2,378",(+/-808)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",961,(+/-726)
People,"Veteran Status","Civilian population 18 years and over","542,672","(+/-9,153)"
People,"Veteran Status","Civilian veterans","37,882","(+/-2,721)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","692,164","(+/-14,360)"
