Topic,Subject,Title,"District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","771,994","(+/-8,603)"
People,"Sex and Age",Male,"388,128","(+/-5,010)"
People,"Sex and Age",Female,"383,866","(+/-5,562)"
People,"Sex and Age","Under 5 years","51,095","(+/-2,025)"
People,"Sex and Age","5 to 9 years","50,595","(+/-3,326)"
People,"Sex and Age","10 to 14 years","46,518","(+/-3,429)"
People,"Sex and Age","15 to 19 years","51,843","(+/-3,472)"
People,"Sex and Age","20 to 24 years","52,283","(+/-3,171)"
People,"Sex and Age","25 to 34 years","108,334","(+/-3,902)"
People,"Sex and Age","35 to 44 years","100,953","(+/-4,166)"
People,"Sex and Age","45 to 54 years","88,305","(+/-3,478)"
People,"Sex and Age","55 to 59 years","42,954","(+/-2,866)"
People,"Sex and Age","60 to 64 years","45,740","(+/-2,965)"
People,"Sex and Age","65 to 74 years","76,292","(+/-2,100)"
People,"Sex and Age","75 to 84 years","44,024","(+/-1,842)"
People,"Sex and Age","85 years and over","13,058","(+/-1,565)"
People,"Sex and Age","Median age (years)",37.4,(+/-0.5)
People,"Sex and Age","18 years and over","591,944","(+/-5,678)"
People,"Sex and Age","65 years and over","133,374","(+/-2,502)"
People,Race,"Total population","771,994","(+/-8,603)"
People,Race,"One race","699,624","(+/-9,704)"
People,Race,White,"450,570","(+/-7,561)"
People,Race,"Black or African American","179,650","(+/-6,617)"
People,Race,"American Indian and Alaska Native","11,143","(+/-1,410)"
People,Race,Asian,"14,124","(+/-1,738)"
People,Race,"Native Hawaiian and Other Pacific Islander",470,(+/-347)
People,Race,"Some other race","43,667","(+/-6,348)"
People,Race,"Two or more races","72,370","(+/-7,117)"
People,"Hispanic or Latino and Race","Total population","771,994","(+/-8,603)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","105,046","(+/-4,354)"
People,"Hispanic or Latino and Race",Mexican,"49,358","(+/-5,787)"
People,"Hispanic or Latino and Race","Puerto Rican","21,869","(+/-4,644)"
People,"Hispanic or Latino and Race",Cuban,"2,780","(+/-1,147)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","31,039","(+/-5,261)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","666,948","(+/-7,694)"
People,"Place of Birth","Total population","771,994","(+/-8,603)"
People,"Place of Birth",Native,"714,019","(+/-9,301)"
People,"Place of Birth","Born in United States","692,565","(+/-8,649)"
People,"Place of Birth","State of residence","391,537","(+/-10,161)"
People,"Place of Birth","Different state","301,028","(+/-10,013)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","21,454","(+/-3,886)"
People,"Place of Birth","Foreign born","57,975","(+/-5,012)"
People,Ancestry,"Total population","771,994","(+/-8,603)"
People,Ancestry,American,"43,860","(+/-5,464)"
People,Ancestry,Arab,"2,473","(+/-1,087)"
People,Ancestry,Czech,933,(+/-511)
People,Ancestry,Danish,"1,343",(+/-758)
People,Ancestry,Dutch,"6,769","(+/-2,029)"
People,Ancestry,English,"79,907","(+/-7,325)"
People,Ancestry,"French (except Basque)","10,823","(+/-2,840)"
People,Ancestry,"French Canadian","2,431","(+/-1,209)"
People,Ancestry,German,"61,177","(+/-6,125)"
People,Ancestry,Greek,"1,761",(+/-792)
People,Ancestry,Hungarian,986,(+/-450)
People,Ancestry,Irish,"59,356","(+/-5,776)"
People,Ancestry,Italian,"25,198","(+/-3,434)"
People,Ancestry,Lithuanian,473,(+/-374)
People,Ancestry,Norwegian,"3,760","(+/-1,338)"
People,Ancestry,Polish,"9,204","(+/-1,856)"
People,Ancestry,Portuguese,675,(+/-378)
People,Ancestry,Russian,"1,694",(+/-736)
People,Ancestry,Scotch-Irish,"13,078","(+/-2,693)"
People,Ancestry,Scottish,"17,474","(+/-2,704)"
People,Ancestry,Slovak,376,(+/-284)
People,Ancestry,"Subsaharan African","12,328","(+/-2,890)"
People,Ancestry,Swedish,"4,595","(+/-2,782)"
People,Ancestry,Swiss,873,(+/-612)
People,Ancestry,Ukrainian,"1,200",(+/-568)
People,Ancestry,Welsh,"2,070",(+/-731)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","6,664","(+/-1,895)"
People,"Veteran Status","Civilian population 18 years and over","551,996","(+/-5,637)"
People,"Veteran Status","Civilian veterans","65,275","(+/-4,135)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","724,860","(+/-8,389)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","118,191","(+/-6,395)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","179,928","(+/-4,653)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","12,454","(+/-2,387)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","414,645","(+/-5,825)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","60,125","(+/-4,196)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","130,287","(+/-2,494)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,612","(+/-2,948)"
People,"Residence 1 Year Ago","Population 1 year and over","759,894","(+/-8,640)"
People,"Residence 1 Year Ago","Same house","659,073","(+/-11,574)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","100,821","(+/-8,634)"
People,"Residence 1 Year Ago","Different house in the U.S.","95,781","(+/-8,243)"
People,"Residence 1 Year Ago","Same county","36,218","(+/-4,955)"
People,"Residence 1 Year Ago","Different county","59,563","(+/-6,121)"
People,"Residence 1 Year Ago","Same state","25,909","(+/-4,144)"
People,"Residence 1 Year Ago","Different state","33,654","(+/-4,291)"
People,"Residence 1 Year Ago",Abroad,"5,040","(+/-1,437)"
Workers,"Employment Status","Population 16 years and over","611,127","(+/-6,017)"
Workers,"Employment Status","In labor force","373,324","(+/-6,894)"
Workers,"Employment Status","Civilian labor force","333,376","(+/-6,576)"
Workers,"Employment Status",Employed,"314,922","(+/-6,532)"
Workers,"Employment Status",Unemployed,"18,454","(+/-2,271)"
Workers,"Employment Status","Armed Forces","39,948","(+/-2,530)"
Workers,"Employment Status","Not in labor force","237,803","(+/-6,445)"
Workers,"Employment Status","Civilian labor force","333,376","(+/-6,576)"
Workers,"Employment Status","Unemployment Rate",5.5,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","350,000","(+/-6,877)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","270,435","(+/-7,252)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,450","(+/-3,335)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",687,(+/-509)
Workers,"Commuting to Work",Walked,"11,492","(+/-1,733)"
Workers,"Commuting to Work","Other means","5,293","(+/-1,329)"
Workers,"Commuting to Work","Worked from home","31,643","(+/-3,676)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.0,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","314,922","(+/-6,532)"
Workers,Occupation,"Management, business, science, and arts occupations","121,501","(+/-5,721)"
Workers,Occupation,"Service occupations","48,257","(+/-3,883)"
Workers,Occupation,"Sales and office occupations","64,632","(+/-4,611)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","29,195","(+/-3,353)"
Workers,Occupation,"Production, transportation, and material moving occupations","51,337","(+/-4,652)"
Workers,Industry,"Civilian employed population 16 years and over","314,922","(+/-6,532)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,864",(+/-849)
Workers,Industry,Construction,"21,247","(+/-2,981)"
Workers,Industry,Manufacturing,"43,923","(+/-3,740)"
Workers,Industry,"Wholesale trade","4,609","(+/-1,171)"
