Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","796,831","(+/-7,373)"
People,"Sex and Age",Male,"393,182","(+/-5,376)"
People,"Sex and Age",Female,"403,649","(+/-4,682)"
People,"Sex and Age","Under 5 years","45,849","(+/-2,898)"
People,"Sex and Age","5 to 9 years","48,336","(+/-3,683)"
People,"Sex and Age","10 to 14 years","52,737","(+/-3,833)"
People,"Sex and Age","15 to 19 years","57,279","(+/-2,392)"
People,"Sex and Age","20 to 24 years","52,644","(+/-2,414)"
People,"Sex and Age","25 to 34 years","116,523","(+/-3,998)"
People,"Sex and Age","35 to 44 years","110,187","(+/-3,385)"
People,"Sex and Age","45 to 54 years","93,629","(+/-3,237)"
People,"Sex and Age","55 to 59 years","44,099","(+/-3,113)"
People,"Sex and Age","60 to 64 years","50,089","(+/-2,960)"
People,"Sex and Age","65 to 74 years","76,012","(+/-3,026)"
People,"Sex and Age","75 to 84 years","35,581","(+/-1,866)"
People,"Sex and Age","85 years and over","13,866","(+/-1,616)"
People,"Sex and Age","Median age (years)",37.2,(+/-0.6)
People,"Sex and Age","18 years and over","616,345","(+/-6,200)"
People,"Sex and Age","65 years and over","125,459","(+/-3,622)"
People,Race,"Total population","796,831","(+/-7,373)"
People,Race,"One race","733,971","(+/-9,639)"
People,Race,White,"545,824","(+/-9,610)"
People,Race,"Black or African American","134,339","(+/-9,711)"
People,Race,"American Indian and Alaska Native",861,(+/-451)
People,Race,Asian,"33,436","(+/-2,939)"
People,Race,"Native Hawaiian and Other Pacific Islander",714,(+/-354)
People,Race,"Some other race","18,797","(+/-5,311)"
People,Race,"Two or more races","62,860","(+/-7,004)"
People,"Hispanic or Latino and Race","Total population","796,831","(+/-7,373)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","39,545","(+/-3,053)"
People,"Hispanic or Latino and Race",Mexican,"12,440","(+/-3,195)"
People,"Hispanic or Latino and Race","Puerto Rican","4,273","(+/-1,689)"
People,"Hispanic or Latino and Race",Cuban,925,(+/-486)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","21,907","(+/-3,197)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","757,286","(+/-7,189)"
People,"Place of Birth","Total population","796,831","(+/-7,373)"
People,"Place of Birth",Native,"734,083","(+/-8,386)"
People,"Place of Birth","Born in United States","727,900","(+/-8,346)"
People,"Place of Birth","State of residence","539,098","(+/-9,541)"
People,"Place of Birth","Different state","188,802","(+/-7,683)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,183","(+/-1,877)"
People,"Place of Birth","Foreign born","62,748","(+/-4,899)"
People,Ancestry,"Total population","796,831","(+/-7,373)"
People,Ancestry,American,"29,157","(+/-3,606)"
People,Ancestry,Arab,"6,298","(+/-2,627)"
People,Ancestry,Czech,"2,064",(+/-787)
People,Ancestry,Danish,844,(+/-364)
People,Ancestry,Dutch,"10,086","(+/-2,919)"
People,Ancestry,English,"84,457","(+/-6,873)"
People,Ancestry,"French (except Basque)","13,649","(+/-3,142)"
People,Ancestry,"French Canadian","1,556",(+/-656)
People,Ancestry,German,"185,828","(+/-9,605)"
People,Ancestry,Greek,"3,267","(+/-1,065)"
People,Ancestry,Hungarian,"4,366","(+/-1,270)"
People,Ancestry,Irish,"95,843","(+/-5,581)"
People,Ancestry,Italian,"33,277","(+/-4,033)"
People,Ancestry,Lithuanian,"1,558",(+/-791)
People,Ancestry,Norwegian,"4,469","(+/-1,521)"
People,Ancestry,Polish,"15,910","(+/-3,524)"
People,Ancestry,Portuguese,"1,142",(+/-894)
People,Ancestry,Russian,"4,282","(+/-1,541)"
People,Ancestry,Scotch-Irish,"6,437","(+/-1,355)"
People,Ancestry,Scottish,"15,255","(+/-2,359)"
People,Ancestry,Slovak,"1,751",(+/-899)
People,Ancestry,"Subsaharan African","10,241","(+/-2,905)"
People,Ancestry,Swedish,"3,671",(+/-872)
People,Ancestry,Swiss,"1,938",(+/-839)
People,Ancestry,Ukrainian,"2,676","(+/-1,255)"
People,Ancestry,Welsh,"5,904","(+/-1,585)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,352",(+/-636)
People,"Veteran Status","Civilian population 18 years and over","615,544","(+/-6,302)"
People,"Veteran Status","Civilian veterans","32,428","(+/-2,747)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","783,715","(+/-7,490)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","96,807","(+/-5,588)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","180,229","(+/-6,126)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,946","(+/-2,078)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","483,356","(+/-5,928)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,953","(+/-4,014)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","120,130","(+/-3,504)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","35,908","(+/-2,916)"
People,"Residence 1 Year Ago","Population 1 year and over","788,111","(+/-7,437)"
People,"Residence 1 Year Ago","Same house","681,190","(+/-10,097)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","106,921","(+/-8,452)"
People,"Residence 1 Year Ago","Different house in the U.S.","101,800","(+/-8,370)"
People,"Residence 1 Year Ago","Same county","57,641","(+/-6,478)"
People,"Residence 1 Year Ago","Different county","44,159","(+/-5,033)"
People,"Residence 1 Year Ago","Same state","26,058","(+/-3,138)"
People,"Residence 1 Year Ago","Different state","18,101","(+/-3,638)"
People,"Residence 1 Year Ago",Abroad,"5,121","(+/-1,460)"
Workers,"Employment Status","Population 16 years and over","640,002","(+/-6,510)"
Workers,"Employment Status","In labor force","432,779","(+/-7,368)"
Workers,"Employment Status","Civilian labor force","431,978","(+/-7,485)"
Workers,"Employment Status",Employed,"413,826","(+/-7,432)"
Workers,"Employment Status",Unemployed,"18,152","(+/-2,647)"
Workers,"Employment Status","Armed Forces",801,(+/-672)
Workers,"Employment Status","Not in labor force","207,223","(+/-7,099)"
Workers,"Employment Status","Civilian labor force","431,978","(+/-7,485)"
Workers,"Employment Status","Unemployment Rate",4.2,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","407,637","(+/-7,171)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","285,927","(+/-8,262)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,378","(+/-3,776)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","9,414","(+/-2,543)"
Workers,"Commuting to Work",Walked,"10,140","(+/-1,911)"
Workers,"Commuting to Work","Other means","9,217","(+/-2,319)"
Workers,"Commuting to Work","Worked from home","62,561","(+/-3,815)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.5,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over","413,826","(+/-7,432)"
Workers,Occupation,"Management, business, science, and arts occupations","209,641","(+/-7,345)"
Workers,Occupation,"Service occupations","65,888","(+/-5,593)"
Workers,Occupation,"Sales and office occupations","76,569","(+/-4,831)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","17,605","(+/-2,629)"
Workers,Occupation,"Production, transportation, and material moving occupations","44,123","(+/-3,849)"
Workers,Industry,"Civilian employed population 16 years and over","413,826","(+/-7,432)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",483,(+/-315)
Workers,Industry,Construction,"17,283","(+/-2,404)"
Workers,Industry,Manufacturing,"52,250","(+/-4,937)"
Workers,Industry,"Wholesale trade","6,760","(+/-1,614)"
Workers,Industry,"Retail trade","44,511","(+/-4,347)"
Workers,Industry,"Transportation and warehousing, and utilities","20,601","(+/-3,004)"
Workers,Industry,Information,"6,645","(+/-1,391)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","28,301","(+/-3,089)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","65,276","(+/-4,440)"
Workers,Industry,"Educational services, and health care and social assistance","102,299","(+/-6,004)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,660","(+/-4,093)"
Workers,Industry,"Other services, except public administration","17,581","(+/-2,923)"
Workers,Industry,"Public administration","13,176","(+/-2,295)"
Workers,"Class of Worker","Civilian employed population 16 years and over","413,826","(+/-7,432)"
Workers,"Class of Worker","Private wage and salary workers","345,061","(+/-7,535)"
Workers,"Class of Worker","Government workers","45,795","(+/-3,910)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","22,040","(+/-2,679)"
Workers,"Class of Worker","Unpaid family workers",930,(+/-649)
Housing,"Housing Occupancy","Total housing units","358,474","(+/-3,912)"
