Topic,Subject,Title,"District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","818,949","(+/-10,967)"
People,"Sex and Age",Male,"401,673","(+/-6,871)"
People,"Sex and Age",Female,"417,276","(+/-6,542)"
People,"Sex and Age","Under 5 years","48,645","(+/-2,542)"
People,"Sex and Age","5 to 9 years","57,035","(+/-3,774)"
People,"Sex and Age","10 to 14 years","52,939","(+/-3,331)"
People,"Sex and Age","15 to 19 years","54,135","(+/-2,747)"
People,"Sex and Age","20 to 24 years","51,295","(+/-3,058)"
People,"Sex and Age","25 to 34 years","113,579","(+/-3,954)"
People,"Sex and Age","35 to 44 years","118,734","(+/-3,777)"
People,"Sex and Age","45 to 54 years","95,743","(+/-3,017)"
People,"Sex and Age","55 to 59 years","45,029","(+/-3,315)"
People,"Sex and Age","60 to 64 years","48,444","(+/-2,991)"
People,"Sex and Age","65 to 74 years","78,940","(+/-2,298)"
People,"Sex and Age","75 to 84 years","41,467","(+/-2,020)"
People,"Sex and Age","85 years and over","12,964","(+/-1,512)"
People,"Sex and Age","Median age (years)",37.3,(+/-0.5)
People,"Sex and Age","18 years and over","627,073","(+/-7,671)"
People,"Sex and Age","65 years and over","133,371","(+/-3,064)"
People,Race,"Total population","818,949","(+/-10,967)"
People,Race,"One race","698,985","(+/-11,545)"
People,Race,White,"529,667","(+/-8,956)"
People,Race,"Black or African American","85,263","(+/-6,150)"
People,Race,"American Indian and Alaska Native","27,689","(+/-2,635)"
People,Race,Asian,"29,497","(+/-2,279)"
People,Race,"Native Hawaiian and Other Pacific Islander",653,(+/-449)
People,Race,"Some other race","26,216","(+/-5,494)"
People,Race,"Two or more races","119,964","(+/-8,830)"
People,"Hispanic or Latino and Race","Total population","818,949","(+/-10,967)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","89,843","(+/-6,668)"
People,"Hispanic or Latino and Race",Mexican,"57,627","(+/-6,809)"
People,"Hispanic or Latino and Race","Puerto Rican","3,397","(+/-1,317)"
People,"Hispanic or Latino and Race",Cuban,"1,963","(+/-1,110)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","26,856","(+/-5,336)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","729,106","(+/-9,399)"
People,"Place of Birth","Total population","818,949","(+/-10,967)"
People,"Place of Birth",Native,"765,443","(+/-10,782)"
People,"Place of Birth","Born in United States","756,173","(+/-10,397)"
People,"Place of Birth","State of residence","493,433","(+/-11,240)"
