Topic,Subject,Title,"District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","710,184","(+/-4,202)"
People,"Sex and Age",Male,"348,338","(+/-2,867)"
People,"Sex and Age",Female,"361,846","(+/-2,811)"
People,"Sex and Age","Under 5 years","27,573","(+/-1,415)"
People,"Sex and Age","5 to 9 years","34,918","(+/-2,210)"
People,"Sex and Age","10 to 14 years","35,776","(+/-2,370)"
People,"Sex and Age","15 to 19 years","45,838","(+/-2,391)"
People,"Sex and Age","20 to 24 years","58,940","(+/-2,457)"
People,"Sex and Age","25 to 34 years","84,298","(+/-2,114)"
People,"Sex and Age","35 to 44 years","88,000","(+/-2,292)"
People,"Sex and Age","45 to 54 years","77,111","(+/-1,722)"
People,"Sex and Age","55 to 59 years","38,876","(+/-3,135)"
People,"Sex and Age","60 to 64 years","50,682","(+/-2,765)"
People,"Sex and Age","65 to 74 years","99,032","(+/-1,909)"
People,"Sex and Age","75 to 84 years","53,750","(+/-2,021)"
People,"Sex and Age","85 years and over","15,390","(+/-1,844)"
People,"Sex and Age","Median age (years)",42.5,(+/-0.5)
People,"Sex and Age","18 years and over","590,142","(+/-3,122)"
People,"Sex and Age","65 years and over","168,172","(+/-2,349)"
People,Race,"Total population","710,184","(+/-4,202)"
People,Race,"One race","630,461","(+/-6,441)"
People,Race,White,"569,264","(+/-6,467)"
People,Race,"Black or African American","7,169","(+/-1,363)"
People,Race,"American Indian and Alaska Native","8,728","(+/-1,611)"
People,Race,Asian,"19,363","(+/-1,731)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,238",(+/-339)
People,Race,"Some other race","24,699","(+/-3,919)"
People,Race,"Two or more races","79,723","(+/-5,321)"
People,"Hispanic or Latino and Race","Total population","710,184","(+/-4,202)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","67,427",(+/-874)
People,"Hispanic or Latino and Race",Mexican,"50,574","(+/-2,802)"
People,"Hispanic or Latino and Race","Puerto Rican","4,256","(+/-1,594)"
People,"Hispanic or Latino and Race",Cuban,795,(+/-561)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,802","(+/-2,363)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","642,757","(+/-4,286)"
People,"Place of Birth","Total population","710,184","(+/-4,202)"
People,"Place of Birth",Native,"675,362","(+/-5,441)"
People,"Place of Birth","Born in United States","665,292","(+/-6,193)"
People,"Place of Birth","State of residence","322,305","(+/-9,100)"
People,"Place of Birth","Different state","342,987","(+/-8,704)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,070","(+/-2,139)"
People,"Place of Birth","Foreign born","34,822","(+/-3,247)"
People,Ancestry,"Total population","710,184","(+/-4,202)"
People,Ancestry,American,"24,688","(+/-3,560)"
People,Ancestry,Arab,"2,288","(+/-1,070)"
People,Ancestry,Czech,"3,821","(+/-1,404)"
People,Ancestry,Danish,"7,729","(+/-1,594)"
People,Ancestry,Dutch,"11,990","(+/-2,246)"
People,Ancestry,English,"104,071","(+/-6,478)"
People,Ancestry,"French (except Basque)","16,155","(+/-3,131)"
People,Ancestry,"French Canadian","5,529","(+/-2,568)"
People,Ancestry,German,"119,006","(+/-7,264)"
People,Ancestry,Greek,"2,360","(+/-1,113)"
People,Ancestry,Hungarian,"1,936",(+/-529)
People,Ancestry,Irish,"84,542","(+/-5,672)"
People,Ancestry,Italian,"27,737","(+/-4,117)"
People,Ancestry,Lithuanian,"1,015",(+/-681)
People,Ancestry,Norwegian,"19,459","(+/-2,608)"
People,Ancestry,Polish,"8,037","(+/-1,419)"
People,Ancestry,Portuguese,"4,277","(+/-1,305)"
People,Ancestry,Russian,"4,357","(+/-1,342)"
People,Ancestry,Scotch-Irish,"7,188","(+/-1,628)"
People,Ancestry,Scottish,"24,855","(+/-3,022)"
People,Ancestry,Slovak,205,(+/-146)
People,Ancestry,"Subsaharan African","1,487",(+/-477)
People,Ancestry,Swedish,"12,940","(+/-2,292)"
People,Ancestry,Swiss,"3,521","(+/-1,218)"
