Topic,Subject,Title,"District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","764,570","(+/-5,201)"
People,"Sex and Age",Male,"383,809","(+/-3,119)"
People,"Sex and Age",Female,"380,761","(+/-3,215)"
People,"Sex and Age","Under 5 years","35,552","(+/-1,351)"
People,"Sex and Age","5 to 9 years","42,280","(+/-2,670)"
People,"Sex and Age","10 to 14 years","42,535","(+/-2,687)"
People,"Sex and Age","15 to 19 years","47,375","(+/-1,870)"
People,"Sex and Age","20 to 24 years","46,830","(+/-2,012)"
People,"Sex and Age","25 to 34 years","91,112","(+/-2,528)"
People,"Sex and Age","35 to 44 years","91,424","(+/-2,821)"
People,"Sex and Age","45 to 54 years","92,198","(+/-2,396)"
People,"Sex and Age","55 to 59 years","53,517","(+/-2,886)"
People,"Sex and Age","60 to 64 years","58,797","(+/-2,621)"
People,"Sex and Age","65 to 74 years","94,649","(+/-1,548)"
People,"Sex and Age","75 to 84 years","50,893","(+/-2,214)"
People,"Sex and Age","85 years and over","17,408","(+/-1,712)"
People,"Sex and Age","Median age (years)",43.4,(+/-0.4)
People,"Sex and Age","18 years and over","616,343","(+/-3,679)"
People,"Sex and Age","65 years and over","162,950","(+/-1,969)"
People,Race,"Total population","764,570","(+/-5,201)"
People,Race,"One race","689,555","(+/-7,586)"
People,Race,White,"563,275","(+/-6,265)"
People,Race,"Black or African American","54,465","(+/-3,520)"
People,Race,"American Indian and Alaska Native","1,501",(+/-866)
People,Race,Asian,"16,370","(+/-1,375)"
People,Race,"Native Hawaiian and Other Pacific Islander",575,(+/-824)
People,Race,"Some other race","53,369","(+/-5,987)"
People,Race,"Two or more races","75,015","(+/-5,614)"
People,"Hispanic or Latino and Race","Total population","764,570","(+/-5,201)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","119,005","(+/-2,993)"
People,"Hispanic or Latino and Race",Mexican,"13,588","(+/-4,449)"
People,"Hispanic or Latino and Race","Puerto Rican","32,773","(+/-5,009)"
