Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","559,492","(+/-9,293)"
People,"Sex and Age",Male,"274,640","(+/-6,598)"
People,"Sex and Age",Female,"284,852","(+/-5,720)"
People,"Sex and Age","Under 5 years","27,600","(+/-2,249)"
People,"Sex and Age","5 to 9 years","32,667","(+/-3,741)"
People,"Sex and Age","10 to 14 years","26,550","(+/-3,745)"
People,"Sex and Age","15 to 19 years","31,868","(+/-2,791)"
People,"Sex and Age","20 to 24 years","39,288","(+/-2,532)"
People,"Sex and Age","25 to 34 years","77,911","(+/-3,920)"
People,"Sex and Age","35 to 44 years","72,699","(+/-4,418)"
People,"Sex and Age","45 to 54 years","64,277","(+/-3,635)"
People,"Sex and Age","55 to 59 years","37,795","(+/-2,491)"
People,"Sex and Age","60 to 64 years","43,091","(+/-2,869)"
People,"Sex and Age","65 to 74 years","61,957","(+/-2,565)"
People,"Sex and Age","75 to 84 years","33,003","(+/-2,416)"
People,"Sex and Age","85 years and over","10,786","(+/-1,813)"
People,"Sex and Age","Median age (years)",40.8,(+/-0.9)
People,"Sex and Age","18 years and over","456,777","(+/-7,171)"
People,"Sex and Age","65 years and over","105,746","(+/-3,584)"
People,Race,"Total population","559,492","(+/-9,293)"
People,Race,"One race","495,497","(+/-10,655)"
People,Race,White,"412,658","(+/-8,607)"
People,Race,"Black or African American","26,344","(+/-4,555)"
People,Race,"American Indian and Alaska Native","2,785","(+/-2,476)"
People,Race,Asian,"17,774","(+/-3,164)"
People,Race,"Native Hawaiian and Other Pacific Islander",240,(+/-318)
People,Race,"Some other race","35,696","(+/-8,167)"
People,Race,"Two or more races","63,995","(+/-8,462)"
People,"Hispanic or Latino and Race","Total population","559,492","(+/-9,293)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","88,000","(+/-9,313)"
People,"Hispanic or Latino and Race",Mexican,"6,005","(+/-3,357)"
People,"Hispanic or Latino and Race","Puerto Rican","13,811","(+/-3,630)"
People,"Hispanic or Latino and Race",Cuban,"3,168","(+/-2,092)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","65,016","(+/-9,896)"
