Topic,Subject,Title,"District 01 Estimate","District 01 MOE"
People,"Sex and Age","Total population","776,842","(+/-8,999)"
People,"Sex and Age",Male,"379,544","(+/-5,697)"
People,"Sex and Age",Female,"397,298","(+/-5,662)"
People,"Sex and Age","Under 5 years","40,887","(+/-2,207)"
People,"Sex and Age","5 to 9 years","46,014","(+/-3,408)"
People,"Sex and Age","10 to 14 years","46,554","(+/-3,896)"
People,"Sex and Age","15 to 19 years","45,874","(+/-3,064)"
People,"Sex and Age","20 to 24 years","45,177","(+/-3,264)"
People,"Sex and Age","25 to 34 years","94,355","(+/-4,418)"
People,"Sex and Age","35 to 44 years","106,881","(+/-3,562)"
People,"Sex and Age","45 to 54 years","88,562","(+/-3,632)"
People,"Sex and Age","55 to 59 years","44,092","(+/-3,714)"
People,"Sex and Age","60 to 64 years","58,214","(+/-3,932)"
People,"Sex and Age","65 to 74 years","95,159","(+/-2,964)"
People,"Sex and Age","75 to 84 years","52,584","(+/-2,899)"
People,"Sex and Age","85 years and over","12,489","(+/-1,897)"
People,"Sex and Age","Median age (years)",41.4,(+/-0.7)
People,"Sex and Age","18 years and over","613,597","(+/-7,140)"
People,"Sex and Age","65 years and over","160,232","(+/-3,715)"
People,Race,"Total population","776,842","(+/-8,999)"
People,Race,"One race","725,594","(+/-10,425)"
People,Race,White,"543,033","(+/-7,567)"
People,Race,"Black or African American","143,999","(+/-7,509)"
People,Race,"American Indian and Alaska Native","1,890","(+/-1,065)"
People,Race,Asian,"12,128","(+/-1,703)"
People,Race,"Native Hawaiian and Other Pacific Islander",367,(+/-437)
People,Race,"Some other race","24,177","(+/-5,226)"
People,Race,"Two or more races","51,248","(+/-6,725)"
People,"Hispanic or Latino and Race","Total population","776,842","(+/-8,999)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","62,500","(+/-2,604)"
People,"Hispanic or Latino and Race",Mexican,"18,358","(+/-4,566)"
People,"Hispanic or Latino and Race","Puerto Rican","9,213","(+/-3,242)"
People,"Hispanic or Latino and Race",Cuban,"4,236","(+/-1,915)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","30,693","(+/-5,564)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","714,342","(+/-9,371)"
People,"Place of Birth","Total population","776,842","(+/-8,999)"
People,"Place of Birth",Native,"724,330","(+/-9,963)"
People,"Place of Birth","Born in United States","712,145","(+/-10,254)"
People,"Place of Birth","State of residence","301,725","(+/-12,569)"
People,"Place of Birth","Different state","410,420","(+/-11,233)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,185","(+/-2,516)"
People,"Place of Birth","Foreign born","52,512","(+/-5,344)"
People,Ancestry,"Total population","776,842","(+/-8,999)"
People,Ancestry,American,"50,966","(+/-8,134)"
People,Ancestry,Arab,"2,305","(+/-1,317)"
People,Ancestry,Czech,"2,320",(+/-854)
People,Ancestry,Danish,"1,793",(+/-721)
People,Ancestry,Dutch,"3,169",(+/-916)
People,Ancestry,English,"105,639","(+/-7,322)"
People,Ancestry,"French (except Basque)","18,317","(+/-2,540)"
People,Ancestry,"French Canadian","2,974",(+/-847)
People,Ancestry,German,"101,095","(+/-8,226)"
People,Ancestry,Greek,"5,033","(+/-2,542)"
People,Ancestry,Hungarian,"2,381",(+/-878)
People,Ancestry,Irish,"93,095","(+/-6,365)"
People,Ancestry,Italian,"40,574","(+/-5,187)"
People,Ancestry,Lithuanian,800,(+/-432)
People,Ancestry,Norwegian,"5,923","(+/-1,592)"
People,Ancestry,Polish,"18,517","(+/-3,167)"
People,Ancestry,Portuguese,"2,026",(+/-873)
People,Ancestry,Russian,"3,933","(+/-1,253)"
People,Ancestry,Scotch-Irish,"9,987","(+/-2,388)"
People,Ancestry,Scottish,"18,733","(+/-2,644)"
People,Ancestry,Slovak,"1,510",(+/-736)
People,Ancestry,"Subsaharan African","7,991","(+/-3,004)"
