Topic,Subject,Title,"District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","885,524","(+/-10,511)"
People,"Sex and Age",Male,"447,382","(+/-8,183)"
People,"Sex and Age",Female,"438,142","(+/-6,619)"
People,"Sex and Age","Under 5 years","69,048","(+/-4,140)"
People,"Sex and Age","5 to 9 years","79,255","(+/-4,859)"
People,"Sex and Age","10 to 14 years","80,462","(+/-4,864)"
People,"Sex and Age","15 to 19 years","75,318","(+/-3,264)"
People,"Sex and Age","20 to 24 years","56,544","(+/-3,914)"
People,"Sex and Age","25 to 34 years","135,138","(+/-6,137)"
People,"Sex and Age","35 to 44 years","129,781","(+/-4,990)"
People,"Sex and Age","45 to 54 years","102,758","(+/-4,623)"
People,"Sex and Age","55 to 59 years","36,779","(+/-3,352)"
People,"Sex and Age","60 to 64 years","36,690","(+/-3,420)"
People,"Sex and Age","65 to 74 years","55,801","(+/-3,620)"
People,"Sex and Age","75 to 84 years","21,035","(+/-2,088)"
People,"Sex and Age","85 years and over","6,915","(+/-1,226)"
People,"Sex and Age","Median age (years)",31.1,(+/-0.7)
People,"Sex and Age","18 years and over","608,494","(+/-9,398)"
People,"Sex and Age","65 years and over","83,751","(+/-4,749)"
People,Race,"Total population","885,524","(+/-10,511)"
People,Race,"One race","784,451","(+/-13,174)"
People,Race,White,"680,027","(+/-13,225)"
People,Race,"Black or African American","12,679","(+/-4,048)"
People,Race,"American Indian and Alaska Native","8,023","(+/-2,742)"
People,Race,Asian,"20,400","(+/-3,449)"
People,Race,"Native Hawaiian and Other Pacific Islander","12,646","(+/-3,896)"
People,Race,"Some other race","50,676","(+/-7,735)"
People,Race,"Two or more races","101,073","(+/-10,175)"
People,"Hispanic or Latino and Race","Total population","885,524","(+/-10,511)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","144,797","(+/-10,250)"
People,"Hispanic or Latino and Race",Mexican,"82,471","(+/-9,050)"
People,"Hispanic or Latino and Race","Puerto Rican","3,313","(+/-1,640)"
People,"Hispanic or Latino and Race",Cuban,412,(+/-309)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","58,601","(+/-7,015)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","740,727","(+/-13,047)"
People,"Place of Birth","Total population","885,524","(+/-10,511)"
People,"Place of Birth",Native,"804,325","(+/-12,161)"
People,"Place of Birth","Born in United States","796,515","(+/-12,250)"
People,"Place of Birth","State of residence","575,064","(+/-11,228)"
People,"Place of Birth","Different state","221,451","(+/-10,262)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,810","(+/-1,645)"
People,"Place of Birth","Foreign born","81,199","(+/-7,329)"
People,Ancestry,"Total population","885,524","(+/-10,511)"
People,Ancestry,American,"45,739","(+/-6,488)"
People,Ancestry,Arab,"3,713","(+/-2,035)"
People,Ancestry,Czech,891,(+/-691)
People,Ancestry,Danish,"37,745","(+/-4,788)"
People,Ancestry,Dutch,"18,534","(+/-3,747)"
People,Ancestry,English,"253,016","(+/-12,733)"
People,Ancestry,"French (except Basque)","12,072","(+/-2,524)"
People,Ancestry,"French Canadian","1,173",(+/-570)
People,Ancestry,German,"79,412","(+/-7,093)"
People,Ancestry,Greek,"5,568","(+/-1,695)"
People,Ancestry,Hungarian,869,(+/-441)
People,Ancestry,Irish,"45,334","(+/-6,194)"
People,Ancestry,Italian,"15,824","(+/-2,489)"
People,Ancestry,Lithuanian,400,(+/-332)
People,Ancestry,Norwegian,"15,902","(+/-3,127)"
People,Ancestry,Polish,"5,670","(+/-1,860)"
People,Ancestry,Portuguese,706,(+/-708)
People,Ancestry,Russian,"1,444",(+/-750)
People,Ancestry,Scotch-Irish,"6,675","(+/-2,247)"
People,Ancestry,Scottish,"30,857","(+/-4,633)"
People,Ancestry,Slovak,165,(+/-156)
People,Ancestry,"Subsaharan African","8,986","(+/-3,773)"
People,Ancestry,Swedish,"29,281","(+/-4,317)"
People,Ancestry,Swiss,"5,500","(+/-1,395)"
People,Ancestry,Ukrainian,602,(+/-392)
People,Ancestry,Welsh,"10,362","(+/-2,256)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",501,(+/-376)
People,"Veteran Status","Civilian population 18 years and over","607,148","(+/-9,389)"
People,"Veteran Status","Civilian veterans","20,188","(+/-2,342)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","879,777","(+/-10,469)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","88,901","(+/-6,027)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","276,531","(+/-8,340)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","13,720","(+/-2,861)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","520,359","(+/-8,628)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,744","(+/-4,287)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","82,887","(+/-4,735)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","25,437","(+/-2,547)"
