Topic,Subject,Title,"District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population","814,164","(+/-9,702)"
People,"Sex and Age",Male,"410,303","(+/-5,963)"
People,"Sex and Age",Female,"403,861","(+/-6,041)"
People,"Sex and Age","Under 5 years","51,093","(+/-2,330)"
People,"Sex and Age","5 to 9 years","52,968","(+/-4,748)"
People,"Sex and Age","10 to 14 years","61,452","(+/-4,245)"
People,"Sex and Age","15 to 19 years","57,399","(+/-2,707)"
People,"Sex and Age","20 to 24 years","51,818","(+/-3,325)"
People,"Sex and Age","25 to 34 years","102,055","(+/-3,463)"
People,"Sex and Age","35 to 44 years","117,353","(+/-4,606)"
People,"Sex and Age","45 to 54 years","106,667","(+/-3,738)"
People,"Sex and Age","55 to 59 years","49,032","(+/-3,706)"
People,"Sex and Age","60 to 64 years","54,264","(+/-3,799)"
People,"Sex and Age","65 to 74 years","65,454","(+/-2,348)"
People,"Sex and Age","75 to 84 years","34,877","(+/-2,112)"
People,"Sex and Age","85 years and over","9,732","(+/-1,505)"
People,"Sex and Age","Median age (years)",37.5,(+/-0.4)
People,"Sex and Age","18 years and over","611,543","(+/-6,328)"
People,"Sex and Age","65 years and over","110,063","(+/-2,860)"
People,Race,"Total population","814,164","(+/-9,702)"
People,Race,"One race","712,626","(+/-10,585)"
People,Race,White,"418,840","(+/-8,853)"
People,Race,"Black or African American","167,821","(+/-6,307)"
People,Race,"American Indian and Alaska Native","3,314","(+/-1,387)"
People,Race,Asian,"37,503","(+/-4,305)"
People,Race,"Native Hawaiian and Other Pacific Islander",82,(+/-97)
People,Race,"Some other race","85,066","(+/-10,130)"
People,Race,"Two or more races","101,538","(+/-9,139)"
People,"Hispanic or Latino and Race","Total population","814,164","(+/-9,702)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","157,367","(+/-7,634)"
People,"Hispanic or Latino and Race",Mexican,"31,044","(+/-6,259)"
People,"Hispanic or Latino and Race","Puerto Rican","15,329","(+/-3,864)"
People,"Hispanic or Latino and Race",Cuban,"1,974",(+/-977)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","109,020","(+/-9,538)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","656,797","(+/-8,547)"
People,"Place of Birth","Total population","814,164","(+/-9,702)"
People,"Place of Birth",Native,"679,953","(+/-9,033)"
People,"Place of Birth","Born in United States","657,120","(+/-9,042)"
People,"Place of Birth","State of residence","360,923","(+/-10,092)"
People,"Place of Birth","Different state","296,197","(+/-8,121)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","22,833","(+/-3,326)"
People,"Place of Birth","Foreign born","134,211","(+/-7,665)"
People,Ancestry,"Total population","814,164","(+/-9,702)"
People,Ancestry,American,"53,231","(+/-7,094)"
People,Ancestry,Arab,"6,115","(+/-1,984)"
People,Ancestry,Czech,835,(+/-427)
People,Ancestry,Danish,956,(+/-440)
People,Ancestry,Dutch,"5,737","(+/-1,806)"
People,Ancestry,English,"80,184","(+/-6,549)"
People,Ancestry,"French (except Basque)","10,701","(+/-2,099)"
People,Ancestry,"French Canadian","3,165","(+/-1,637)"
People,Ancestry,German,"72,234","(+/-5,612)"
People,Ancestry,Greek,"2,379",(+/-975)
People,Ancestry,Hungarian,"2,096",(+/-882)
People,Ancestry,Irish,"66,736","(+/-5,802)"
People,Ancestry,Italian,"26,354","(+/-3,573)"
People,Ancestry,Lithuanian,828,(+/-656)
People,Ancestry,Norwegian,"4,762","(+/-1,719)"
People,Ancestry,Polish,"11,674","(+/-2,093)"
People,Ancestry,Portuguese,"1,096",(+/-551)
People,Ancestry,Russian,"3,435","(+/-1,744)"
People,Ancestry,Scotch-Irish,"5,802","(+/-1,352)"
People,Ancestry,Scottish,"13,303","(+/-2,109)"
People,Ancestry,Slovak,826,(+/-544)
People,Ancestry,"Subsaharan African","26,657","(+/-5,238)"
People,Ancestry,Swedish,"5,330","(+/-1,442)"
People,Ancestry,Swiss,993,(+/-387)
People,Ancestry,Ukrainian,"1,408",(+/-854)
People,Ancestry,Welsh,"3,963","(+/-1,334)"
