Topic,Subject,Title,"District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","778,099","(+/-15,617)"
People,"Sex and Age",Male,"395,596","(+/-9,811)"
People,"Sex and Age",Female,"382,503","(+/-9,002)"
People,"Sex and Age","Under 5 years","41,063","(+/-3,386)"
People,"Sex and Age","5 to 9 years","51,688","(+/-3,925)"
People,"Sex and Age","10 to 14 years","58,745","(+/-4,864)"
People,"Sex and Age","15 to 19 years","51,279","(+/-3,630)"
People,"Sex and Age","20 to 24 years","35,771","(+/-2,829)"
People,"Sex and Age","25 to 34 years","91,354","(+/-6,202)"
People,"Sex and Age","35 to 44 years","118,541","(+/-6,173)"
People,"Sex and Age","45 to 54 years","109,568","(+/-5,353)"
People,"Sex and Age","55 to 59 years","49,104","(+/-3,684)"
People,"Sex and Age","60 to 64 years","47,349","(+/-3,664)"
People,"Sex and Age","65 to 74 years","77,914","(+/-4,244)"
People,"Sex and Age","75 to 84 years","34,788","(+/-2,497)"
People,"Sex and Age","85 years and over","10,935","(+/-1,663)"
People,"Sex and Age","Median age (years)",40.0,(+/-0.8)
People,"Sex and Age","18 years and over","592,410","(+/-11,507)"
People,"Sex and Age","65 years and over","123,637","(+/-5,431)"
People,Race,"Total population","778,099","(+/-15,617)"
People,Race,"One race","672,050","(+/-12,829)"
People,Race,White,"519,895","(+/-10,636)"
People,Race,"Black or African American","16,079","(+/-3,297)"
People,Race,"American Indian and Alaska Native","8,993","(+/-2,473)"
People,Race,Asian,"90,359","(+/-7,852)"
People,Race,"Native Hawaiian and Other Pacific Islander","3,137","(+/-1,501)"
People,Race,"Some other race","33,587","(+/-6,047)"
People,Race,"Two or more races","106,049","(+/-9,850)"
People,"Hispanic or Latino and Race","Total population","778,099","(+/-15,617)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","93,639","(+/-9,230)"
People,"Hispanic or Latino and Race",Mexican,"67,765","(+/-7,114)"
People,"Hispanic or Latino and Race","Puerto Rican","4,725","(+/-2,198)"
People,"Hispanic or Latino and Race",Cuban,537,(+/-352)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,612","(+/-4,983)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","684,460","(+/-14,123)"
People,"Place of Birth","Total population","778,099","(+/-15,617)"
People,"Place of Birth",Native,"655,260","(+/-16,016)"
People,"Place of Birth","Born in United States","644,465","(+/-15,666)"
