Topic,Subject,Title,"District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","903,697","(+/-2,411)"
People,"Sex and Age",Male,"454,164","(+/-2,409)"
People,"Sex and Age",Female,"449,533","(+/-2,393)"
People,"Sex and Age","Under 5 years","44,646","(+/-1,079)"
People,"Sex and Age","5 to 9 years","48,665","(+/-2,729)"
People,"Sex and Age","10 to 14 years","52,597","(+/-2,648)"
People,"Sex and Age","15 to 19 years","55,731","(+/-2,129)"
People,"Sex and Age","20 to 24 years","63,067","(+/-2,577)"
People,"Sex and Age","25 to 34 years","113,472","(+/-2,613)"
People,"Sex and Age","35 to 44 years","111,828","(+/-2,267)"
People,"Sex and Age","45 to 54 years","110,454","(+/-1,807)"
People,"Sex and Age","55 to 59 years","58,500","(+/-2,972)"
People,"Sex and Age","60 to 64 years","62,939","(+/-2,806)"
People,"Sex and Age","65 to 74 years","108,161","(+/-1,234)"
People,"Sex and Age","75 to 84 years","57,684","(+/-1,499)"
People,"Sex and Age","85 years and over","15,953","(+/-1,358)"
People,"Sex and Age","Median age (years)",41.4,(+/-0.4)
People,"Sex and Age","18 years and over","725,987","(+/-2,025)"
People,"Sex and Age","65 years and over","181,798","(+/-1,340)"
People,Race,"Total population","903,697","(+/-2,411)"
People,Race,"One race","852,142","(+/-4,792)"
People,Race,White,"802,080","(+/-3,808)"
People,Race,"Black or African American","29,553","(+/-2,908)"
People,Race,"American Indian and Alaska Native","1,016",(+/-554)
People,Race,Asian,"7,785",(+/-903)
People,Race,"Native Hawaiian and Other Pacific Islander",0,(+/-204)
People,Race,"Some other race","11,708","(+/-2,318)"
People,Race,"Two or more races","51,555","(+/-4,567)"
People,"Hispanic or Latino and Race","Total population","903,697","(+/-2,411)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","26,993",(+/-995)
People,"Hispanic or Latino and Race",Mexican,"10,238","(+/-2,873)"
People,"Hispanic or Latino and Race","Puerto Rican","4,014","(+/-1,445)"
People,"Hispanic or Latino and Race",Cuban,"1,155",(+/-537)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,586","(+/-2,238)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","876,704","(+/-2,570)"
People,"Place of Birth","Total population","903,697","(+/-2,411)"
People,"Place of Birth",Native,"882,049","(+/-3,326)"
People,"Place of Birth","Born in United States","876,681","(+/-3,583)"
People,"Place of Birth","State of residence","523,782","(+/-8,502)"
