NSA Employees,Supersector ID,Supersector,Month of Year ID,Month of Year,Date,NSA Employees Growth
837500,"15","Mining, Logging, and Construction","2018-01","January, 2018","2018-01-02",9.03528186434058
859400,"15","Mining, Logging, and Construction","2018-02","February, 2018","2018-02-02",9.841513292433538
852400,"15","Mining, Logging, and Construction","2018-03","March, 2018","2018-03-02",6.310800698428536
868100,"15","Mining, Logging, and Construction","2018-04","April, 2018","2018-04-02",6.515337423312884
878100,"15","Mining, Logging, and Construction","2018-05","May, 2018","2018-05-02",5.948359073359073
891300,"15","Mining, Logging, and Construction","2018-06","June, 2018","2018-06-02",5.616779239246356
900600,"15","Mining, Logging, and Construction","2018-07","July, 2018","2018-07-02",5.4319831421212825
907800,"15","Mining, Logging, and Construction","2018-08","August, 2018","2018-08-02",5.509065550906555
905700,"15","Mining, Logging, and Construction","2018-09","September, 2018","2018-09-02",5.130586186883343
909800,"15","Mining, Logging, and Construction","2018-10","October, 2018","2018-10-02",5.38630835167381
901200,"15","Mining, Logging, and Construction","2018-11","November, 2018","2018-11-02",4.863858505934373
892500,"15","Mining, Logging, and Construction","2018-12","December, 2018","2018-12-02",4.276200490711532
865900,"15","Mining, Logging, and Construction","2019-01","January, 2019","2019-01-02",3.391044776119403
870600,"15","Mining, Logging, and Construction","2019-02","February, 2019","2019-02-02",1.3032348149872004
883700,"15","Mining, Logging, and Construction","2019-03","March, 2019","2019-03-02",3.671984983575786
894300,"15","Mining, Logging, and Construction","2019-04","April, 2019","2019-04-02",3.0180854740237297
906000,"15","Mining, Logging, and Construction","2019-05","May, 2019","2019-05-02",3.177314656645029
919300,"15","Mining, Logging, and Construction","2019-06","June, 2019","2019-06-02",3.1414787389206777
929300,"15","Mining, Logging, and Construction","2019-07","July, 2019","2019-07-02",3.1867643793026876
935100,"15","Mining, Logging, and Construction","2019-08","August, 2019","2019-08-02",3.007270323859881
930100,"15","Mining, Logging, and Construction","2019-09","September, 2019","2019-09-02",2.694048802031578
930800,"15","Mining, Logging, and Construction","2019-10","October, 2019","2019-10-02",2.3081996043086392
929200,"15","Mining, Logging, and Construction","2019-11","November, 2019","2019-11-02",3.1069684864624945
910900,"15","Mining, Logging, and Construction","2019-12","December, 2019","2019-12-02",2.061624649859944
898600,"15","Mining, Logging, and Construction","2020-01","January, 2020","2020-01-02",3.776417600184779
914600,"15","Mining, Logging, and Construction","2020-02","February, 2020","2020-02-02",5.05398575694923
898500,"15","Mining, Logging, and Construction","2020-03","March, 2020","2020-03-02",1.6747765078646601
758400,"15","Mining, Logging, and Construction","2020-04","April, 2020","2020-04-02",-15.196242871519624
848200,"15","Mining, Logging, and Construction","2020-05","May, 2020","2020-05-02",-6.379690949227373
878900,"15","Mining, Logging, and Construction","2020-06","June, 2020","2020-06-02",-4.3946481018166
878200,"15","Mining, Logging, and Construction","2020-07","July, 2020","2020-07-02",-5.498762509415689
