Candidate Votes,Total Votes,Candidate ID,Candidate,Party,Year,Party ID,Share
5054917,9887065,"P00000455","George Bush","Republican",1988,"Republican",51.126567894516725
3630574,11131721,"P00000455","George Bush","Republican",1992,"Republican",32.614669375921295
3828381,10019469,"P00000489","Robert J Dole","Republican",1996,"Republican",38.20942008004616
148390,8582938,"P00000562","Edward E Clark","Libertarian",1980,"Libertarian",1.7288951638704604
739618,8582938,"P00000786","John B Anderson","Independent",1980,"Independent",8.617305635902298
61046,8582938,"P00002659","Barry Commoner","Citizens",1980,"Citizens",0.7112482928339923
9841,8582938,"P00003020","John R Rarick","American Independent Party",1980,"American Independent Party",0.11465770811812925
4567429,10965822,"P00003335","George W Bush","Republican",2000,"Republican",41.651496805255455
5509826,12421353,"P00003335","George W Bush","Republican",2004,"Republican",44.357695977241775
8753788,14181595,"P00003392","Hillary Rodham Clinton","Democratic",2016,"Democratic",61.72639960455788
81029,17500881,"P00012211","Howie Hawkins","Green",2020,"Green",0.46299954842273366
187895,17500881,"P00013524","Jo Jorgensen","Libertarian",2020,"Libertarian",1.0736316646001993
237016,10019469,"P20000527","Ralph Nader","Green",1996,"Green",2.3655545019401725
418707,10965822,"P20000527","Ralph Nader","Green",2000,"Green",3.818291050137418
108381,13561900,"P20000527","Ralph Nader","Peace & Freedom",2008,"Peace & Freedom",0.7991579350975896
5121325,11131721,"P20000642","William Jefferson Clinton","Democratic",1992,"Democratic",46.00658784028094
5119835,10019469,"P20000642","William Jefferson Clinton","Democratic",1996,"Democratic",51.09886561852729
12711,11131721,"P20001434","Howard Phillips","American Independent Party",1992,"American Independent Party",0.11418719531328535
21202,10019469,"P20001434","Howard Phillips","American Independent Party",1996,"American Independent Party",0.21160802034518997
17042,10965822,"P20001434","Howard Phillips","American Independent Party",2000,"American Independent Party",0.155410146179648
2296006,11131721,"P20001558","Ross Perot","Independent",1992,"Independent",20.62579541833648
697847,10019469,"P20001558","Ross Perot","Reform Party",1996,"Reform Party",6.96491001668851
15403,10019469,"P20001681","John Samuel Hagelin","Natural Law",1996,"Natural Law",0.15373070169686637
10934,10965822,"P20001681","John Samuel Hagelin","Natural Law",2000,"Natural Law",0.09970980743623233
18597,11131721,"P20001806","Ronald Daniels","Peace & Freedom",1992,"Peace & Freedom",0.16706311629621332
143221,13038547,"P20002671","Gary Johnson","Libertarian",2012,"Libertarian",1.0984429476689388
478500,14181595,"P20002671","Gary Johnson","Libertarian",2016,"Libertarian",3.374091560222951
53824,13038547,"P20002804","Roseanne Barr","Peace & Freedom",2012,"Peace & Freedom",0.4128067337564531
85638,13038547,"P20003984","Jill Stein","Green",2012,"Green",0.6568063143845706
278657,14181595,"P20003984","Jill Stein","Green",2016,"Green",1.9649200248632117
38372,13038547,"P20005260","Thomas Hoefling","American Independent Party",2012,"American Independent Party",0.29429659608543807
3922519,9505041,"P40000267","Walter F Mondale","Democratic",1984,"Democratic",41.2677756992316
