ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2022,"2022",81497760,345906,"United States","01000US","united-states",0.6481638607730256
0,"Owner Occupied",2022,"2022",7407361,35557,"California","04000US06","california",0.5562826688431252
0,"Owner Occupied",2022,"2022",144167,2128,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.45579052864202135
0,"Owner Occupied",2022,"2022",93585,2033,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.3826371029401543
0,"Owner Occupied",2022,"2022",161758,2560,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.6056355957587013
0,"Owner Occupied",2022,"2022",145562,2430,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.4867073476552704
0,"Owner Occupied",2022,"2022",143797,2261,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.522915295409668
0,"Owner Occupied",2022,"2022",113621,2443,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5007006751158979
0,"Owner Occupied",2021,"2021",80152161,337611,"United States","01000US","united-states",0.646331101036592
0,"Owner Occupied",2021,"2021",7335247,36253,"California","04000US06","california",0.5549611706706504
0,"Owner Occupied",2021,"2021",191985,2025.9999999999998,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6855823620157696
0,"Owner Occupied",2021,"2021",174770,2591,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7384855911434125
0,"Owner Occupied",2021,"2021",153727,2627,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.6025249080889558
0,"Owner Occupied",2021,"2021",161419,2470,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.6457018280731229
0,"Owner Occupied",2021,"2021",91646,2250,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.45108925706072867
0,"Owner Occupied",2021,"2021",156526,2111,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5393970095145544
0,"Owner Occupied",2021,"2021",141264,2462,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.5063262102237293
0,"Owner Occupied",2020,"2020",78801376,342600,"United States","01000US","united-states",0.64404298146842
0,"Owner Occupied",2020,"2020",7241318,35711,"California","04000US06","california",0.5526409981627268
0,"Owner Occupied",2020,"2020",191710,2702,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6832681108283615
0,"Owner Occupied",2020,"2020",169505,2661,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7300994542721403
0,"Owner Occupied",2020,"2020",153489,2088,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.6024610432939514
0,"Owner Occupied",2020,"2020",156017,2552,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.641606968079419
0,"Owner Occupied",2020,"2020",91651,1752,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.45168301217288453
0,"Owner Occupied",2020,"2020",157781,2044.0000000000002,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5395162917294981
0,"Owner Occupied",2020,"2020",138435,2509,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.5037132180373978
