ID Group,Group,ID Degree,Degree,ID Year,Year,ID Nation,Nation,ID State,State,Total Population
"Associates Degree","Associates Degree",20,"Associates Degree",2022,"2022","01000US","United States","04000US06","California",2335132
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2022,"2022","01000US","United States","04000US06","California",6356329
"Graduate Degree","Graduate Degree",22,"Masters Degree",2022,"2022","01000US","United States","04000US06","California",2530466
"Graduate Degree","Graduate Degree",23,"Professional degree",2022,"2022","01000US","United States","04000US06","California",688039
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2022,"2022","01000US","United States","04000US06","California",489519
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2022,"2022","01000US","United States","04000US06","California",6114590
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2022,"2022","01000US","United States","04000US06","California",688627
"No Schooling","No Schooling",1,"No schooling completed",2022,"2022","01000US","United States","04000US06","California",1801974
"Preschool","Preschool",2,"Nursery school, preschool",2022,"2022","01000US","United States","04000US06","California",538120
"Preschool","Preschool",3,"Kindergarten",2022,"2022","01000US","United States","04000US06","California",519387
"Primary Education","Primary Education",4,"Grade 1",2022,"2022","01000US","United States","04000US06","California",487218
"Primary Education","Primary Education",5,"Grade 2",2022,"2022","01000US","United States","04000US06","California",550560
"Primary Education","Primary Education",6,"Grade 3",2022,"2022","01000US","United States","04000US06","California",642639
"Primary Education","Primary Education",7,"Grade 4",2022,"2022","01000US","United States","04000US06","California",586713
"Primary Education","Primary Education",8,"Grade 5",2022,"2022","01000US","United States","04000US06","California",640947
"Primary Education","Primary Education",9,"Grade 6",2022,"2022","01000US","United States","04000US06","California",1166129
"Primary Education","Primary Education",10,"Grade 7",2022,"2022","01000US","United States","04000US06","California",609497
"Secondary Education","Secondary Education",11,"Grade 8",2022,"2022","01000US","United States","04000US06","California",787873
"Secondary Education","Secondary Education",12,"Grade 9",2022,"2022","01000US","United States","04000US06","California",958416
"Secondary Education","Secondary Education",13,"Grade 10",2022,"2022","01000US","United States","04000US06","California",812988
"Secondary Education","Secondary Education",14,"Grade 11",2022,"2022","01000US","United States","04000US06","California",1004222
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2022,"2022","01000US","United States","04000US06","California",857476
"Some college","Some college",18,"Some college, but less than 1 year",2022,"2022","01000US","United States","04000US06","California",1928179
"Some college","Some college",19,"1 or more years of college credit, no degree",2022,"2022","01000US","United States","04000US06","California",4967225
"Associates Degree","Associates Degree",20,"Associates Degree",2021,"2021","01000US","United States","04000US06","California",2320475
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2021,"2021","01000US","United States","04000US06","California",6250250
"Graduate Degree","Graduate Degree",22,"Masters Degree",2021,"2021","01000US","United States","04000US06","California",2459342
"Graduate Degree","Graduate Degree",23,"Professional degree",2021,"2021","01000US","United States","04000US06","California",675362
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2021,"2021","01000US","United States","04000US06","California",472060
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2021,"2021","01000US","United States","04000US06","California",6058433
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2021,"2021","01000US","United States","04000US06","California",679657
"No Schooling","No Schooling",1,"No schooling completed",2021,"2021","01000US","United States","04000US06","California",1768770
"Preschool","Preschool",2,"Nursery school, preschool",2021,"2021","01000US","United States","04000US06","California",565090
"Preschool","Preschool",3,"Kindergarten",2021,"2021","01000US","United States","04000US06","California",528735
"Primary Education","Primary Education",4,"Grade 1",2021,"2021","01000US","United States","04000US06","California",499616
"Primary Education","Primary Education",5,"Grade 2",2021,"2021","01000US","United States","04000US06","California",555994
"Primary Education","Primary Education",6,"Grade 3",2021,"2021","01000US","United States","04000US06","California",658874
"Primary Education","Primary Education",7,"Grade 4",2021,"2021","01000US","United States","04000US06","California",602224
"Primary Education","Primary Education",8,"Grade 5",2021,"2021","01000US","United States","04000US06","California",655842
"Primary Education","Primary Education",9,"Grade 6",2021,"2021","01000US","United States","04000US06","California",1208933
"Primary Education","Primary Education",10,"Grade 7",2021,"2021","01000US","United States","04000US06","California",630938
"Secondary Education","Secondary Education",11,"Grade 8",2021,"2021","01000US","United States","04000US06","California",809603
"Secondary Education","Secondary Education",12,"Grade 9",2021,"2021","01000US","United States","04000US06","California",983197
"Secondary Education","Secondary Education",13,"Grade 10",2021,"2021","01000US","United States","04000US06","California",837850
"Secondary Education","Secondary Education",14,"Grade 11",2021,"2021","01000US","United States","04000US06","California",1032659
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2021,"2021","01000US","United States","04000US06","California",846345
"Some college","Some college",18,"Some college, but less than 1 year",2021,"2021","01000US","United States","04000US06","California",1895951
"Some college","Some college",19,"1 or more years of college credit, no degree",2021,"2021","01000US","United States","04000US06","California",5110011
