ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2022,"2022",6192080,22306,"United States","01000US","united-states",0.04924653731606165
1,"$10,000-$14,999",2022,"2022",4743710,20611,"United States","01000US","united-states",0.03772743432442326
2,"$15,000-$19,999",2022,"2022",4235151,17229,"United States","01000US","united-states",0.03368278862040797
3,"$20,000-$24,999",2022,"2022",4587937,18658,"United States","01000US","united-states",0.03648854838345757
4,"$25,000-$29,999",2022,"2022",4701374,19434,"United States","01000US","united-states",0.037390729791566324
5,"$30,000-$34,999",2022,"2022",4608052,17944,"United States","01000US","united-states",0.03664852598357136
6,"$35,000-$39,999",2022,"2022",4479480,17112,"United States","01000US","united-states",0.03562597365934417
7,"$40,000-$44,999",2022,"2022",4465681,17575,"United States","01000US","united-states",0.03551622815081967
8,"$45,000-$49,999",2022,"2022",4518761,18906,"United States","01000US","united-states",0.03593838132079431
9,"$50,000-$59,999",2022,"2022",8700174,23712,"United States","01000US","united-states",0.06919378359892465
10,"$60,000-$74,999",2022,"2022",11528244,30460.000000000004,"United States","01000US","united-states",0.09168584681313287
11,"$75,000-$99,999",2022,"2022",16085302,41834,"United States","01000US","united-states",0.127928809896371
12,"$100,000-$124,999",2022,"2022",12442523,43284,"United States","01000US","united-states",0.09895724429036049
13,"$125,000-$149,999",2022,"2022",9024401,41755,"United States","01000US","united-states",0.07177240936835506
14,"$150,000-$199,999",2022,"2022",11075396,50946,"United States","01000US","united-states",0.08808427901515482
15,"$200,000+",2022,"2022",14348087,70248,"United States","01000US","united-states",0.1141124794672548
0,"< $10,000",2022,"2022",13412,1002,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04484493856056173
1,"$10,000-$14,999",2022,"2022",7480,716,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02501044888405918
2,"$15,000-$19,999",2022,"2022",6056,654,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02024910139597091
3,"$20,000-$24,999",2022,"2022",7267,783,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.024298252946585306
4,"$25,000-$29,999",2022,"2022",7324,672,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.024488840591824792
5,"$30,000-$34,999",2022,"2022",6810,903.9999999999999,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02277020814177046
6,"$35,000-$39,999",2022,"2022",5989,617,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.020025077321742038
7,"$40,000-$44,999",2022,"2022",7207,746,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.024097634372649
8,"$45,000-$49,999",2022,"2022",7681,890,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0256825211067458
9,"$50,000-$59,999",2022,"2022",14328,960.0000000000001,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0479077154559893
10,"$60,000-$74,999",2022,"2022",20879,1277,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.06981192008693471
11,"$75,000-$99,999",2022,"2022",32980,1406,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.11027334280698821
12,"$100,000-$124,999",2022,"2022",29217,1483,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09769121457828304
13,"$125,000-$149,999",2022,"2022",25321,1305,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.08466438184401906
14,"$150,000-$199,999",2022,"2022",36532,1518,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.12214996238401739
15,"$200,000+",2022,"2022",70592,2021.0000000000002,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.23603443952185907
0,"< $10,000",2021,"2021",6835028,25393,"United States","01000US","united-states",0.05511630775439648
1,"$10,000-$14,999",2021,"2021",4848344,17701,"United States","01000US","united-states",0.03909608270853926
2,"$15,000-$19,999",2021,"2021",4672903,17092,"United States","01000US","united-states",0.037681361342549374
3,"$20,000-$24,999",2021,"2021",4947418,19661,"United States","01000US","united-states",0.03989499575973072
4,"$25,000-$29,999",2021,"2021",5044233,20052,"United States","01000US","united-states",0.04067569268375823
5,"$30,000-$34,999",2021,"2021",5096729,17836,"United States","01000US","united-states",0.041099009997436355
6,"$35,000-$39,999",2021,"2021",4799326,20297,"United States","01000US","united-states",0.038700811295824485
7,"$40,000-$44,999",2021,"2021",4968184,18951,"United States","01000US","united-states",0.04006244865777705
8,"$45,000-$49,999",2021,"2021",4395258,19365,"United States","01000US","united-states",0.035442487227261274
9,"$50,000-$59,999",2021,"2021",8982113,24548,"United States","01000US","united-states",0.07242997459451014
10,"$60,000-$74,999",2021,"2021",11863218,31009.000000000004,"United States","01000US","united-states",0.09566263287370526
11,"$75,000-$99,999",2021,"2021",15895589,44008,"United States","01000US","united-states",0.12817887143423545
12,"$100,000-$124,999",2021,"2021",11904114,48316,"United States","01000US","united-states",0.09599241009216344
13,"$125,000-$149,999",2021,"2021",8333858,41998,"United States","01000US","united-states",0.06720257507495787
14,"$150,000-$199,999",2021,"2021",9694986,42381,"United States","01000US","united-states",0.07817844082724539
15,"$200,000+",2021,"2021",11729691,59924.00000000001,"United States","01000US","united-states",0.09458589767590925
0,"< $10,000",2021,"2021",11005,890,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.044021760870434815
1,"$10,000-$14,999",2021,"2021",7202,803,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.028809152366094645
2,"$15,000-$19,999",2021,"2021",7456,867,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02982519300772031
3,"$20,000-$24,999",2021,"2021",7308,663,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02923316932677307
4,"$25,000-$29,999",2021,"2021",7985,735,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03194127765110604
5,"$30,000-$34,999",2021,"2021",7899,787,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03159726389055562
6,"$35,000-$39,999",2021,"2021",8316,709,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03326533061322453
7,"$40,000-$44,999",2021,"2021",8491,927.0000000000001,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.033965358614344576
8,"$45,000-$49,999",2021,"2021",6910,601,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02764110564422577
9,"$50,000-$59,999",2021,"2021",15545,967,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.06218248729949198
10,"$60,000-$74,999",2021,"2021",22123,1320,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.08849553982159286
